"Word","Freq"
"energy",212
"shall",150
"system",93
"township",82
"building",77
"solar",76
"alternative",75
"middletown",75
"systems",71
"emerging",59
"use",54
"percent",51
"zoning",40
"permit",39
"facility",37
"feet",36
"provisions",36
"code",35
"wind",35
"geothermal",33
"located",33
"may",33
"lot",32
"pennsylvania",32
"property",31
"article",30
"provide",30
"permitted",29
"utility",29
"must",27
"renewable",27
"accordance",26
"applicant",26
"structure",26
"ground",25
"landowner",25
"design",24
"buildings",23
"lines",23
"reduction",23
"required",23
"applicable",22
"application",22
"green",22
"roof",22
"wood",22
"area",21
"height",21
"requirements",21
"construction",20
"existing",20
"heat",20
"ordinance",20
"fees",19
"land",19
"proposed",19
"public",19
"within",19
"board",17
"coverage",17
"electrical",17
"escrow",17
"location",17
"chapter",16
"decommissioning",16
"development",16
"fired",16
"additional",15
"following",15
"part",15
"residential",15
"device",14
"mounted",14
"provided",14
"source",14
"accessory",13
"commonwealth",13
"sections",13
"setback",13
"water",13
"well",13
"will",13
"access",12
"comply",12
"equipment",12
"inclusion",12
"occupied",12
"placed",12
"plan",12
"supervisors",12
"designed",11
"district",11
"exception",11
"including",11
"information",11
"installation",11
"least",11
"licensed",11
"manufacturer",11
"minimum",11
"national",11
"one",11
"principal",11
"professional",11
"properties",11
"sealed",11
"signed",11
"site",11
"special",11
"structural",11
"tower",11
"walls",11
"apply",10
"installed",10
"natural",10
"operator",10
"constructed",9
"documentation",9
"exceed",9
"includes",9
"less",9
"materials",9
"means",9
"pump",9
"roofs",9
"section",9
"standards",9
"subdivision",9
"submitted",9
"attached",8
"base",8
"boiler",8
"bonus",8
"bucks",8
"community-based",8
"components",8
"considered",8
"cool",8
"defined",8
"earth",8
"estimated",8
"except",8
"features",8
"private",8
"safety",8
"side",8
"sources",8
"street",8
"surface",8
"units",8
"wall",8
"ac",7
"also",7
"boilers",7
"commission",7
"company",7
"conditional",7
"county",7
"demand",7
"du",7
"facilities",7
"fuels",7
"greater",7
"include",7
"maximum",7
"non",7
"outdoor",7
"owner",7
"panels",7
"qualified",7
"responsible",7
"specifically",7
"structures",7
"time",7
"trees",7
"unless",7
"via",7
"adjoining",6
"approved",6
"borehole",6
"codes",6
"compliance",6
"conditions",6
"day",6
"districts",6
"emergency",6
"engineer",6
"environmental",6
"health",6
"line",6
"loop",6
"maintenance",6
"months",6
"officer",6
"official",6
"operation",6
"ordinances",6
"otherwise",6
"ownership",6
"per",6
"prepared",6
"produce",6
"project",6
"protection",6
"providing",6
"reasonable",6
"reduce",6
"regulations",6
"related",6
"right",6
"service",6
"similar",6
"state",6
"stormwater",6
"thermal",6
"welfare",6
"whereas",6
"action",5
"addition",5
"adjacent",5
"ansi",5
"biomass",5
"block",5
"bonuses",5
"boreholes",5
"closed",5
"color",5
"complete",5
"complies",5
"consumption",5
"definitions",5
"electric",5
"et",5
"form",5
"front",5
"fuel",5
"funds",5
"historic",5
"identifies",5
"infrastructure",5
"life",5
"lots",5
"made",5
"maintained",5
"manmade",5
"measured",5
"measurements",5
"mechanical",5
"necessary",5
"new",5
"order",5
"orientation",5
"planning",5
"potential",5
"prior",5
"reflective",5
"resource",5
"seeks",5
"seq",5
"sewage",5
"shadow",5
"soil",5
"specific",5
"specifications",5
"specified",5
"standard",5
"subject",5
"submit",5
"table",5
"transfer",5
"type",5
"uniform",5
"upon",5
"vegetation",5
"vertical",5
"whether",5
"wires",5
"yard",5
"administration",4
"air",4
"amend",4
"bentonite",4
"can",4
"capable",4
"clearly",4
"consider",4
"conversion",4
"daylight",4
"devices",4
"disrupt",4
"dwelling",4
"encouraged",4
"expense",4
"follows",4
"generally",4
"generating",4
"hearing",4
"heating",4
"held",4
"hereby",4
"index",4
"inspect",4
"install",4
"intended",4
"intentionally",4
"interfere",4
"issuance",4
"landowners",4
"landscaping",4
"limited",4
"maintain",4
"mass",4
"material",4
"matter",4
"measures",4
"municipalities",4
"oriented",4
"pertinent",4
"photovoltaic",4
"point",4
"protect",4
"quality",4
"rear",4
"reflectance",4
"review",4
"score",4
"shading",4
"sold",4
"southward",4
"speed",4
"supplement",4
"supply",4
"tanks",4
"techniques",4
"terms",4
"times",4
"top",4
"total",4
"true",4
"ucc",4
"used",4
"utilized",4
"verify",4
"visible",4
"waste",4
"whichever",4
"winter",4
"ability",3
"adding",3
"adopted",3
"amended",3
"amount",3
"attach",3
"case",3
"cells",3
"certified",3
"civil",3
"class",3
"closed-loop",3
"collection",3
"component",3
"concerning",3
"concrete",3
"coniferous",3
"connected",3
"contained",3
"converting",3
"cooling",3
"copy",3
"corporate",3
"date",3
"definition",3
"degrees",3
"density",3
"department",3
"depth",3
"determine",3
"developments",3
"disposal",3
"dispute",3
"easement",3
"east",3
"effective",3
"enacted",3
"equal",3
"established",3
"event",3
"exchanged",3
"exposed",3
"extent",3
"exterior",3
"feature",3
"federal",3
"fire",3
"five",3
"functional",3
"gathering",3
"general",3
"generated",3
"groundwater",3
"grouted",3
"guy",3
"highest",3
"identified",3
"incentivize",3
"increase",3
"increases",3
"individual",3
"inspection",3
"integrated",3
"known",3
"latest",3
"legal",3
"list",3
"listed",3
"local",3
"long",3
"management",3
"million",3
"mode",3
"model",3
"modular",3
"needs",3
"nonconformities",3
"occur",3
"open",3
"owners",3
"pad",3
"paint",3
"parcel",3
"parking",3
"period",3
"permanently",3
"person",3
"pm",3
"pollution",3
"primary",3
"prohibited",3
"providers",3
"purpose",3
"purposes",3
"pursuant",3
"regulation",3
"remain",3
"requested",3
"residents",3
"resolved",3
"safeguards",3
"second",3
"shape",3
"sign",3
"solstice",3
"spri",3
"strategies",3
"submission",3
"substations",3
"surplus",3
"thereof",3
"transferred",3
"transformers",3
"two",3
"underground",3
"uses",3
"utilities",3
"voltage",3
"warning",3
"wells",3
"west",3
"white",3
"wiring",3
"year",3
"6th",2
"abandoned",2
"accordingly",2
"act",2
"adequate",2
"adoption",2
"advertising",2
"agreement",2
"alphabetical",2
"amendments",2
"analysis",2
"anemometers",2
"applicability",2
"applied",2
"appropriate",2
"approval",2
"appurtenant",2
"arc",2
"arrays",2
"associated",2
"authority",2
"available",2
"average",2
"aviation",2
"axis",2
"bedrock",2
"benefit",2
"benefits",2
"bipv",2
"black",2
"blade",2
"bond",2
"brakes",2
"braking",2
"built",2
"calculations",2
"capacities",2
"capacity",2
"cast",2
"chemicals",2
"clause",2
"clean",2
"colored",2
"combination",2
"combined",2
"communication",2
"community",2
"condition",2
"conform",2
"connections",2
"considering",2
"consists",2
"corporation",2
"costs",2
"coupled",2
"court",2
"covering",2
"criteria",2
"damage",2
"data",2
"dawn",2
"deciduous",2
"dedicated",2
"defective",2
"delivery",2
"described",2
"designs",2
"determined",2
"determining",2
"developed",2
"different",2
"distance",2
"distances",2
"drains",2
"drilled",2
"drilling",2
"driven",2
"easements",2
"effect",2
"effects",2
"efficient",2
"efforts",2
"either",2
"electricity",2
"elevation",2
"emittance",2
"enable",2
"end",2
"enforcement",2
"ensure",2
"entity",2
"establish",2
"establishing",2
"exchanger",2
"facade",2
"facing",2
"fails",2
"financial",2
"finish",2
"firm",2
"fixed",2
"flat",2
"fluid",2
"force",2
"foregoing",2
"forth",2
"fossil",2
"freestanding",2
"full",2
"gas",2
"generator",2
"grid",2
"grout",2
"growing",2
"guarantee",2
"half",2
"hazardous",2
"highly",2
"horizontal",2
"hydration",2
"igshpa",2
"illegal",2
"improve",2
"included",2
"independent",2
"infeasibility",2
"initial",2
"inquiries",2
"insulation",2
"insurance",2
"integrity",2
"intent",2
"interest",2
"interior",2
"invalid",2
"island",2
"isolation",2
"issued",2
"jurisdiction",2
"labeled",2
"liability",2
"lighting",2
"limit",2
"limitations",2
"longest",2
"make",2
"manner",2
"measure",2
"mechanism",2
"meet",2
"meteorological",2
"modules",2
"monitoring",2
"municipal",2
"narrative",2
"need",2
"newly",2
"non-residential",2
"nonparticipating",2
"north",2
"noted",2
"notice",2
"notify",2
"number",2
"obtain",2
"offset",2
"operable",2
"operated",2
"ordained",2
"organic",2
"output",2
"pa",2
"painted",2
"paragraph",2
"participating",2
"parts",2
"passive",2
"penetration",2
"permits",2
"pervious",2
"phase",2
"physically",2
"pitch",2
"plant",2
"plants",2
"plumbing",2
"ponds",2
"positioned",2
"pounds",2
"power",2
"powers",2
"prevailing",2
"produced",2
"products",2
"provides",2
"provision",2
"quirple",2
"radio",2
"ready",2
"recodify",2
"reflect",2
"remove",2
"removed",2
"report",2
"require",2
"reserves",2
"respect",2
"response",2
"roofing",2
"sentence",2
"set",2
"sewer",2
"shingles",2
"shortest",2
"shrubs",2
"sites",2
"size",2
"slightly",2
"sloped",2
"sound",2
"spray",2
"square",2
"star",2
"storage",2
"streets",2
"subdivisions",2
"summer",2
"sunlight",2
"supplemental",2
"support",2
"supporting",2
"sustainable",2
"take",2
"telephone",2
"television",2
"therefore",2
"throughout",2
"timber",2
"towers",2
"track",2
"turbines",2
"unconstitutional",2
"undisturbed",2
"unlawful",2
"useful",2
"using",2
"value",2
"vanes",2
"verification",2
"version",2
"vertically",2
"viable",2
"violation",2
"volume",2
"wecs",2
"weight",2
"whose",2
"windbreak",2
"woody",2
"abandonment",1
"absorb",1
"acceptable",1
"accessible",1
"accompanied",1
"according",1
"accounted",1
"accredited",1
"acre",1
"acres",1
"activities",1
"added",1
"addresses",1
"administratively",1
"adobe",1
"advance",1
"advise",1
"aerial",1
"aerobic",1
"aerodynamic",1
"aesthetics",1
"affect",1
"affected",1
"affidavit",1
"afforded",1
"agencies",1
"agency",1
"agents",1
"aggregate",1
"agree",1
"agreements",1
"airspace",1
"allow",1
"allowable",1
"allowing",1
"along",1
"alters",1
"ambulance",1
"amending",1
"american",1
"anchor",1
"anchors",1
"animal",1
"animals",1
"annual",1
"another",1
"answer",1
"antifreeze",1
"appeal",1
"appears",1
"appliances",1
"applicants",1
"applications",1
"applies",1
"approvals",1
"appurtenances",1
"architectural",1
"array",1
"artificial",1
"artificially",1
"ash",1
"asphalt",1
"assigns",1
"association",1
"assurance",1
"assure",1
"astm",1
"atmosphere",1
"audible",1
"augured",1
"awning",1
"axes",1
"back",1
"backfilling",1
"balance",1
"barnyards",1
"based",1
"basement",1
"basements",1
"basins",1
"behind",1
"beneficial",1
"berms",1
"best",1
"blades",1
"bmps",1
"bodily",1
"bonding",1
"bonusbonus",1
"booms",1
"bore",1
"bored",1
"boring",1
"bottom",1
"boundary",1
"box",1
"brick",1
"british",1
"buffers",1
"buildable",1
"buildinglocated",1
"buildingsbuildings",1
"builds",1
"buried",1
"burn",1
"burning",1
"cables",1
"called",1
"canopy",1
"capabilities",1
"carcasses",1
"carrying",1
"cased",1
"cases",1
"casts",1
"categories",1
"caused",1
"cavity",1
"center",1
"certificates",1
"certifications",1
"certify",1
"certifying",1
"cesspools",1
"chairman",1
"changes",1
"characteristics",1
"characterize",1
"chips",1
"chute",1
"circulating",1
"clauses",1
"clear",1
"clearance",1
"climbing",1
"closer",1
"coal",1
"coated",1
"codifying",1
"collectors",1
"competent",1
"complaints",1
"completed",1
"compressed",1
"concern",1
"conduct",1
"conflict",1
"conflicts",1
