"Word","Freq"
"shall",2471
"ord",2013
"city",1803
"code",1637
"palos",1272
"verdes",1272
"municipal",1248
"estates",1242
"exh",872
"permit",870
"title",861
"public",836
"may",726
"chapter",705
"ordinance",704
"property",671
"current",624
"legislation",623
"person",623
"passed",592
"june",588
"page",588
"council",519
"use",511
"within",468
"section",444
"application",439
"required",428
"means",412
"director",411
"ion",406
"building",390
"provisions",373
"development",366
"pvemc",343
"upon",338
"regulations",323
"provided",318
"pursuant",308
"notice",304
"proposed",300
"time",290
"planning",284
"one",283
"commission",282
"including",280
"following",278
"facility",275
"hearing",272
"applicant",270
"area",266
"state",261
"zoning",260
"map",256
"feet",242
"owner",237
"wireless",234
"will",233
"ions",230
"facilities",225
"site",225
"structure",215
"approval",214
"days",213
"plan",207
"business",202
"used",201
"subject",200
"dog",197
"purpose",197
"existing",195
"lot",193
"parking",193
"safety",193
"traffic",192
"street",191
"cal",185
"requirements",185
"date",182
"health",180
"except",179
"applicable",178
"zone",177
"set",176
"construction",175
"emergency",175
"prior",175
"act",174
"california",172
"approved",171
"fee",170
"officer",170
"equipment",169
"procedures",168
"made",166
"tax",166
"unless",166
"conditions",165
"general",165
"manager",163
"vehicle",163
"located",162
"established",159
"persons",159
"decision",157
"vehicles",157
"written",155
"include",152
"review",152
"sections",152
"compliance",151
"authorized",149
"provide",147
"location",146
"police",146
"project",145
"defined",144
"service",144
"forth",143
"commercial",142
"issued",142
"land",141
"necessary",141
"standards",141
"engineer",140
"without",139
"control",137
"request",137
"must",136
"purposes",136
"apply",135
"otherwise",135
"services",135
"license",134
"permitted",134
"residential",134
"water",134
"administrative",133
"new",133
"period",133
"subdivision",133
"appeal",132
"law",131
"part",131
"st",131
"areas",129
"final",129
"county",128
"place",128
"hundred",127
"action",126
"violation",126
"department",123
"streets",123
"private",122
"coastal",119
"housing",118
"subsection",117
"nuisance",116
"thereof",116
"communications",115
"less",115
"resolution",114
"work",114
"reasonable",112
"square",112
"ed",111
"percent",111
"report",111
"responsible",111
"information",110
"signs",109
"limited",107
"manner",107
"order",106
"uses",106
"adjacent",105
"whether",103
"flood",102
"exceed",101
"two",100
"five",99
"dwelling",98
"unit",97
"units",96
"height",95
"event",94
"grading",94
"structures",94
"amount",92
"cause",92
"number",92
"exempt",91
"buildings",90
"least",90
"minimum",90
"ten",89
"accordance",88
"deemed",88
"way",88
"park",87
"determination",86
"determined",86
"federal",86
"fees",86
"either",85
"space",85
"finance",84
"permittee",84
"special",84
"conditional",83
"line",83
"includes",82
"meeting",82
"condition",81
"maintenance",81
"works",81
"additional",80
"comply",80
"natural",80
"premises",80
"sale",80
"definit",79
"prohibit",79
"requirement",79
"addition",78
"permits",77
"utility",77
"approve",75
"issuance",75
"year",75
"design",74
"local",73
"real",73
"designee",72
"district",72
"first",72
"provision",72
"system",72
"term",72
"access",71
"cit",71
"cost",71
"designated",71
"individual",71
"specific",71
"yard",71
"animal",70
"enforcement",70
"plans",70
"maintained",69
"portion",69
"thousand",69
"activities",68
