"Word","Freq"
"shall",7576
"town",4869
"section",4362
"property",2239
"may",2158
"tax",1857
"ordinance",1815
"article",1712
"use",1666
"person",1436
"permit",1421
"within",1381
"public",1322
"building",1225
"code",1220
"development",1183
"license",1074
"provided",1059
"chapter",1055
"construction",1026
"required",986
"fee",945
"upon",933
"means",895
"council",858
"state",856
"business",855
"service",816
"services",805
"fees",800
"fire",800
"following",778
"area",774
"licensee",769
"subject",769
"time",749
"violation",743
"application",704
"provisions",704
"system",690
"4a-",664
"including",651
"used",624
"gross",620
"pursuant",620
"sales",614
"taxpayer",604
"days",602
"equipment",599
"court",596
"special",596
"income",592
"feet",588
"one",588
"notice",585
"owner",576
"date",569
"zoning",567
"requirements",543
"personal",542
"plan",537
"valley",537
"paradise",536
"water",529
"vehicle",515
"collector",504
"except",501
"facilities",498
"will",498
"safety",491
"amend",490
"regulations",488
"residential",479
"structure",479
"land",470
"include",469
"imposed",465
"must",464
"amount",459
"lot",459
"manager",458
"department",457
"sewer",454
"reserved",453
"health",452
"law",444
"issued",441
"provide",430
"arizona",429
"existing",429
"facility",423
"street",420
"control",418
"private",417
"applicant",415
"period",415
"way",415
"traffic",411
"written",409
"purpose",403
"subsection",400
"sale",399
"general",398
"paid",398
"purposes",397
"without",396
"real",393
"new",391
"authorized",389
"made",385
"activity",384
"agreement",383
"approved",383
"applicable",382
"proposed",379
"prior",378
"part",376
"approval",373
"enforcement",371
"information",369
"necessary",368
"set",368
"tangible",368
"alarm",364
"review",361
"areas",360
"commission",360
"minimum",357
"deemed",356
"hearing",355
"persons",355
"unless",353
"event",350
"materials",350
"rental",349
"site",349
"officer",345
"accordance",341
"otherwise",337
"district",336
"order",333
"limited",331
"unlawful",330
"emergency",329
"structures",329
"office",326
"height",322
"improvements",321
"apply",318
"taxes",318
"parking",313
"standards",313
"cable",312
"engineer",309
"terms",305
"sec",304
"location",303
"civil",301
"police",301
"subdivision",300
"capital",299
"maintenance",299
"costs",297
"permits",296
"nuisance",295
"located",294
"number",292
"administrative",291
"exceed",291
"request",291
"two",290
"flood",285
"definitions",280
"final",279
"wastewater",277
"vehicles",275
"charges",273
"buildings",272
"due",272
"liability",269
"mayor",268
"defined",267
"records",266
"term",266
"line",265
"natural",264
"compliance",262
"place",262
"action",261
"additional",261
"county",261
"penalties",261
"administration",259
"activities",258
"signs",258
"either",256
"motor",254
"utility",253
"forth",252
"payment",250
"procedures",250
"municipal",248
"board",247
"per",247
"work",247
"adopted",246
"manner",246
"access",245
"cause",245
"protection",245
"year",244
"rules",243
"thereof",243
"schedule",242
"permitted",241
"day",240
"r-",239
"conditions",238
"penalty",237
"said",237
"official",236
"appeal",235
"food",235
"report",234
"designated",233
"whether",233
"cost",232
"addition",231
"assessment",231
"credit",231
"prohibited",228
"charge",225
"streets",225
"connection",224
"interest",224
"least",223
"decision",222
"form",221
"providing",221
"considered",219
"exempt",218
"noise",216
"title",216
"amended",213
"licensed",213
"similar",213
"issuance",212
"privilege",212
"right-of",212
"established",211
"installed",211
"agent",210
"animal",210
"sanitary",210
"reasonable",209
"every",208
"improvement",208
"licensing",208
"material",207
"duties",206
"international",206
"city",205
"based",204
"collection",204
"first",204
"community",203
"customer",203
"insurance",202
"value",202
"less",201
"maximum",200
"make",198
"right",197
"authority",196
"wireless",196
"also",194
"design",194
"entity",194
"installation",194
"repair",194
"violations",194
"marshal",193
"comply",192
"percent",191
"related",191
"storage",191
"prescribed",190
"amendments",188
"federal",188
"walls",188
"sewers",187
"local",186
"care",185
"premises",185
"systems",185
"reg",184
"sign",184
"transaction",184
"determination",183
"election",183
"resolution",183
"total",183
"adjacent",182
"allowed",182
"another",182
"commercial",182
"includes",182
"planning",182
"user",182
"plat",181
"credits",180
"evidence",180
"granted",180
"retail",179
"operation",178
"limits",177
"responsible",177
"specified",177
"storm",177
"three",177
"blasting",176
"hillside",176
"budget",175
"contract",175
"level",175
"portion",173
"provision",173
"transfer",173
"devices",172
"infrastructure",172
"maintain",172
"basis",171
"clerk",170
"contractor",170
"pay",170
"removal",170
"single",170
"temporary",170
"filed",169
"five",169
"process",169
"rate",169
"sanitation",168
"issue",167
"appropriate",166
"lines",166
"officers",165
"uses",165
"act",164
"discharge",164
"inspection",164
"collected",162
"condition",162
"drainage",162
"included",162
"ordinances",162
"paragraph",162
"authorize",160
"leasing",160
"name",158
"renewal",158
"type",158
"unit",158
"wall",158
"contracting",157
"designee",157
"engaged",157
"lots",157
"received",157
"require",157
"change",156
"program",156
"road",156
"determined",155
"occupancy",155
"communications",152
"floodplain",152
"hours",152
"items",152
"thirty",152
"years",152
"available",151
"lease",151
"record",151
"maintained",150
"file",149
"fuel",149
"home",149
"receipt",149
"restrictions",149
"amendment",148
"sold",148
"specific",148
"damage",147
"extension",147
"extent",147
"meet",147
"view",147
"directly",146
"herein",146
"grade",144
"medical",144
"regulation",144
"repealed",144
"swf",144
"taxable",144
"charged",143
"failure",143
"revenue",143
"subscriber",143
"lien",142
"description",141
"group",141
"television",141
"ten",141
"waste",141
"director",140
"employees",140
"owners",140
"surface",140
"device",139
"greater",139
"jurisdiction",139
"equal",138
"however",138
"permittee",138
"effective",137
"meeting",137
"outside",137
"square",137
"bond",136
"delete",136
"separately",136
"plans",135
"adopt",134
"dwelling",134
"explosive",134
"grant",134
"limitations",134
"organization",134
"provider",134
"actual",133
"minor",132
"personnel",132
"space",132
"subdivisions",132
"animals",131
"case",131
"designed",131
"direct",131
"full",131
"prevent",131
"submitted",131
"occupant",130
"statement",130
"corporation",129
"false",129
"foot",129
"agency",128
"certain",128
"effect",128
"energy",128
"gas",128
"judge",128
"placed",128
"separate",128
"statutes",128
"class",127
"lighting",127
"open",127
"small",127
"certificate",126
"environmental",126
"ground",126
"hundred",126
"setback",126
"six",126
"become",125
"complete",125
"consumption",125
"revised",125
"sections",125
"address",123
"determine",123
"gambling",123
"offenses",123
"replace",123
"chief",122
"possession",122
"side",122
"sprinkler",122
"legal",121
"rights",121
"times",121
"watercourse",121
"criminal",120
"filing",120
"government",120
"sewage",120
"individual",119
"power",118
"primary",118
"read",118
"abatement",117
"easement",117
"exception",117
"point",117
"dog",116
"financial",116
"intended",116
"months",116
"requirement",116
"standard",116
"committee",115
"licenses",115
"members",115
"party",115
"powers",115
"security",115
"circumstances",114
"conduct",114
"purchase",114
"can",112
"computer",112
"fence",112
"procedure",112
"responsibility",112
"applications",111
"constructed",111
"continuing",111
"held",111
"take",111
"employee",110
"hereby",110
"immediately",110
"inches",110
"maricopa",110
"stop",110
"writing",110
"air",109
"changes",109
"conducted",109
"described",109
"flow",109
"guidelines",109
"mean",109
"operating",109
"assessed",108
"calendar",108
"delivery",108
"establish",108
"properly",108
"approve",107
"capacity",107
"default",107
"accessory",106
"governmental",106
"nature",106
"roadway",106
"pwsf",105
"solid",105
"treatment",105
"adjoining",104
"allow",104
"demolition",104
"future",104
"laws",104
"limit",104
"operator",104
"performance",104
"recorded",104
"books",103
"etc",103
"grading",103
"paper",103
"parcel",103
"refund",103
"removed",103
"states",103
"table",103
"alternative",102
"derived",102
"exceptions",102
"exemption",102
"expense",102
"proper",102
"properties",102
"return",102
"serve",102
"current",101
"given",101
"management",101
"operations",101
"add",100
"identified",100
"month",100
"requested",100
"response",100
"valid",100
"audit",99
"conditional",99
"elevation",99
"exterior",99
"fireworks",99
"whenever",99
"floor",98
"town's",98
"agents",97
"associated",97
"criteria",97
"enter",97
"developer",96
"submit",96
"claim",95
"operate",95
"products",95
"qualifying",95
"regarding",95
"amounts",94
"cases",94
"consideration",94
"engaging",94
"equivalent",94
"hazard",94
"measured",94
"operated",94
"pool",94
"procurement",94
"showing",94
"subsequent",94
"taken",94
"text",94
"dollars",93
"specifically",93
"coverage",92
"landscaping",92
"misdemeanor",92
"obtain",92
"preliminary",92
"transportation",92
"words",92
"actions",91
"hazardous",91
"item",91
"remove",91
"ruling",91
"fails",90
"intent",90
"light",90
"proceeds",90
"subsections",90
"waters",90
"permanent",89
"project",89
"result",89
"united",89
"welfare",89
"yard",89
"audits",88
"data",88
"licensee's",88
"living",88
"original",88
"presiding",88
"residence",88
"transactions",88
"classification",87
"electrical",87
"exemptions",87
"follows",87
"front",87
"later",87
"policy",87
"quality",87
"resulting",87
"shown",87
"size",87
"staff",87
"base",86
"completion",86
"expiration",86
"liable",86
"occupancies",86
"relating",86
"remedies",86
"reporting",86
"wastes",86
"administrator",85
"definition",85
"fences",85
"obtained",85
"offense",85
"plant",85
"revocation",85
"rights-of",85
"adequate",84
"affected",84
"agreements",84
"applied",84
"constitute",84
"events",84
"manufactured",84
"master",84
"principal",84
"professional",84
"sufficient",84
"assessments",83
"attorney",83
"cash",83
"contain",83
"documentation",83
"dust",83
"educational",83
"improved",83
"meter",83
"thereto",83
"fully",82
"petition",82
"prepared",82
"present",82
"refuse",82
"telecommunication",82
"containers",81
"locations",81
"political",81
"proceedings",81
"tennis",81
"aircraft",80
"billing",80
"certification",80
"language",80
"map",80
"outdoor",80
"reason",80
"repeal",80
"single-family",80
"substantial",80
"average",79
"increase",79
"occur",79
"offices",79
"ownership",79
"representative",79
"roads",79
"attached",78
"authorization",78
"certified",78
"excess",78
"monitoring",78
"stated",78
"vendor",78
"adoption",77
"end",77
"job",77
