"Word","Freq"
"shall",7839
"sec",6721
"city",4133
"code",3856
"chap",2203
"ord",2086
"may",1706
"public",1571
"paramount",1564
"permit",1487
"article",1468
"municipal",1339
"person",1257
"section",1246
"common",1242
"within",1234
"required",1201
"ch",1195
"property",1181
"use",1142
"pg",1131
"doc",1109
"muni",1109
"version",1071
"building",1060
"area",995
"upon",989
"council",980
"provided",903
"water",874
"chapter",868
"service",841
"one",827
"feet",788
"application",766
"time",762
"provisions",742
"mun",702
"business",688
"parking",686
"sign",685
"following",662
"development",658
"signs",658
"used",645
"state",641
"notice",612
"director",610
"street",586
"days",562
"lot",556
"applicant",544
"premises",535
"tax",533
"hearing",524
"license",511
"vehicle",506
"areas",498
"art",497
"permitted",486
"facilities",476
"subject",476
"nos",471
"place",471
"including",470
"thereof",469
"franchise",465
"clerk",446
"fee",440
"owner",439
"county",432
"requirements",432
"zoning",430
"less",424
"date",421
"set",421
"location",418
"ordinance",408
"map",402
"grantee",399
"will",394
"located",390
"line",387
"except",385
"commission",384
"general",381
"purpose",376
"pursuant",375
"made",374
"structure",374
"two",371
"approval",370
"regulations",368
"uses",368
"land",366
"streets",361
"maintained",349
"buildings",346
"materials",346
"system",344
"zone",342
"must",341
"proposed",340
"said",339
"unless",339
"amount",336
"minimum",333
"vehicles",331
"forth",329
"law",329
"purposes",329
"planning",327
"standards",324
"include",320
"manager",320
"conditions",318
"necessary",318
"every",317
"design",310
"generally",310
"material",309
"existing",308
"period",308
"plan",308
"safety",308
"written",307
"construction",306
"residential",306
"appeal",304
"prohibited",304
"space",304
"height",303
"limited",301
"authorized",298
"five",297
"manner",295
"work",295
"yard",288
"order",287
"site",287
"violation",287
"services",286
"square",282
"without",280
"health",279
"prior",279
"waste",279
"division",278
"persons",276
"board",275
"community",274
"defined",274
"issued",273
"front",272
"means",272
"department",271
"number",270
"inches",269
"side",269
"part",268
"control",266
"approved",265
"highway",265
"establishment",263
"hundred",263
"action",260
"per",260
"portion",259
"provide",259
"otherwise",258
"lots",256
"administrative",255
"storage",254
"review",252
"california",249
"officer",249
"sale",247
"commercial",246
"ten",245
"wall",245
"facility",244
"condition",241
"type",241
"exceed",240
"removal",236
"see",236
"decision",235
"cost",234
"maximum",234
"parcel",234
"structures",232
"deposit",231
"equipment",229
"private",228
"day",226
"animal",224
"apply",223
"established",223
"way",221
"maintain",220
"open",219
"cause",217
"payment",217
"unit",216
"works",215
"granted",213
"percent",213
"spaces",213
"right",212
"three",212
"pay",211
"installation",210
"agency",209
"permittee",209
"specified",209
"year",208
"applicable",207
"new",207
"term",206
"advertising",204
"information",204
"least",204
"either",202
"whether",202
"additional",200
"name",199
"operation",199
"collection",196
"final",196
"garbage",196
"resolution",196
"charges",194
"etc",193
"nuisance",193
"accordance",192
"traffic",192
"designated",190
"fees",190
"motor",190
"compliance",189
"first",189
"issuance",189
"make",188
"maintenance",187
"adult",186
"six",185
"dwelling",184
"floor",183
"paid",183
"filing",182
"fire",181
"address",180
"placed",180
"refuse",180
"allowed",179
