"Word","Freq"
"shall",1337
"town",604
"section",473
"board",436
"may",320
"public",302
"permit",293
"building",283
"district",274
"within",250
"commission",247
"use",234
"area",216
"feet",213
"one",212
"selectmen",206
"pembroke",197
"lot",193
"water",191
"land",187
"plan",175
"way",167
"site",166
"person",165
"by-law",161
"bylaw",161
"article",139
"upon",139
"said",136
"following",134
"department",132
"zoning",124
"application",123
"including",122
"street",122
"time",120
"uses",120
"hearing",119
"line",119
"provided",119
"will",119
"regulations",117
"special",117
"provisions",114
"requirements",114
"planning",110
"required",110
"property",106
"areas",103
"except",103
"owner",103
"massachusetts",102
"notice",100
"two",96
"structure",95
"police",94
"control",93
"construction",92
"days",92
"meeting",92
"proposed",92
"protection",92
"hundred",91
"applicant",90
"buildings",90
"purpose",89
"three",89
"business",88
"chapter",88
"committee",87
"general",87
"state",85
"authority",84
"include",84
"conditions",82
"used",81
"historic",80
"updated",80
"officer",79
"order",79
"stormwater",79
"year",79
"approval",78
"solar",78
"permitted",74
"existing",73
"issued",73
"residential",73
"sign",73
"date",72
"subject",72
"system",72
"allowed",69
"must",69
"exceed",68
"structures",68
"chief",67
"least",67
"without",67
"law",66
"parking",66
"signs",66
"thereof",66
"ways",65
"unless",64
"bylaws",63
"prior",63
"purposes",62
"appeals",61
"compliance",61
"first",61
"private",61
"clerk",60
"necessary",60
"drainage",59
"registered",59
"storage",59
"by-laws",58
"light",58
"natural",58
"day",57
"discharge",57
"removal",57
"square",57
"laws",56
"marijuana",56
"lines",55
"located",55
"vehicle",55
"violation",55
"flood",54
"municipal",54
"premises",54
"accordance",53
"dollars",53
"enforcement",53
"facility",53
"provide",53
"space",53
"access",52
"approved",52
"minimum",52
"written",52
"facilities",51
"management",51
"otherwise",51
"copy",50
"determination",50
"health",50
"license",50
"request",49
"work",49
"height",48
"inspector",48
"maintenance",48
"percent",48
"place",48
"side",48
"accessory",47
"act",47
"installation",47
"less",47
"part",47
"plans",47
"project",47
"require",47
"safety",47
"center",46
"fifty",46
"ground",46
"photovoltaic",46
"storm",46
