"Word","Freq"
"shall",8792
"city",5789
"ord",3752
"section",2928
"chapter",2558
"may",2374
"property",2062
"supp",1945
"code",1917
"sec",1913
"public",1794
"use",1656
"within",1546
"amended",1511
"person",1424
"development",1421
"water",1386
"permit",1385
"required",1225
"area",1201
"provided",1085
"tax",1066
"one",1064
"means",1056
"enacted",1042
"upon",1039
"business",1014
"service",1003
"department",977
"building",969
"following",936
"services",936
"license",914
"director",870
"state",868
"feet",866
"reserved",866
"provisions",848
"manager",843
"plan",822
"requirements",791
"violation",770
"construction",761
"council",755
"system",751
"subject",736
"time",730
"application",722
"facilities",704
"repealed",689
"owner",685
"will",684
"peoria",678
"street",671
"fee",670
"fees",659
"including",655
"regulations",636
"fire",635
"notice",601
"vehicle",596
"days",589
"standards",580
"zoning",578
"sign",576
"areas",570
"licensee",566
"line",562
"approved",561
"sales",550
"used",543
"review",540
"ordinance",539
"accordance",537
"include",533
"land",528
"residential",528
"date",527
"signs",521
"arizona",513
"law",513
"district",511
"per",511
"provide",508
"pursuant",506
"hearing",505
"subsection",482
"officer",481
"minimum",477
"uses",473
"board",469
"general",469
"site",467
"prior",466
"applicant",465
"located",460
"special",455
"lot",453
"community",448
"except",444
"permitted",442
"planning",442
"court",438
"approval",434
"civil",429
"parking",425
"information",424
"two",418
"period",416
"wastewater",416
"way",416
"facility",415
"without",415
"purposes",413
"existing",408
"necessary",407
"amount",405
"equipment",401
"written",395
"unless",392
"less",388
"control",386
"materials",386
"part",386
"traffic",384
"discharge",382
"similar",380
"issued",379
"new",379
"buildings",376
"order",376
"applicable",374
"conditions",374
"must",373
"request",371
"user",370
"utility",365
"made",364
"private",362
"gross",360
"reference",360
"streets",359
"set",358
"taxpayer",356
"proposed",355
"purpose",355
"designee",354
"commercial",353
"park",352
"limited",350
"authorized",349
"access",346
"designated",346
"hundred",346
"otherwise",346
"premises",346
"collector",343
"final",343
"location",338
"individual",337
"persons",337
"commission",334
"improvements",334
"compliance",331
"engineering",331
"costs",330
"manner",330
"structure",330
"right",328
"recreation",327
"report",327
"administration",324
"customer",324
"cable",323
"decision",319
"districts",319
"management",316
"exceed",313
"members",308
"sections",307
"apply",306
"avenue",304
"waste",304
"industrial",303
"pg",303
"adopted",302
"permits",298
"defined",294
"imposed",294
"deemed",293
"municipal",293
"sewer",291
"renumbered",290
"additional",289
"administrative",288
"alarm",288
"design",287
"sale",284
"enforcement",282
"activities",281
"appeal",281
"income",281
"charge",280
"personal",280
"whether",278
"action",277
"cost",277
"table",277
"activity",274
"interest",274
"vehicles",274
"day",273
"number",273
"real",273
"office",272
"subdivision",272
"established",271
"violations",271
"three",269
"pretreatment",268
"height",267
"maximum",267
"police",267
"procedures",267
"forth",265
"space",265
"storage",262
"definitions",261
"event",261
"structures",261
"year",256
"maintenance",253
"place",253
"along",252
"unlawful",252
"plans",250
"work",250
"operation",249
"due",247
"inspection",247
"paid",247
"systems",246
"disposal",245
"determined",243
"safety",242
"total",242
"cause",241
"agreement",240
"repair",239
"five",238
"terms",238
"square",236
"percent",234
"official",232
"plat",232
"reasonable",231
"county",230
"point",230
"procurement",230
"specified",230
"connection",228
"temporary",227
"dollars",226
"motor",226
"utilities",226
"drainage",225
"failure",225
"establishment",224
"require",224
"ten",223
"sewage",221
"protection",220
"road",220
"prohibited",219
"wall",219
"health",218
"parks",217
"appropriate",216
"charges",215
"providing",215
"hours",214
"minor",214
"authority",213
"legal",213
"pay",212
"penalties",212
"adjacent",211
"solid",211
"emergency",210
"employee",210
"first",210
"division",209
"form",209
"thereof",209
"payment",208
"comply",207
"duties",206
"home",206
"principal",206
"engineer",205
"responsible",205
"installation",204
"records",204
"improvement",201
"unit",201
"contract",200
"open",200
"submitted",200
"address",199
"file",198
"standard",198
"federal",195
"least",194
"make",194
"plant",194
"single",194
"retail",193
"addition",192
"care",192
"process",191
"specific",191
"also",190
"local",190
"sewers",190
"tangible",189
"available",188
"class",188
"determination",188
"occupancy",188
"years",188
"attorney",187
"value",187
"considered",184
"rental",184
"surface",184
"damage",183
"material",183
"portion",183
"flood",182
"includes",182
"member",182
"issuance",181
"project",181
"assessment",180
"maintained",179
"program",179
"provision",179
"filed",178
"name",178
"received",178
"grading",176
"thirty",176
"licenses",175
"act",174
"either",174
"fifty",174
"jurisdiction",174
"title",174
"based",173
"clerk",173
"maintain",173
"capital",172
"lots",172
"revised",172
"finance",171
"condition",170
"effective",170
"intended",170
"accessory",169
"exempt",169
"greater",169
"reclaimed",168
"designed",166
"installed",166
"position",166
"licensed",165
"intent",164
"claim",163
"appeals",162
"r1e",162
"adult",161
"center",161
"follows",161
"requirement",161
"agent",160
"evidence",160
"term",160
"case",159
"statutes",159
"article",158
"taxes",158
"said",157
"miscellaneous",156
"natural",156
"actual",155
"agency",155
"contractor",155
"granted",155
"meet",155
"placed",155
"prevention",155
"writing",155
"copy",154
"map",154
"six",154
"penalty",153
"type",153
"collection",152
"dwelling",152
"rules",152
"change",151
"entity",151
"corporation",150
"conditional",149
"device",149
"food",149
"landscape",149
"limits",149
"lines",149
"receipt",149
"related",149
"issue",147
"meeting",147
"rate",147
"recreational",147
"schedule",147
"direct",146
"four",146
"transfer",146
"however",145
"included",145
"party",145
"credit",144
"employees",144
"parcel",144
"removal",144
"side",144
"twenty",143
"animal",142
"classification",142
"outdoor",142
"every",141
"financial",141
"intersection",141
"thousand",141
"basis",140
"floor",140
"herein",140
"separate",140
"transaction",140
"determine",139
"permanent",139
"prevent",139
"rights",139
"submit",139
"present",138
"west",138
"secs",137
"size",137
"another",136
"constructed",136
"responsibility",136
"result",136
"slope",136
"statement",136
"guidelines",135
"prescribed",135
"items",134
"matter",134
"noise",134
"north",134
"specifications",134
"allowed",133
"record",132
"sidewalks",132
"units",132
"extent",131
"misdemeanor",131
"drive",130
"group",130
"right-of",130
"shopping",130
"flow",129
"operate",129
"owned",129
"floodplain",128
"infrastructure",128
"resolution",128
"treatment",128
"fine",127
"contained",126
"criminal",126
"historic",126
"international",126
"source",126
"constitute",125
"delivery",125
"devices",125
"filing",125
"nature",125
"users",125
"amendments",123
"changes",123
"inches",123
"main",123
"regulation",123
"calendar",122
"directly",122
"hazard",122
"liability",122
"planned",122
"supplemental",122
"waiver",122
"complete",121
"initial",121
"serve",121
"sanction",120
"south",120
"city's",119
"conduct",119
"outside",119
"ground",118
"overlay",118
"amendment",117
"collected",117
"distribution",117
"non-potable",117
"submittal",117
"works",117
"annual",116
"described",116
"dog",116
"plants",116
"supply",116
"charter",115
"officers",115
"operations",115
"states",115
"description",114
"obtain",114
"perform",114
