"Word","Freq"
"shall",1515
"ordinance",878
"section",786
"use",646
"district",577
"g-",577
"feet",455
"zoning",408
"development",389
"permit",360
"area",357
"lot",337
"permitted",323
"sales",319
"uses",318
"addition",312
"building",303
"subject",300
"street",296
"eff",292
"revision",291
"following",284
"residential",273
"phoenix",270
"property",265
"may",262
"within",260
"chapter",244
"commercial",241
"minimum",239
"standards",236
"site",233
"supp",229
"z6",229
"retail",219
"located",217
"required",215
"accessory",205
"public",203
"adjacent",201
"height",192
"storage",192
"outdoor",189
"line",182
"one",179
"parking",175
"provided",167
"requirements",161
"r-",154
"home",152
"single-family",148
"exceed",147
"lots",146
"residence",145
"facility",143
"approved",140
"c-",137
"less",137
"areas",135
"except",132
"office",130
"plan",130
"accordance",127
"front",126
"subdivision",123
"maximum",120
"square",116
"setback",115
"structures",115
"wall",114
"conducted",110
"provisions",109
"used",108
"yard",107
"measured",105
"vehicle",104
"districts",102
"per",101
"option",99
"facilities",98
"percent",97
"planning",97
"access",96
"five",96
"two",96
"way",95
"display",94
"general",94
"gross",94
"side",93
"department",91
"upon",91
"including",90
"stories",90
"approval",89
"model",88
"provide",88
"structure",88
"must",87
"conditions",86
"unit",86
"materials",85
"perimeter",85
"rear",85
"city",83
"park",83
"multifamily",82
"special",82
"buildings",81
"center",81
"sale",80
"wholesale",79
"distance",78
"homes",77
"similar",77
"attached",76
"equipment",76
"hundred",76
"review",76
"unless",76
"business",73
"setbacks",73
"deletion",72
"dwelling",72
"exterior",72
"hours",72
"none",72
"private",72
"depth",70
"proposed",70
"service",70
"total",69
"allowed",68
"include",68
"noise",68
"arterial",67
"landscaping",67
"limited",67
"securing",67
"re-",66
"ten",66
"floor",64
"min",64
"additional",63
"offices",63
"width",62
"common",61
"planned",61
"shelter",60
"trees",60
"worship",60
"r1-",59
"regulations",59
"adult",58
"part",58
"set",57
"thereof",57
"units",57
"obtained",56
"open",56
"place",56
"screened",56
"walls",55
"zoned",54
"landscaped",53
"density",52
"level",52
"thousand",52
"space",51
"primary",50
"prior",50
"rights-of",50
"streets",50
"activities",49
"average",49
"listed",49
"recreational",49
"solid",49
"a-",48
"compliance",48
"foot",48
"neighborhood",48
"outside",48
"portion",48
"project",48
"purposes",48
"size",48
"collector",47
"fence",47
"commerce",46
"land",46
"light",46
"limitations",46
"premises",46
"temporary",46
"care",45
"pursuant",45
"three",45
"vehicles",45
"cooking",44
"design",44
"established",44
"high",44
"map",44
"supplies",44
"construction",43
"loading",43
"date",42
"medical",42
"obtaining",42
"procedures",42
"s-",42
"boundary",41
"can",41
"group",41
"six",41
"administrator",40
"apply",40
"existing",40
"individual",40
"ing",40
"right-of",40
"time",40
"type",40
"canal",39
"con",39
"establishment",39
"parcel",39
"will",39
"-story",38
"alley",38
"code",38
"food",38
"intended",38
"least",38
"overlay",38
"residents",38
"shops",38
"fire",37
"health",37
"landscape",37
"manufacturing",37
"coverage",36
"entrance",36
"properties",36
"provision",36
"services",36
"spaces",36
"applicable",35
"forth",35
"meet",35
"restricted",35
"shrubs",35
"caliper",34
"community",34
"complex",34
"defined",34
"every",34
"location",34
"necessary",34
"products",34
"said",34
"sign",34
"single",34
"visible",34
"bonus",33
"events",33
"exceeding",33
"purpose",33
"event",32
"greater",32
"house",32
"on-site",32
"pocket",32
"restaurant",32
"tion",32
"tree",32
"-inch",31
"back",31
"character",31
"custom",31
"operated",31
"twenty-five",31
"bed",30
"built",30
"comply",30
"four",30
"intermediate",30
"lighting",30
"operation",30
"otherwise",30
"registered",30
"repair",30
"require",30
"sound",30
"church",29
"either",29
"estate",29
"masonry",29
"r-4a",29
"residentially",29
"stored",29
"breakfast",28
"constructed",28
"detached",28
"dis",28
"environmental",28
"fifty",28
"industrial",28
"interior",28
"months",28
"one-family",28
"r-3a",28
"schools",28
"screening",28
"sold",28
"story",28
"subdivided",28
"twenty",28
"automobile",27
"car",27
"closer",27
