"Word","Freq"
"shall",808
"section",792
"ordinance",765
"minimum",705
"feet",672
"building",648
"np",535
"street",493
"use",478
"parking",443
"zoning",442
"area",422
"may",398
"g-",395
"development",394
"phoenix",385
"chapter",333
"standards",330
"maximum",327
"st",312
"height",303
"lot",299
"supp",295
"addition",284
"eff",282
"within",280
"required",244
"frontage",239
"sign",233
"design",228
"public",228
"signs",213
"revision",212
"space",202
"permit",200
"per",199
"side",196
"following",190
"property",189
"pc",187
"one",182
"uses",179
"residential",170
"provided",169
"front",165
"percent",165
"primary",159
"line",158
"adjacent",155
"pedestrian",153
"structure",153
"setback",149
"width",148
"plan",147
"buildings",146
"open",145
"yard",144
"guidelines",142
"areas",140
"located",140
"land",138
"district",137
"review",135
"spaces",130
"sd",129
"requirements",128
"alley",127
"planning",127
"permitted",124
"site",123
"square",123
"character",122
"materials",120
"z12",118
"ave",117
"include",116
"must",116
"rear",114
"allowed",113
"code",113
"access",112
"ground",111
"used",111
"city",110
"dy",110
"subject",110
"wall",109
"general",107
"temporary",107
"approved",106
"department",105
"bonus",103
"floor",102
"way",102
"outdoor",101
"commercial",99
"provide",99
"approval",98
"including",98
"ga",97
"streetscape",96
"structures",94
"business",92
"two",92
"-foot",91
"lighting",91
"streets",91
"table",91
"types",91
"accessory",90
"fences",89
"five",87
"architectural",86
"landscape",86
"project",84
"exceed",83
"historic",83
"sidewalk",83
"t5",83
"east",82
"right-of",82
"signage",82
"accordance",81
"date",79
"existing",79
"matrix",78
"three",78
"coverage",77
"facade",77
"roosevelt",77
"avenue",76
"less",76
"properties",76
"dwelling",75
"loading",75
"will",75
"light",74
"limited",73
"along",72
"retail",71
"setbacks",71
"roof",70
"t6",69
"vehicle",69
"deletion",68
"density",68
"7th",67
"landscaping",67
"single-family",67
"downtown",66
"plans",66
"unit",66
"3rd",65
"accessible",65
"additional",65
"none",65
"application",64
"conditions",64
"designed",64
"districts",64
"lots",64
"map",64
"private",64
"west",64
"afy",63
"unless",63
"grade",62
"service",61
"six",61
"z13",61
"entrance",60
"facility",60
"ten",60
"tree",60
"upon",60
"ing",59
"provisions",59
"time",59
"trees",59
"units",59
"planned",58
"establishment",57
"paseo",57
"services",57
"storage",57
"active",56
"assembly",56
"home",56
"window",56
"central",55
"new",55
"parcel",55
"transit",55
"master",54
"shade",54
"walls",54
"zone",54
"preservation",53
"similar",53
"south",53
"ft",52
"inches",52
"sales",52
"size",52
"sp",52
"care",51
"elements",51
"exterior",51
"frontages",51
"apply",50
"center",50
"intent",50
"definitions",49
"event",49
"facilities",49
"north",49
"surface",49
"sy",49
"total",49
"visible",49
"z2",49
"alternative",48
"common",48
"windows",48
"except",47
"governed",47
"number",47
"park",47
"secondary",47
"transect",47
"water",47
"1st",46
"face",46
"fence",46
"main",46
"permanent",46
"placed",46
"regulations",46
"special",46
"sq",46
"entry",45
"industrial",45
"office",45
"z7",45
"arterial",44
"days",44
"form",44
"level",44
"corner",43
"fillmore",43
"greater",43
"increase",43
"measured",43
"sf",43
"lines",42
"off-premise",42
"vehicular",42
"gross",41
"off-street",41
"living",40
"location",40
"oriented",40
"persons",40
"urban",40
"applicant",39
"fencing",39
"least",39
"set",39
"consistent",38
"part",38
"rail",38
"single",38
"vehicles",38
"also",37
"high",37
"established",36
"follows",36
"large",36
"4th",35
"5th",35
"attached",35
"construction",35
"display",35
"natural",35
"net",35
"prior",35
"proposed",35
"sale",35
"t4",35
"type",35
"buren",34
"gateway",34
"grant",34
"providing",34
"specific",34
"van",34
"conducted",33
"conflict",33
"corridor",33
"material",33
"neighborhood",33
"owner",33
"utility",33
"amenities",32
"applicable",32
"base",32
"obtained",32
"purposes",32
"specified",32
"traffic",32
"treatment",32
"2nd",31
"appeal",31
"dining",31
"either",31
"group",31
"maintained",31
"documents",30
"eight",30
"events",30
"features",30
"food",30
"foot",30
"hours",30
"landscaped",30
"length",30
"medical",30
"ment",30
"scale",30
"stoop",30
"storefront",30
"appropriate",29
"core",29
"developments",29
"elevation",29
"goods",29
"identified",29
"mcdowell",29
"pc4",29
"purpose",29
"recreational",29
"related",29
"subdivision",29
"t3",29
"can",28
"community",28
"considered",28
"director",28
"door",28
"garage",28
"includes",28
"items",28
"motor",28
"portion",28
"require",28
"safety",28
"small",28
"tion",28
"abutting",27
"articulated",27
"beyond",27
"context",27
"copy",27
"decorative",27
"depth",27
"licensed",27
"multiple",27
"period",27
"point",27
"residents",27
"sections",27
"sites",27
"sustainability",27
"view",27
"arcade",26
"arizona",26
"block",26
"boundaries",26
"boundary",26
"constructed",26
"contain",26
"dedicated",26
"distance",26
"glazing",26
"hp",26
"individual",26
"mobile",26
"on-site",26
"porch",26
"staff",26
"well",26
"activities",25
"administrator",25
"art",25
"committee",25
"con",25
"easement",25
"entertainment",25
"hardscape",25
"increased",25
"perimeter",25
"primarily",25
"pro",25
"rd",25
"state",25
"warehouse",25
"without",25
"available",24
"based",24
"churchill",24
"designated",24
"directly",24
"drc",24
"entrances",24
"evans",24
"evergreen",24
"four",24
"manufacturing",24
"parallel",24
"performance",24
"prohibited",24
"reserved",24
"species",24
"vegetation",24
"comply",23
"decision",23
"floors",23
"health",23
"housing",23
"included",23
"long",23
"placement",23
"plant",23
"see",23
"shared",23
"surrounding",23
"year",23
"allow",22
"approve",22
"arena",22
"bicycle",22
"buffer",22
"closer",22
"concrete",22
"continued",22
"cover",22
"detached",22
"fully",22
"made",22
"order",22
"school",22
"awning",21
"brick",21
"c-",21
"certificate",21
"covered",21
"create",21
"different",21
"dooryard",21
"driveways",21
"entire",21
"equipment",21
"forms",21
"homes",21
"house",21
"larger",21
"locations",21
"manner",21
"offices",21
"patio",21
"policy",21
"pursuant",21
"tab",21
"vertical",21
"a-",20
"activity",20
"adopted",20
"compliance",20
"condition",20
"effect",20
"environment",20
"facades",20
"forth",20
"hearing",20
"illumination",20
"mixed-use",20
"mounted",20
"necessary",20
"obtaining",20
"occupancy",20
"person",20
"planted",20
"premises",20
"process",20
"rooms",20
"shown",20
"solid",20
"support",20
"wu",20
"administrative",19
"alternatives",19
"build",19
"built",19
"circulation",19
"container",19
"defined",19
"dis",19
"establishments",19
"extend",19
"freestanding",19
"intended",19
"interior",19
"local",19
"low",19
"maintenance",19
"mass",19
"nonresidential",19
"otherwise",19
"pc20",19
"personal",19
"place",19
"preliminary",19
"products",19
"projection",19
"projections",19
"provides",19
"serve",19
"sidewalks",19
"structural",19
"transportation",19
"trim",19
"visual",19
"zoned",19
"angle",18
"another",18
"appeals",18
"associated",18
"calendar",18
"category",18
"collector",18
"conformance",18
"containing",18
"continuous",18
"day",18
"decrease",18
"designee",18
"displayed",18
"elevations",18
"enhance",18
"every",18
"final",18
"fixtures",18
"illuminated",18
"improvements",18
"interest",18
"meeting",18
"name",18
"pavers",18
"slope",18
"stories",18
"walkable",18
"wide",18
"written",18
"z5",18
"6th",17
"awnings",17
"back",17
"behind",17
"clear",17
"compatible",17
"determined",17
"doors",17
"driveway",17
"family",17
"finished",17
"hillside",17
"installation",17
"masonry",17
"mckinley",17
"means",17
"modifications",17
"modified",17
"off-site",17
"outside",17
"permits",17
"reduce",17
"screened",17
"screening",17
"separation",17
"served",17
"stepback",17
"submitted",17
"tenant",17
"top",17
"applicability",16
"cornices",16
"creating",16
"develop",16
"direct",16
"drainage",16
"gal",16
"integrated",16
"jackson",16
"movement",16
"pattern",16
"pc7",16
"physical",16
"plants",16
"projects",16
"right",16
"room",16
"security",16
"shading",16
"sides",16
"soil",16
"subsection",16
"swimming",16
"system",16
"visibility",16
"volume",16
"banners",15
"basis",15
"board",15
"canopy",15
"civic",15
"considerations",15
"containers",15
"dental",15
"ensure",15
"flowers",15
"freeway",15
"guest",15
"hundred",15
"lery",15
"maps",15
"meet",15
"minor",15
"paving",15
"plane",15
"possible",15
"present",15
"principal",15
"recreation",15
"shelter",15
"station",15
"upper",15
"uptown",15
"adjoining",14
"applied",14
"arts",14
"businesses",14
"changes",14
"clearance",14
"contribute",14
"credits",14
"deviation",14
"distinctive",14
"edge",14
"erected",14
"facing",14
"fee",14
"flags",14
"footage",14
"impacts",14
"merchandise",14
"notice",14
"nursery",14
"path",14
"patrons",14
"patterns",14
"professional",14
"promote",14
"removed",14
"repair",14
"residence",14
"restrictions",14
"road",14
"shadow",14
"turf",14
"wire",14
"yards",14
"-inches",13
"accessed",13
"acres",13
"adams",13
"age",13
"balconies",13
"break",13
"bulk",13
"caliper",13
"canal",13
"commission",13
"d-",13
"dance",13
"dimension",13
"exceeding",13
"exception",13
