"Word","Freq"
"shall",3041
"town",1668
"section",1303
"may",798
"building",616
"service",601
"fire",592
"permit",570
"services",558
"person",551
"code",544
"public",540
"ordinance",520
"property",510
"article",482
"required",470
"within",470
"water",466
"department",441
"license",409
"waste",403
"system",401
"council",400
"utility",385
"fee",375
"provided",364
"time",345
"development",343
"means",335
"construction",334
"chapter",333
"fees",311
"upon",310
"including",306
"discharge",304
"notice",295
"following",291
"business",290
"licensee",287
"director",280
"one",276
"requirements",261
"provisions",259
"use",259
"owner",253
"plan",253
"application",252
"residential",249
"days",245
"violation",245
"official",242
"regulations",242
"wastewater",240
"facilities",237
"necessary",236
"approved",230
"feet",225
"state",225
"equipment",224
"prior",222
"will",213
"used",208
"user",208
"buildings",207
"enforcement",207
"issued",205
"structure",201
"date",199
"costs",197
"authorized",192
"control",191
"pursuant",190
"include",187
"minimum",186
"agreement",185
"accordance",184
"access",181
"area",178
"impact",176
"must",173
"facility",171
"new",171
"place",166
"premises",166
"compliance",165
"except",165
"without",164
"existing",163
"manager",160
"order",157
"additional",155
"applicable",155
"applicant",155
"street",155
"vehicle",155
"county",153
"customer",153
"subject",153
"provide",152
"work",152
"emergency",151
"officer",151
"inspection",150
"set",150
"law",149
"review",149
"land",147
"animal",146
"civil",146
"made",145
"cable",142
"cause",141
"hearing",140
"materials",140
"queen",140
"creek",139
"installed",139
"otherwise",139
"traffic",139
"general",138
"unless",138
"limited",137
"less",136
"structures",136
"period",135
"persons",134
"cost",133
"sewer",133
"responsible",132
"revised",132
"standards",132
"unit",132
"improvements",131
"occupancy",131
"systems",131
"written",130
"arizona",129
"action",128
"number",128
"safety",127
"temporary",125
"information",122
"pretreatment",121
"permits",120
"approval",118
"dog",117
"part",117
"subsection",117
"thereof",117
"charges",116
"day",116
"defined",116
"paid",116
"air",115
"per",115
"january",114
"location",114
"private",114
"specified",114
"collection",113
"purpose",113
"whether",113
"designated",112
"request",112
"installation",111
"address",110
"office",109
"purposes",109
"two",109
"connection",108
"provision",108
"authority",107
"design",107
"capital",106
"forth",106
"comply",105
"follows",105
"amended",104
"plans",103
"prevention",103
"sexually",103
"clerk",102
"conditions",102
"oriented",102
"adopted",101
"inspections",101
"amount",100
"apply",100
"require",100
"way",99
"report",98
"agent",97
"charge",97
"condition",97
"extension",97
"health",97
"industrial",96
"hazardous",95
"manner",95
"protection",95
"standard",94
"reasonable",93
"due",92
"first",92
"maintenance",92
"schedule",92
"deemed",91
"potw",91
"appropriate",90
"commercial",89
"duties",89
"rev",89
"appeal",88
"least",88
"located",88
"site",88
"special",88
"addition",87
"class",87
"similar",87
"court",85
"program",85
"available",84
"devices",84
"issuance",84
"hereby",83
"individual",83
"operation",83
"permitted",83
"solid",83
"supply",83
"administrative",82
"assessment",82
"maintain",82
"five",81
"international",81
"ordinances",81
"documents",80
"infrastructure",80
"name",80
"rules",80
"failure",79
"party",79
"right",79
"storage",79
"areas",78
"credit",78
"install",78
"make",78
"portion",78
"submitted",78
"vehicles",78
"also",77
"exceed",77
"federal",77
"form",77
"hours",77
"payment",77
"event",76
"mean",76
"tcs",76
"hazard",75
"herein",75
"procedures",75
"square",75
"chief",74
"establishment",74
"final",74
"includes",74
"jurisdiction",74
"prevent",74
"proposed",74
"units",74
"unlawful",74
"years",74
"activities",73
"apparatus",73
"limits",73
"teletrack",73
"administration",72
"interest",72
"assembly",71
"determined",71
"division",71
"inches",71
"material",71
"certificate",70
"legal",70
"said",70
"separate",70
"capacity",69
"issue",69
"line",69
"mayor",69
"personnel",69
"terms",69
"established",68
"penalties",68
"thirty",68
"type",68
"act",67
"definitions",67
"either",67
"prohibited",67
"responsibility",67
"pool",66
"repair",66
"sale",66
"users",66
"year",66
"corporation",65
"pressure",65
"violations",65
"writing",65
"three",64
"change",63
"connections",63
"gas",63
"identification",63
"sampling",63
"based",62
"category",62
"local",62
"records",62
"swimming",62
"damage",61
"designee",61
"electrical",61
"expense",61
"lot",61
"maximum",61
"open",61
"single",61
"streets",61
"ten",61
"lien",60
"occupant",60
