"Word","Freq"
"parkway",63
"materials",55
"plant",38
"height",28
"must",28
"permit",28
"shall",24
"required",22
"areas",21
"within",20
"nonstandard",19
"landscape",18
"stormwater",18
"may",17
"public",17
"street",17
"systems",17
"installed",16
"turf",16
"city",15
"improvements",15
"uniform",15
"convenience",14
"groundcover",14
"moderate",14
"non-vegetative",14
"will",14
"drought-tolerant",13
"maintain",13
"adjoining",12
"capture",12
"curb",11
"mowed",11
"require",11
"sidewalk",11
"standard",11
"used",11
"water",11
"works",11
"action",10
"affirmative",10
"department",10
"equal",10
"good",10
"mow",10
"opportunity",10
"parkways",10
"paving",10
"preferred",10
"property",10
"surface",10
"angeles",9
"employer",9
"flowers",9
"house",9
"installation",9
"irrigation",9
"los",9
"residential",9
"age",8
"material",8
"name",8
"notes",8
"revocable",8
"section",8
"strips",8
"area",7
"b-permit",7
"edible",7
"groundcovers",7
"include",7
"maintained",7
"needs",7
"owner",7
"permits",7
"permitted",7
"plan",7
"requirements",7
"see",7
"system",7
"typically",7
"adjacent",6
"bermuda",6
"following",6
"full",6
"gn-",6
"issuance",6
"landscaping",6
"leaves",6
"mulch",6
"planting",6
"promptly",6
"remove",6
"strip",6
"use",6
"appropriate",5
"can",5
"case",5
"coast",5
"consistent",5
"cynodon",5
"dactylon",5
"decomposed",5
"drought",5
"either",5
"enforcement",5
"fall",5
"foot",5
"granite",5
"grass",5
"hybrid",5
"kept",5
"lines",5
"maturity",5
"office",5
"plugs",5
"provide",5
"removed",5
"right-of",5
"season",5
"similar",5
"soil",5
"soils",5
"spray",5
"synthetic",5
"trees",5
"walks",5
"walkways",5
"way",5
"a-permit",4
"abutting",4
"additional",4
"alternative",4
"approved",4
"back",4
"bees",4
"board",4
"code",4
"common",4
"constructed",4
"construction",4
"costs",4
"debris",4
"district",4
"dormant",4
"driveways",4
"every",4
"exemption",4
"finished",4
"free",4
"general",4
"grade",4
"green",4
"inland",4
"la",4
"landscaped",4
"length",4
"low",4
"low-mod",4
"manner",4
"municipal",4
"near",4
"paved",4
"perennial",4
"phone",4
"placed",4
"plane",4
"plants",4
"properly",4
"proposed",4
"provided",4
"r-permit",4
"roadway",4
"run-off",4
"scientific",4
"sedge",4
"shrubs",4
"sold",4
"species",4
"spread",4
"staff",4
"surfaces",4
"thyme",4
"thymus",4
"tolerant",4
"top",4
"traffic",4
"treat",4
"tree",4
"visibility",4
"walk",4
"warm",4
"well",4
"without",4
"woolly",4
"accordance",3
"active",3
"along",3
"also",3
"ana",3
"apart",3
"architectural",3
"article",3
"artificial",3
"basis",3
"carpet",3
