"Word","Freq"
"required",18
"tree",18
"must",17
"trees",11
"site",8
"planting",7
"area",6
"plan",6
"size",6
"tall",6
"one",5
"areas",4
"based",4
"city",4
"every",4
"grand",4
"landscape",4
"landscaping",4
"parking",4
"removal",4
"shade",4
"within",4
"acres",3
"adjacent",3
"caliper",3
"density",3
"evergreen",3
"feet",3
"least",3
"min",3
"plants",3
"requirements",3
"shrubs",3
"street",3
"time",3
"units",3
"vehicular",3
"well",3
"yard",3
"-gal",2
"-in",2
"acre",2
"along",2
"buffer",2
"commercial",2
"dbh",2
"development",2
"diameter",2
"ft",2
"hardwood",2
"holder",2
"landscaped",2
"located",2
"lot",2
"masonry",2
"mature",2
"median",2
"meet",2
"per",2
"permission",2
"permit",2
"planted",2
"protected",2
"protection",2
"reach",2
"replacement",2
"requires",2
"residential",2
"retention",2
"screening",2
"shown",2
"sites",2
"square",2
"surface",2
"tables",2
"two",2
"vsa",2
"way",2
"width",2
"zones",2
"zoning",2
"-ft",1
"achieve",1
"across",1
"addition",1
"allowed",1
"amenity",1
"approves",1
"architects",1
"assigned",1
"border",1
"buffer-yard",1
"buffers",1
"building",1
"calculated",1
"canopy",1
"checklist",1
"city-maintained",1
"coc",1
"collection",1
"columbiasc",1
"compliance",1
"composed",1
"contact",1
"contain",1
"cover",1
"coverage",1
"credits",1
"cubic",1
"curb",1
"curbing",1
"damage",1
"designed",1
"detention",1
"determine",1
"devices",1
"dfs",1
"dispersal",1
"display",1
"district",1
"diversity",1
"drawn",1
"driveway",1
"even",1
"existing",1
"factor",1
"foot",1
"foundations",1
"fraction",1
"fractions",1
"front",1
"frontage",1
"general",1
"gov",1
"greater",1
"ground",1
"identified",1
"impact",1
"inch",1
"industrial",1
"installed",1
"institutional",1
"intensive",1
"interior",1
"inventoried",1
"inventory",1
"irrigation",1
"jeremy",1
"land",1
"larger",1
"less",1
"linear",1
"living",1
"loading",1
"material",1
"may",1
"medians",1
"mulched",1
"obtaining",1
"ordinance",1
"organic",1
"overview",1
"plantings",1
"plus",1
"preparation",1
"prevent",1
"prior",1
"prohibited",1
"protective",1
"provide",1
"provided",1
"registered",1
"remaining",1
"removed",1
"require",1
"requirement",1
"right",1
"right-of",1
"rounded",1
"scale",1
"scott",1
"screen",1
"screened",1
"screens",1
"see",1
"service",1
"setback",1
"shall",1
"show",1
"sight",1
"small",1
"small-maturing",1
"soften",1
"softwood",1
"space",1
"species",1
"specifications",1
"sq",1
"staff",1
"standards",1
"stops",1
"stormwater",1
"strip",1
"submitted",1
"subtracting",1
"summarized",1
"survey",1
"surveyed",1
"systems",1
"thirty",1
"topping",1
"total",1
"transitional",1
"trash",1
"treated",1
"trunk",1
"turf",1
"unreduced",1
"use",1
"used",1
"using",1
"utility",1
"visual",1
"website",1
"wood",1
"yards",1
"years",1
"zone",1
