"Word","Freq"
"shall",938
"board",353
"section",312
"planning",256
"district",248
"use",246
"building",240
"may",232
"feet",228
"special",227
"permit",225
"lot",204
"plan",164
"area",158
"within",158
"requirements",154
"water",153
"uses",150
"required",149
"accessory",148
"town",143
"dwelling",142
"provided",141
"public",139
"site",137
"land",136
"parking",131
"one",127
"bylaw",126
"development",122
"space",122
"wireless",119
"structure",108
"existing",105
"following",105
"units",104
"residential",103
"application",100
"open",100
"proposed",98
"general",97
"structures",97
"protection",96
"common",94
"two",94
"including",93
"permitted",93
"",93
"areas",92
"massachusetts",91
"review",87
"applicant",85
"affordable",83
"except",83
"regulations",82
"business",81
"height",81
"scituate",80
"located",77
"used",76
"communication",74
"facilities",73
"purpose",72
"sp",72
"buildings",71
"design",71
"districts",71
"r-",70
"minimum",69
"provide",69
"provisions",69
"housing",68
"street",68
"construction",67
"access",66
"commercial",66
"laws",66
"will",66
"said",64
"subject",64
"signs",63
"zoning",63
"lots",62
"chapter",61
"unit",61
"driveway",60
"include",60
"number",59
"approved",58
"accordance",56
"line",56
"square",56
"standards",56
"overlay",55
"approval",54
"floor",54
"must",53
"natural",53
"way",53
"hundred",52
"less",51
"prior",51
"registered",51
"applicable",50
"installation",50
"property",50
"owner",49
"storage",49
"yard",49
"drainage",48
"exterior",48
"ground",48
"surface",48
"exceed",47
"per",47
"tower",47
"zone",47
"appeals",46
"size",46
"scale",45
"location",44
"dwellings",43
"permits",43
"side",43
"department",42
"service",42
"solar",42
"spaces",42
"state",42
"system",42
"three",42
"least",41
"marijuana",41
"materials",41
"conditions",40
"conservation",40
"maximum",40
"part",40
"photovoltaic",40
"private",40
"frontage",39
"health",39
"maintenance",39
"unless",39
"width",39
"40a",38
"commissioner",38
"facility",38
"flood",38
"front",38
"otherwise",38
"project",38
"time",38
"constructed",37
"meet",37
"personal",37
"premises",37
"subdistrict",37
"appropriate",36
"driveways",36
"meeting",36
"rear",36
"date",35
"purposes",35
"safety",35
"flexible",34
"nonconforming",34
"require",34
"village",34
"cmr",33
"designed",33
"improvements",33
"necessary",33
"restriction",33
"set",33
"single",33
"fifty",32
"greater",32
"roof",32
"authority",31
"defined",31
"limited",31
"new",31
"sign",31
"repair",30
"services",30
"towers",30
"allowed",29
"containing",29
"hazardous",29
"local",29
"setback",29
"upon",29
"erected",28
"lines",28
"locations",28
"parcel",28
"requirement",28
"right",28
"watershed",28
"activities",27
"addition",27
"condition",27
"determined",27
"distance",27
"large",27
"made",27
"measured",27
"mixed",27
"plain",27
"possible",27
"shown",27
"stormwater",27
"subdivision",27
"supply",27
"additional",26
"five",26
"granting",26
"protect",26
"residence",26
"resources",26
"days",25
"information",25
"operation",25
"order",25
"thereof",25
"without",25
"adjacent",24
"antenna",24
"communications",24
"density",24
"designated",24
"single-family",24
"ten",24
"treatment",24
"compliance",23
"control",23
"definitive",23
"disposal",23
"extent",23
"family",23
"plans",23
"pursuant",23
"resource",23
"roads",23
"systems",23
