"Word","Freq"
"shall",4726
"city",2387
"ord",1925
"passed",1909
"may",1328
"code",1141
"public",1075
"use",978
"feet",958
"within",874
"property",803
"time",791
"building",788
"permit",719
"must",710
"following",687
"required",686
"person",680
"council",641
"structure",636
"license",618
"state",617
"facilities",608
"area",605
"residential",592
"land",564
"uses",521
"upon",485
"located",483
"application",476
"existing",462
"will",450
"approved",444
"applicant",443
"areas",434
"requirements",424
"lot",419
"site",413
"plan",412
"used",410
"zone",405
"equipment",402
"provided",401
"section",401
"chapter",396
"provisions",391
"street",388
"permitted",387
"water",379
"business",377
"parking",360
"sign",351
"conditions",347
"including",345
"way",343
"provide",342
"purpose",337
"unless",336
"structures",330
"height",325
"except",324
"minimum",322
"owner",321
"table",314
"unlawful",312
"development",307
"proposed",293
"standards",290
"notice",288
"days",283
"space",283
"subchapter",282
"tower",281
"division",280
"road",280
"commercial",279
"persons",279
"location",278
"least",277
"vehicle",277
"materials",274
"tso",274
"penalty",272
"per",272
"park",268
"zoning",268
"flood",267
"subject",267
"control",262
"right-of",261
"service",260
"setback",260
"necessary",258
"allowed",257
"county",254
"accessory",252
"construction",240
"conditional",238
"square",234
"administrator",232
"design",228
"prior",228
"premises",227
"unit",227
"department",225
"without",225
"board",224
"signs",224
"approval",223
"day",222
"licensed",222
"see",222
"date",221
"engineer",221
"fee",217
"part",216
"issued",212
"licensee",210
"buildings",207
"work",206
"emergency",204
"plat",204
"applicable",201
"general",201
"one",201
"planned",200
"information",196
"apply",195
"official",194
"safety",194
"less",193
"place",193
"liquor",191
"maximum",191
"violation",191
"exceed",190
"streets",190
"towers",190
"system",189
"adjacent",188
"include",188
"management",186
"regulations",186
"amended",185
"otherwise",183
"utility",183
"tree",182
"natural",181
"compliance",178
"ordinances",177
"purposes",177
"hearing",174
"limited",173
"constructed",172
"thereof",172
"vehicles",172
"storage",171
"made",170
"recreation",167
"care",166
"line",166
"commission",164
"facility",163
"ch",162
"inspection",162
"subdivision",162
"fees",161
"fire",161
"period",161
"private",160
"center",159
"designed",159
"established",159
"health",159
"removed",158
"specified",158
"total",158
"communication",156
"device",156
"parks",156
"comply",155
"sale",155
"sewer",155
"lots",154
"operation",154
"accordance",153
"open",151
"cost",150
"financial",150
"prohibited",149
"meet",148
"adopted",147
"amount",147
"year",147
"security",146
"yard",146
"electrical",145
"additional",144
"also",144
"trees",144
"available",143
"industrial",142
"number",142
"rules",142
"services",142
"provision",141
"written",141
"home",140
"authorized",139
"principal",138
"dwelling",136
"massage",136
"review",135
"addition",134
"final",134
"stormwater",134
"district",133
"improvements",133
"placed",133
"criteria",132
"paid",132
"police",132
"traffic",132
"devices",131
"sales",131
"size",131
"tobacco",131
"city's",130
"director",130
"appeals",129
"definitions",129
"order",129
"federal",128
"cause",127
"organization",127
"side",127
"determined",126
"developer",126
"exterior",126
"misdemeanor",126
"adjustment",124
"proof",124
"reasonable",124
"level",123
"set",123
"type",123
"whether",123
"avenue",122
"months",122
"removal",122
"minor",121
"permits",121
"said",121
"submit",121
"surface",121
"designated",120
"high",119
"insurance",119
"law",119
"maintenance",119
"temporary",119
"costs",118
"event",118
"planning",118
"special",118
"along",117
"erosion",117
"responsible",117
"defined",115
"ground",115
"professional",115
"years",115
"moving",114
"new",113
"north",113
"hours",112
"operations",112
"conduct",111
"east",111
"manner",111
"access",110
"floor",110
"every",109
"protection",109
"generally",108
"west",108
"south",106
"thence",106
"elevation",105
"first",105
"width",105
"issuance",104
"units",104
"extent",103
"greater",103
"make",103
"variance",103
"wetland",103
"zones",103
"overlay",102
"similar",102
"systems",102
"address",101
"apparatus",101
"condition",101
"interest",101
"map",101
"material",101
"mobile",101
"office",101
"name",100
"require",100
"vegetation",100
"act",99
"front",99
"maintained",99
"portion",99
"agricultural",98
"certified",98
"highway",98
"re-zoning",98
"form",97
"guarantee",97
"installation",97
"ordinance",97
"project",97
"certificate",95
"appropriate",94
"clearly",94
"food",94
"requires",94
"equal",93
"malt",93
"meeting",92
"participants",92
"preservation",92
"sites",92
"antennas",91
"payment",91
"recreational",91
"adult",90
"decision",90
"either",90
"lines",90
"possible",90
"utilities",90
"drainage",89
"herein",89
"noise",89
"point",89
"pursuant",89
"replacement",89
"motor",88
"plans",88
"another",87
"occupied",87
"extension",86
"failure",86
"grading",86
"individual",86
"installed",86
"officer",86
"pay",86
"showing",86
"treatment",86
"applications",85
"common",85
"parcel",85
"refuse",85
"spaces",85
"specific",85
"staff",85
"urban",85
"waters",85
"considered",84
"effective",84
"major",84
"sanitary",84
"wecs",84
"loading",83
"local",83
"due",82
"evidence",82
"hereby",82
"signage",82
"action",81
"age",81
"comprehensive",81
"copy",81
"request",81
"agency",80
"consistent",80
"containing",80
"developments",80
"dog",80
"employee",80
"operate",80
"present",80
"repair",80
"sewage",80
"therein",80
"animal",79
"given",79
"items",79
"can",78
"forth",78
"meaning",78
"rear",78
"title",78
"user",78
"clerk",77
"outdoor",77
"products",77
"resolution",77
"single",77
"term",77
"appeal",76
"authority",76
"company",76
"current",76
"light",76
"manufactured",76
"mining",76
"preliminary",76
"related",76
"resources",76
"right",76
"sell",76
"submitted",76
"works",76
"administrative",75
"density",75
"owners",75
"rental",75
"accompanying",74
"activities",74
"floodplain",74
"full",74
"intended",74
"terms",74
"community",73
"establishment",73
"future",73
"impact",73
"performance",73
"prevent",73
"restoration",73
"waste",73
"contain",72
"description",72
"different",72
"dwellings",72
"granted",72
"landscaping",72
"mile",72
"revocation",72
"serving",72
"shakopee",72
"adequate",71
"inches",71
"maintain",71
"original",71
"outside",71
"permanent",71
"retail",70
"therapy",70
"display",69
"duties",69
"ensure",69
"plus",69
"warning",69
"attached",68
"effect",68
"limit",68
"occupancy",68
"permittee",68
"structural",68
"declared",67
"deemed",67
"program",67
"qualified",67
"view",67
"interfere",66
"minn",66
"multi-functional",66
"operated",66
"properties",66
"served",66
"specifications",66
"sufficient",66
"welfare",66
"employees",65
"floodway",65
"free",65
"inspector",65
"licenses",65
"licensing",65
"based",64
"change",64
"class",64
"completion",64
"context",64
"procedures",64
"r-",64
"serve",64
"suspension",64
"animals",63
"contained",63
"depth",63
"fence",63
"lease",63
"r-1b",63
"reference",63
"remove",63
"setbacks",63
"subd",63
"times",63
"wall",63
"accommodate",62
"assessments",62
"damage",62
"includes",62
"discharge",61
"operator",61
"ordinary",61
"result",61
"take",61
"writing",61
"block",60
"completed",60
"drive",60
"improvement",60
"owned",60
"soil",60
"allow",59
"capacity",59
"chief",59
"determination",59
"disposal",59
"drawing",59
"held",59
"impervious",59
"length",59
"means",59
"nearest",59
"parcels",59
"reasonably",59
"received",59
"ride",59
"rights-of",59
"administration",58
"districts",58
"indicates",58
"listed",58
"operating",58
"screened",58
"shoreland",58
"statutes",58
"wireless",58
"certain",57
"complete",57
"easement",57
"identification",57
"municipal",57
"activity",56
"cash",56
"charges",56
"distance",56
"excavation",56
"legal",56
"nuisance",56
"protect",56
"registration",56
"requirement",56
"agencies",55
"corporation",55
"driveway",55
"issue",55
"lights",55
"limits",55
"neighborhood",55
"obtain",55
"regional",55
"schedule",55
"standard",55
"ag",54
"anticipated",54
"assessment",54
"described",54
"enforcement",54
"good",54
"laws",54
"off-site",54
"power",54
"pud",54
"regulation",54
"travel",54
"amusement",53
"calendar",53
"charge",53
"conviction",53
"credit",53
"interference",53
"process",53
"restrictions",53
"amendment",52
"buffer",52
"done",52
"grade",52
"human",52
"increase",52
"members",52
"nature",52
"normal",52
"purchase",52
"alcoholic",51
"associated",51
"coverage",51
"identified",51
"immediately",51
"lighting",51
"member",51
"minnesota",51
"preserved",51
"punished",51
"small",51
"using",51
"wine",51
"changes",50
"danger",50
"exist",50
"intent",50
"liability",50
"manager",50
"off-street",50
"records",50
"-year",49
"acre",49
"centers",49
"character",49
"collection",49
"complied",49
"consideration",49
"deems",49
"filed",49
"fill",49
"fund",49
"landscape",49
"letter",49
"places",49
"b-",48
"case",48
"curb",48
"directly",48
"granting",48
"involving",48
"metal",48
"minimize",48
"registered",48
"separate",48
"shown",48
"specifically",48
"visibility",48
"acres",47
"consumption",47
"determine",47
"dimensions",47
"easements",47
"features",47
"flow",47
"known",47
"measures",47
"old",47
"on-sale",47
"one-half",47
"perform",47
"personnel",47
"regulatory",47
"statement",47
"agreement",46
"beyond",46
"conformance",46
"discretion",46
"found",46
"homes",46
"imposed",46
"on-site",46
"possession",46
"quality",46
"sexual",46
"significant",46
"stored",46
"whichever",46
"affected",45
"brewer",45
"cessation",45
"conducted",45
"driveways",45
"however",45
"impacts",45
"locations",45
"placement",45
"policy",45
"posted",45
"providing",45
"roads",45
"single-family",45
"storm",45
"taxicab",45
"telecommunication",45
"walls",45
"commissioner",44
"elevations",44
"flashing",44
"governmental",44
"indoor",44
"obtained",44
"protected",44
"radius",44
"screening",44
"sold",44
"thereby",44
"value",44
"corporate",43
"enclosed",43
"file",43
"fireworks",43
"proper",43
"properly",43
"regular",43
"sidewalk",43
"stated",43
"tobacco-related",43
"communications",42
"controls",42
"goods",42
"hazardous",42
"industry",42
"like",42
"offices",42
"pedestrian",42
"pollution",42
"receipt",42
"registrant",42
"roof",42
"alcohol",41
"annual",41
"covered",41
"driver",41
"excess",41
"finish",41
"gas",41
"item",41
"report",41
"rural",41
"store",41
"unused",41
"violations",41
"acceptable",40
"bring",40
"crime",40
"direction",40
"displayed",40
"fails",40
"fewer",40
"fully",40
"holder",40
"immediate",40
"lake",40
"planner",40
"plants",40
"recommended",40
"relocation",40
"search",40
"subdivisions",40
"boundary",39
"denial",39
"follows",39
"kept",39
"landscaped",39
"matter",39
"nonconforming",39
"obstruction",39
"ownership",39
"record",39
"relating",39
"relocated",39
"restored",39
"runoff",39
"snowmobile",39
"supply",39
"valley",39
"visual",39
"whenever",39
"agent",38
"alterations",38
"boundaries",38
"codes",38
"connection",38
"constitute",38
"deposit",38
"extend",38
"grounds",38
"included",38
"lakes",38
"list",38
"mayor",38
"message",38
"published",38
"substantial",38
"applicant's",37
"average",37
"congregation",37
"cover",37
"csah",37
"customers",37
"direct",37
"documents",37
"gross",37
"house",37
"illustrating",37
"multiple-family",37
"obsolete",37
"parade",37
"receive",37
"residents",37
"standing",37
"taxes",37
"abandoned",36
"alarm",36
"body",36
"carry",36
"establishments",36
"false",36
"franchise",36
"frontage",36
"function",36
"investigation",36
"minimizes",36
"national",36
"neighboring",36
"prescribed",36
"primarily",36
"responsibility",36
"roadway",36
"valid",36
"abutting",35
"alley",35
"beverages",35
"conformity",35
"contract",35
"course",35
"determines",35
"determining",35
"entire",35
"face",35
"findings",35
"finds",35
"intersection",35
"need",35
"prepared",35
"procedure",35
"race",35
"regarding",35
"alteration",34
"bluff",34
"combination",34
"construct",34
"definition",34
"grant",34
"keep",34
"mail",34
"petty",34
"rate",34
"restaurants",34
"species",34
"variances",34
"violates",34
"acts",33
"adjoining",33
"adoption",33
"basis",33
"damages",33
"dangerous",33
"duty",33
"electric",33
"engaged",33
"fences",33
"fringe",33
"functions",33
"governing",33
"i-",33
"litter",33
"living",33
"marschall",33
"notify",33
"occupation",33
"play",33
"primary",33
"rehabilitation",33
"remain",33
"rights",33
"stairways",33
"stream",33
"trail",33
"transportation",33
"wetlands",33
"architectural",32
"assembly",32
"concrete",32
"consent",32
"detached",32
"divisions",32
"enter",32
"entrance",32
"estimate",32
"estimated",32
"exceptions",32
"family",32
"fine",32
"government",32
"hazard",32
"life",32
"meetings",32
"party",32
"passengers",32
"personal",32
"preserve",32
"recommendation",32
"resident",32
"suitable",32
"surrounding",32
"technical",32
"thereon",32
"transferred",32
"trunk",32
"types",32
"actions",31
"advisory",31
"copies",31
