"Word","Freq"
"shall",2710
"city",1841
"ord",1310
"code",957
"chapter",878
"part",799
"may",697
"person",665
"section",660
"prior",650
"permit",591
"public",532
"council",498
"business",395
"within",391
"provided",384
"property",382
"tax",358
"officer",357
"upon",342
"time",334
"provisions",332
"required",326
"one",310
"means",300
"notice",300
"employee",292
"application",282
"police",269
"service",269
"use",264
"license",260
"state",251
"days",244
"date",224
"alarm",221
"hearing",218
"pursuant",218
"applicant",215
"commission",212
"made",209
"following",202
"director",198
"department",196
"violation",192
"health",190
"used",180
"salary",177
"services",176
"persons",174
"thereof",170
"period",169
"purpose",167
"will",163
"administrative",162
"every",162
"ordinance",162
"owner",162
"law",160
"signal",160
"place",159
"chief",157
"order",157
"sections",157
"employees",156
"position",155
"dollars",154
"hill",153
"including",152
"amount",149
"day",147
"california",145
"unless",145
"refuse",141
"emergency",140
"duties",138
"written",137
"appeal",136
"equipment",136
"establishment",134
"except",134
"personnel",134
"set",134
"system",133
"purposes",131
"deemed",130
"issued",130
"nuisance",130
"manner",129
"otherwise",128
"private",127
"without",127
"action",125
"authorized",120
"noise",120
"defined",119
"vehicle",119
"hundred",118
"subject",118
"office",116
"hotel",114
"premises",114
"provide",114
"information",113
"massage",113
"manager",111
"name",111
"regulations",111
"water",111
"contractor",110
"oil",110
"building",108
"shopping",108
"established",107
"pay",107
"safety",107
"two",107
"sale",106
"terms",105
"prohibited",104
"waste",104
"cause",103
"first",103
"number",103
"class",102
"costs",102
"fee",102
"forth",102
"include",102
"penalty",102
"adult",101
"agent",101
"less",100
"abatement",99
"authority",99
"specified",99
"three",99
"activities",98
"accordance",97
"five",97
"location",97
"well",96
"development",95
"hours",95
"payment",95
"county",94
"motel",94
"civil",93
"general",93
"requirements",93
"must",92
"revocation",92
"collection",91
"control",91
"make",91
"necessary",91
"oriented",91
"least",89
"operator",89
"sign",89
"unlawful",89
"whether",89
"title",87
"apply",86
"due",86
"school",86
"year",86
"address",85
"contract",84
"applicable",83
"clerk",83
"municipal",83
"paid",83
"area",82
"cart",82
"meeting",82
"report",82
"special",82
"appointment",81
"designated",81
"permitted",81
"compensation",80
"conduct",80
"construction",80
"definitions",80
"driver's",80
"members",80
"fees",79
"right",79
"rules",78
"additional",77
"approved",77
"either",77
"event",77
"official",77
"decision",76
"permits",76
"proposed",76
"effective",75
"facilities",75
"maintained",75
"minor",75
"removal",75
"resolution",75
"city's",74
"community",74
"conditions",74
"limited",74
"material",74
"new",74
"ten",74
"duty",73
"fine",73
"misdemeanor",73
"room",73
"act",72
"enforcement",72
"filed",72
"issuance",72
"legal",72
"writing",72
"follows",71
"responsible",71
"times",71
"graffiti",70
"operation",70
"government",69
"provision",69
"request",69
"agency",68
"feet",68
"fund",68
"performance",68
"available",67
"statement",67
"subsection",67
"suspension",67
"taxes",67
"violations",67
"finance",66
"imposed",66
"rate",66
"said",66
"committee",65
"placed",65
"plan",65
"six",65
"temporary",65
"annual",64
"display",64
"regular",64
"unit",64
"amended",63
"effect",63
"prescribed",63
"range",63
"street",63
"thirty",63
"inspection",62
"member",62
"officers",62
"addition",61
"collector",61
"employment",61
"require",61
"signs",61
"approval",60
"procedure",60
"residential",60
"similar",60
"years",60
"adopted",59
"also",59
"condition",59
"failure",59
"given",59
"penalties",59
"sales",59
"work",59
"fifteen",58
"file",58
"located",58
"review",58
"storage",58
"candidate",57
"head",57
"interest",57
"power",57
"classification",56
"identification",56
"open",56
"project",56
"calendar",55
"designee",55
"determined",55
"machine",55
"step",55
"term",55
"activity",54
"hazardous",54
"held",54
"ordinances",54
"procedures",54
"reasonable",54
"account",53
"compliance",53
"examination",53
"field",53
"form",53
"materials",53
"permittee",53
"evidence",52
"expenditure",52
"maintain",52
"meetings",52
"operated",52
"per",52
"portion",52
"probationary",52
"another",51
"board",51
"boarding",51
"comply",51
"operate",51
"party",51
"solid",51
"conducted",50
"powers",50
"served",50
"agreement",49
"contained",49
"personal",49
"receipt",49
"vehicles",49
"absence",48
"case",48
"court",48
"issue",48
"long",48
"obtain",48
"publication",48
"received",48
"records",48
"registration",48
"separate",48
"structure",48
"works",48
"appropriate",47
"granted",47
"higher",47
"immediately",47
"individual",47
"months",47
"posted",47
"program",47
"standards",47
"thereto",47
"appointments",46
"carrier",46
"determine",46
"filing",46
"funds",46
"guilty",46
"investigation",46
"purchasing",46
"commercial",45
"commissioner",45
"false",45
"however",45
"includes",45
"names",45
"operating",45
"purchase",45
"welfare",45
"wells",45
"words",45
"businesses",44
"claims",44
"contribution",44
"cost",44
"division",44
"employee's",44
"industrial",44
"organization",44
"seal",44
"appointed",43
"constitute",43
"copy",43
"described",43
"extent",43
"full",43
"list",43
"minimum",43
"planning",43
"whenever",43
"acts",42
"become",42
"charge",42
"citation",42
"existing",42
"facility",42
"fire",42
"good",42
"remain",42
"beach",41
"card",41
"disposal",41
"election",41
"fifty",41
"laws",41
"making",41
"measures",41
"nature",41
"posting",41
"receive",41
"response",41
"responsibility",41
"taken",41
"taxicab",41
"age",40
"assistance",40
"certain",40
"charges",40
"created",40
"filming",40
"home",40
"level",40
"library",40
"transfer",40
"angeles",39
"campaign",39
"containers",39
"franchise",39
"los",39
"possession",39
"states",39
"take",39
"way",39
"administration",38
"construed",38
"corporation",38
"determines",38
"guardian",38
"land",38
"licensed",38
"parks",38
"perform",38
"proper",38
"providing",38
"reserve",38
"abate",37
"exceed",37
"generally",37
"intent",37
"local",37
"matter",37
"parts",37
"positions",37
"record",37
"sexual",37
"thereafter",37
"therefor",37
"adoption",36
"nursery",36
"patrol",36
"peace",36
"performed",36
"remove",36
"serve",36
"site",36
"sufficient",36
"therein",36
"vending",36
"abandoned",35
"certificate",35
"charged",35
"delinquent",35
"device",35
"exemptions",35
"four",35
"immediate",35
"independent",35
"known",35
"medical",35
"notwithstanding",35
"offices",35
"parent",35
"residence",35
"acting",34
"administrator",34
"carry",34
"denial",34
"deposit",34
"description",34
"determination",34
"directly",34
"keep",34
"machines",34
"partnership",34
"protection",34
"purchases",34
"reason",34
"supplies",34
"can",33
"certified",33
"container",33
"contents",33
"duly",33
"herein",33
"meaning",33
"occupancy",33
"outside",33
"payable",33
"percent",33
"reasonably",33
"revenue",33
"rooms",33
"specifically",33
"twenty",33
"type",33
"united",33
"aged",32
"collected",32
"final",32
"grounds",32
"household",32
"mail",32
"mitigation",32
"next",32
"places",32
"punishable",32
"reports",32
"security",32
"thousand",32
"traffic",32
"treasurer",32
"uniform",32
"anniversary",31
"capacity",31
"covered",31
"criminal",31
"employed",31
"engaged",31
"financial",31
"maintenance",31
"management",31
"present",31
"previously",31
"repair",31
"result",31
"seven",31
"thereon",31
"transportation",31
"units",31
"actual",30
"delivery",30
"devices",30
"excess",30
"exists",30
"expenditures",30
"give",30
"month",30
"need",30
"parking",30
"regarding",30
"systems",30
"telephone",30
"areas",29
"assigned",29
"attendance",29
"claim",29
"club",29
"contain",29
"entitled",29
"last",29
"parties",29
"permanent",29
"rates",29
"regularly",29
"renewal",29
"rights",29
"transient",29
"user's",29
"adopt",28
"attorney",28
"collect",28
"complete",28
"consideration",28
"dwelling",28
"eighteen",28
"fails",28
"holder",28
"inches",28
"incurred",28
"notices",28
"notification",28
"recreation",28
"related",28
"scheduled",28
"sexually",28
"added",27
"air",27
"animal",27
"basis",27
"buildings",27
"change",27
"codified",27
"connection",27
"considered",27
"copies",27
"cupa",27
"declared",27
"disciplinary",27
"floor",27
"found",27
"grievance",27
"guest",27
"institution",27
"kept",27
"licenses",27
"lower",27
"money",27
"ninety",27
"normal",27
"notify",27
"qualified",27
"read",27
"receiving",27
"relating",27
"removed",27
"restrictions",27
"retail",27
"together",27
"whose",27
"abated",26
"appeals",26
"based",26
"carts",26
"child",26
"completed",26
"district",26
"driver",26
"eligibility",26
"eligible",26
"equal",26
"establish",26
"exceeding",26
"intended",26
"lawful",26
"limitation",26
"meet",26
"obtained",26
"owned",26
"paint",26
"reference",26
"requested",26
"revoked",26
"space",26
"subsequent",26
"valid",26
"actions",25
"affected",25
"appear",25
"children",25
"consent",25
"demand",25
"greater",25
"liable",25
"logo",25
"motion",25
"opportunity",25
"trustees",25
"user",25
"attached",24
"body",24
"cards",24
"carried",24
"carrying",24
"children's",24
"complaints",24
"contributions",24
"controlled",24
"convicted",24
"course",24
"debris",24
"direct",24
"economic",24
"excavation",24
"hold",24
"impounded",24
"imprisonment",24
"liability",24
"marijuana",24
"nothing",24
"operations",24
"patrolman",24
"prevent",24
"real",24
"regulation",24
"sidewalk",24
"sound",24
"taxation",24
"unexcused",24
"value",24
"warrants",24
"working",24
"association",23
"chapters",23
"grant",23
"joint",23
"merchandise",23
"offense",23
"owners",23
"passengers",23
"printed",23
"published",23
"reasons",23
"streets",23
"taximeter",23
"accounts",22
"amendments",22
"authorize",22
"benefits",22
"bids",22
"containing",22
"different",22
"entity",22
"gas",22
"group",22
"hearings",22
"licensee",22
"mental",22
"process",22
"programs",22
"redevelopment",22
"toilet",22
"treatment",22
"agents",21
"art",21
"assessment",21
"badge",21
"engage",21
"et",21
"expenses",21
"findings",21
"foregoing",21
"hereunder",21
"human",21
"institutions",21
"insurance",21
"labor",21
"matters",21
"motor",21
"orders",21
"processing",21
"recyclable",21
"registered",21
"remedies",21
"representative",21
"schools",21
"seq",21
"show",21
"specific",21
"total",21
"trust",21
"twenty-four",21
"week",21
"advancement",20
"allow",20
"assessed",20
"attend",20
"benefit",20
"bidding",20
"circumstances",20
"complaint",20
"design",20
"drugs",20
"enforce",20
"exceptions",20
"exercise",20
"exist",20
"federal",20
"impoundment",20
"later",20
"limitations",20
"mobile",20
"moneys",20
"penal",20
"possible",20
"previous",20
"proof",20
"receipts",20
"reduction",20
"register",20
"release",20
"return",20
"revoke",20
"sex",20
"signed",20
"social",20
"structures",20
"training",20
"transfers",20
"violating",20
"vote",20
"whole",20
"access",19
"addresses",19
"adjacent",19
"audit",19
"behalf",19
"content",19
"customer",19
"damage",19
"demolition",19
"electrode",19
"establishments",19
"exempt",19
"exhibition",19
"expiration",19
"facts",19
"functions",19
"installed",19
"items",19
"leave",19
"line",19
"mailing",19
"method",19
"monthly",19
"offender",19
"plus",19
"policy",19
"preparation",19
"properly",19
"quality",19
"rent",19
"requiring",19
"second",19
"serving",19
"shown",19
"stated",19
"support",19
"technician",19
"thereunder",19
"accept",18
"allowed",18
"amounts",18
"care",18
"character",18
"classified",18
"clean",18
"clearly",18
"contact",18
"damages",18
"direction",18
"discipline",18
"engages",18
"entertainment",18
"exclusive",18
"existence",18
"fence",18
"goods",18
"gross",18
"height",18
"implement",18
"injury",18
"levels",18
"lieu",18
"limits",18
"maximum",18
"minutes",18
"notified",18
"offer",18
"one-half",18
"phrases",18
"presence",18
"quarter",18
"reimbursement",18
"respect",18
"respond",18
"responsibilities",18
"resulting",18
"sanitary",18
"showing",18
"sixty",18
"submit",18
"submitted",18
"termination",18
"accompanied",17
"adequate",17
"affect",17
"alarms",17
"anatomical",17
"authorization",17
"call",17
"commencing",17
"committed",17
"competitive",17
"conviction",17
"cover",17
"current",17
"deposited",17
"designed",17
"engineer",17
"examinations",17
"expire",17
"fill",17
"fines",17
"fixed",17
"food",17
"forms",17
"free",17
"furnished",17
"identified",17
"identity",17
"initial",17
"kind",17
"maintaining",17
"measure",17
"mechanical",17
"membership",17
"occupant",17
"occupied",17
"organized",17
"pertaining",17
"physical",17
"picture",17
"pollution",17
"prepared",17
"proceedings",17
"produced",17
"producing",17
"production",17
"qualifications",17
"recommendation",17
"respective",17
"single",17
"sold",17
"specifications",17
"substance",17
"substantial",17
"supervision",17
"suspended",17
"warrant",17
"alley",16
"allocated",16
"animals",16
"appointing",16
"article",16
"associated",16
"common",16
"company",16
"concerning",16
"constructed",16
"context",16
"credit",16
"debt",16
"deny",16
"describing",16
"determining",16
"entire",16
"expense",16
"finds",16
"front",16
"fully",16
"increase",16
"instrument",16
"job",16
"july",16
"jurisdiction",16
"minors",16
"operators",16
"original",16
"others",16
"owner's",16
"park",16
"particular",16
"personally",16
"petition",16
"prepare",16
"provides",16
"referred",16
"restricted",16
"right-of",16
"satisfactory",16
"see",16
"staff",16
"surface",16
"transferred",16
"vested",16
"warning",16
"wastes",16
"appellant",15
"applications",15
"bonds",15
"budget",15
"commencement",15
"completion",15
"conducting",15
"consumption",15
"contracts",15
"create",15
"demands",15
"discretion",15
"enter",15
"exempted",15
"fact",15
"fireworks",15
"flag",15
"furnish",15
"heads",15
"homes",15
"hour",15
"interests",15
"light",15
"merit",15
"modify",15
"opinion",15
"performing",15
"plant",15
"political",15
"selling",15
"sleeping",15
"solicit",15
"standard",15
"vacancy",15
"visible",15
"agencies",14
"along",14
"applicants",14
"applied",14
"assure",14
"bond",14
"cal",14
"commence",14
"committees",14
"communicable",14
"complied",14
"computation",14
"consistent",14
"conspicuous",14
"continue",14
"continued",14
"correction",14
"curb",14
"custody",14
"deems",14
"depicting",14
"designate",14
"designation",14
"desiring",14
"discharge",14
"dispatch",14
"environmental",14
"events",14
"finding",14
"firm",14
"force",14
"formal",14
"giving",14
"grievant",14
"heard",14
"hereafter",14
"illness",14
"improvement",14
"included",14
"legislative",14
"let",14
"lien",14
"lot",14
"mean",14
"multi-family",14
"oath",14
"obligations",14
"occupation",14
"periods",14
"permanently",14
"permitting",14
"practice",14
"presented",14
"principal",14
"recommend",14
"recycling",14
"render",14
"route",14
"situation",14
"square",14
"supervisor",14
"suspend",14
"tangible",14
"territory",14
"therefrom",14
"threat",14
"utilized",14
"vacancies",14
"whatsoever",14
"witnesses",14
"accounting",13
"advance",13
"automatically",13
"automobile",13
"beyond",13
"burden",13
"cases",13
"cash",13
"characterized",13
"classes",13
"combination",13
"commissioners",13
"concern",13
"conflict",13
"correct",13
"criteria",13
"curfew",13
"demotion",13
"displayed",13
"dispose",13
"disposition",13
"documents",13
"domestic",13
"drilling",13
"entrance",13
"exchange",13
"explicit",13
"gov't",13
"grade",13
"hazard",13
"history",13
"inconsistent",13
"infraction",13
"involved",13
"layoff",13
"limit",13
"longer",13
"lowest",13
"near",13
"occupy",13
"ordered",13
"part-time",13
"passenger",13
"patrons",13
"petroleum",13
"photographs",13
"plans",13
"proceeding",13
"professional",13
"properties",13
"reduce",13
"regardless",13
"rendered",13
"requires",13
"seniority",13
"substantially",13
"sum",13
"surrounding",13
"technicians",13
"top",13
"trade",13
"transporting",13
"underground",13
"unified",13
"vectors",13
"walls",13
"advertising",12
"agreements",12
"aid",12
"arising",12
"articles",12
"assistant",12
"audible",12
"bees",12
"bidder",12
"billing",12
"book",12
"books",12
"boundaries",12
"candidate's",12
"candidates",12
"caused",12
"checking",12
"clear",12
"comparable",12
"confidential",12
"contractors",12
"corrective",12
"council's",12
"delinquency",12
"denied",12
"disabled",12
"disaster",12
"disease",12
"distribution",12
"duration",12
"enclosed",12
"entry",12
"excluded",12
"exhibit",12
"female",12
"filled",12
"fractional",12
"governed",12
"granting",12
"handling",12
"hire",12
"house",12
"incorporation",12
"inspections",12
"investigate",12
"june",12
"kitchen",12
"lease",12
"leasing",12
"letter",12
"liens",12
"locations",12
"loud",12
"majority",12
"market",12
"mentally",12
"methods",12
"nearest",12
"offered",12
"opening",12
"parkway",12
"payments",12
"pending",12
"play",12
"policies",12
"possess",12
"prescribe",12
"prescription",12
"products",12
"projects",12
"promotion",12
"prosecution",12
"protect",12
"reclaim",12
"reinstated",12
"reinstatement",12
"reject",12
"repeal",12
"reporting",12
"rubbish",12
"servicing",12
"setting",12
"specify",12
"statements",12
"status",12
"statutory",12
"stored",12
"supply",12
"tanks",12
"taxi",12
"tip",12
"using",12
"utility",12
"validity",12
"zoning",12
"accessible",11
"adjustment",11
"administer",11
"appoint",11
"approve",11
"attending",11
"base",11
"best",11
"brought",11
"changes",11
"completely",11
"computed",11
"conditional",11
"consist",11
"consumed",11
"creating",11
"crude",11
"december",11
"declaration",11
"directed",11
"dismissal",11
"document",11
"emphasis",11
"end",11
"entered",11
"exceeds",11
"fare",11
"fewer",11
"financing",11
"fix",11
"forty",11
"generated",11
"genitals",11
"hereof",11
"holding",11
"impact",11
"implements",11
"impose",11
"indicate",11
"indicated",11
"indirectly",11
"individuals",11
"interfere",11
"involving",11
"january",11
"knowingly",11
"language",11
"late",11
"met",11
"modified",11
"natural",11
"needed",11
"numbered",11
"obligation",11
"occupants",11
"parcel",11
"patrolman's",11
"payroll",11
"post",11
"postage",11
"preceding",11
"prepaid",11
"presentation",11
"quarters",11
"recovery",11
"refusal",11
"relevant",11
"remediation",11
"remedy",11
"reported",11
"requirement",11
"results",11
"retailer",11
"sell",11
"september",11
"smoking",11
"source",11
"stating",11
"station",11
"statutes",11
"steps",11
"subsections",11
"tag",11
"taxistand",11
"tenant",11
"theater",11
"third",11
"thoroughly",11
"timely",11
"twelve",11
"unauthorized",11
"uses",11
"verified",11
"view",11
"wall",11
"ability",10
"aggrieved",10
"alcoholic",10
"amendment",10
"applicability",10
"applicant's",10
"assignment",10
"availability",10
"beginning",10
"bring",10
"calling",10
"capable",10
"capital",10
"causes",10
"chairman",10
"chamber",10
"charter",10
"collecting",10
"communication",10
"competent",10
"continuous",10
"contrary",10
"corrections",10
"customers",10
"dance",10
"deliver",10
"delivered",10
"deposits",10
"destruction",10
"disconnect",10
"disposed",10
"dumpster",10
"enacted",10
"engaging",10
"environment",10
"establishing",10
"face",10
"fares",10
"govern",10
"governing",10
"governmental",10
"holds",10
"improvements",10
"inform",10
"installation",10
"instruments",10
"inventory",10
"jpa",10
"leased",10
"lessee",10
"life",10
"listed",10
"long-term",10
"makes",10
"managing",10
"mitigate",10
"modifications",10
"named",10
"needs",10
"neither",10
"nontransferable",10
"operates",10
"operative",10
"papers",10
"partners",10
"passed",10
"perjury",10
"pictures",10
"product",10
"professions",10
"prohibit",10
"prohibition",10
"purchased",10
"refuses",10
"regulatory",10
"representatives",10
"responding",10
"schedule",10
"sources",10
"stand",10
"stringent",10
"surgeon",10
"taking",10
"taximeters",10
"test",10
"threatened",10
"trash",10
"twenty-five",10
"unusual",10
"variances",10
"volunteer",10
"waiver",10
"weapons",10
"wear",10
"whichever",10
"activation",9
"administered",9
"aerosol",9
"alcohol",9
"allows",9
"among",9
"ascertain",9
"background",9
"ballot",9
"becomes",9
"bid",9
"citations",9
"classroom",9
"closet",9
"commission's",9
"competency",9
"complies",9
"complying",9
"conflicts",9
"constitutes",9
"contractual",9
"covering",9
"deed",9
"deem",9
"demonstrate",9
"departments",9
"drive",9
"dwellings",9
"efficient",9
"eight",9
"eighty",9
"elective",9
"even",9
"exception",9
"excused",9
"executed",9
"exemption",9
"expended",9
"facsimile",9
"failed",9
"fair",9
"features",9
"felt",9
"firearms",9
"fitness",9
"full-time",9
"hall",9
"infectious",9
"informed",9
"inspector",9
"interested",9
"invalid",9
"judgment",9
"judicial",9
"keeping",9
"lists",9
"live",9
"mailed",9
"marking",9
"measurements",9
"mentioned",9
"metal",9
"minor's",9
"misconduct",9
"modification",9
"nine",9
"nuisances",9
"obtaining",9
"occurrence",9
"officials",9
"oral",9
"ownership",9
"patients",9
"placement",9
"point",9
"practicable",9
"practical",9
"prevention",9
"primarily",9
"produce",9
"promote",9
"recommendations",9
"reduced",9
"remaining",9
"returned",9
"satisfaction",9
"seats",9
"secretary",9
"single-family",9
"spaces",9
"standing",9
"substances",9
"suit",9
"supporting",9
"surrender",9
"taxicabs",9
"thereupon",9
"unpaid",9
"vehicular",9
"verify",9
"vicinity",9
"violates",9
"yard",9
"accommodations",8
"according",8
"acquired",8
"addressed",8
"administering",8
"admission",8
"affairs",8
"affixed",8
"aircraft",8
"alleys",8
"altered",8
"amusement",8
"anything",8
"apparatus",8
"applying",8
"ascribed",8
"assessments",8
"bearing",8
"beverages",8
"boards",8
"boundary",8
"boxes",8
"ch",8
"circulation",8
"citizens",8
"classrooms",8
"cleaned",8
"close",8
"color",8
"conclusion",8
"conferred",8
"confirmation",8
"consecutive",8
"convenience",8
"courts",8
"crime",8
"dancing",8
"danger",8
"dangerous",8
"definition",8
"delay",8
"destination",8
"dollar",8
"done",8
"drivers",8
"elect",8
"elected",8
"elections",8
"eliminate",8
"ensure",8
"entering",8
"equivalent",8
"error",8
"evaluation",8
"exclusively",8
"family",8
"followed",8
"forty-five",8
"game",8
"guidelines",8
"hereinafter",8
"highway",8
"holiday",8
"ill",8
"imitation",8
"imposition",8
"informal",8
"initiate",8
"inspect",8
"interim",8
"interpretation",8
"involves",8
"issues",8
"kindred",8
"levy",8
"lighting",8
"like",8
"likely",8
"marked",8
"meter",8
"million",8
"normally",8
"now",8
"null",8
"numbers",8
"object",8
"occur",8
"occurs",8
"onto",8
"opaque",8
"option",8
"paraphernalia",8
"participate",8
"passage",8
"paying",8
"per-barrel",8
"permission",8
"phone",8
"plate",8
"presiding",8
"proclamation",8
"profession",8
"profit",8
"prospective",8
"provider",8
"pubic",8
"question",8
"quorum",8
"railroad",8
"referenced",8
"refund",8
"relative",8
"relief",8
"remitted",8
"repairs",8
"representation",8
"requesting",8
"requests",8
"residents",8
"revenues",8
"reward",8
"rule",8
"satisfied",8
"secured",8
"securely",8
"session",8
"severability",8
"shows",8
"size",8
"statute",8
"subdivision",8
"submission",8
"succeeding",8
"superficial",8
"supplemental",8
"surplus",8
"testing",8
"thereby",8
"tort",8
"transmit",8
"treasury",8
"treated",8
"types",8
"unable",8
"unnecessary",8
"vector",8
"visual",8
"void",8
"wares",8
"weight",8
