"Word","Freq"
"shall",2140
"board",775
"town",704
"may",444
"provisions",381
"general",379
"art",372
"feet",370
"southborough",364
"permit",363
"plan",341
"public",316
"building",313
"within",297
"land",258
"chapter",252
"regulations",249
"atm",247
"ch",247
"area",245
"planning",243
"water",240
"use",236
"provided",231
"required",229
"code",221
"person",221
"commission",218
"special",215
"street",205
"lot",204
"mgl",203
"requirements",199
"site",198
"one",195
"upon",192
"approval",190
"bylaw",190
"health",187
"will",181
"construction",180
"development",180
"selectmen",176
"system",174
"time",169
"section",165
"per",161
"following",160
"department",159
"including",152
"subdivision",151
"see",150
"said",149
"application",144
"zoning",139
"property",138
"existing",137
"disposal",135
"proposed",132
"minimum",131
"days",130
"district",130
"unless",129
"used",129
"committee",127
"article",126
"except",121
"sewage",121
"amended",120
"subject",120
"control",119
"sign",119
"approved",117
"applicant",116
"buildings",116
"areas",115
"signs",114
"parking",113
"made",111
"massachusetts",111
"streets",111
"authority",110
"meeting",109
"vehicle",108
"business",107
"traffic",107
"least",105
"two",104
"uses",103
"location",101
"stormwater",101
"thereof",99
"otherwise",98
"located",96
"purpose",96
"state",96
"units",95
"districts",94
"rules",94
"issued",93
"date",92
"inches",92
"residential",92
"way",92
"housing",91
"note",90
"systems",90
"three",90
"hearing",89
"line",89
"number",89
"without",89
"conditions",88
"fire",88
"law",88
"less",88
"registered",88
"dwelling",87
"notice",87
"part",87
"space",87
"appeals",86
"necessary",86
"lots",85
"material",85
"owner",85
"permitted",85
"square",85
"added",84
"adopted",84
"authorized",84
"subsection",82
"clerk",81
"design",81
"prior",81
"safety",81
"facility",80
"must",80
"police",80
"surface",80
"act",78
"inspector",77
"leaching",77
"materials",77
"order",77
"commercial",76
"accordance",75
"editor's",75
"plans",74
"premises",74
"pursuant",74
"report",74
"action",73
"alarm",73
"structure",73
"written",73
"provide",72
"every",71
"natural",71
"protection",71
"require",71
"standards",71
"vehicles",71
"years",71
"compliance",70
"drainage",70
"structures",70
"applicable",69
"constructed",69
"lines",69
"set",69
"writing",69
"allowed",67
"open",67
"private",67
"year",67
"defined",66
"discharge",66
"information",66
"removal",66
"review",66
"roadway",66
"conservation",65
"maximum",64
"office",63
"wetlands",63
"work",63
"include",62
"place",62
"prohibited",62
"accessory",61
"environmental",61
"form",61
"maintenance",61
"quality",61
"commonwealth",60
"soil",60
"laws",59
"service",59
"administrator",58
"also",58
"purposes",58
"residence",58
"runoff",58
"appropriate",57
"day",57
"designed",57
"elevation",57
"acts",56
"common",56
"major",56
"grade",55
"license",55
"officer",55
"school",55
"effective",54
"septic",54
"amendment",53
"file",53
"installed",53
"manner",53
"signal",53
"submitted",53
"ways",53
"well",53
"case",52
"ground",52
"highway",52
"provision",52
"right",52
"schedule",52
"services",52
"access",51
"activities",51
"apply",51
"energy",51
"first",51
"installation",51
"management",51
"shown",51
"definitive",50
"operation",50
"park",50
"solar",50
"tank",50
"violation",50
"height",49
"individual",49
"affordable",48
"comply",48
"enforcement",48
"facilities",48
"fee",48
"four",48
"groundwater",48
"new",48
"performance",48
"permanent",48
"request",48
"sex",48
"spaces",48
"depth",47
"pedestrian",47
"period",47
"permits",47
"sewer",47
"annual",46
"designated",46
"dog",46
"effect",46
"federal",46
"home",46
"storage",46
"temporary",46
"chief",45
"community",45
"considered",45
"decision",45
"determined",45
"five",45
"floor",45
"granted",45
"wall",45
"elderly",44
"forth",44
"frontage",44
"inch",44
"terms",44
"vote",44
"waste",44
"works",44
"capacity",43
"determination",43
"fees",43
"flood",43
"given",43
"references",43
"side",43
"emergency",42
"erosion",42
"established",42
"municipal",42
"size",42
"tanks",42
"earth",41
"flow",41
"maintained",41
"make",41
"offender",41
"persons",41
"stm",41
"distribution",40
"equipment",40
"extent",40
"filed",40
"follows",40
"member",40
"separate",40
"total",40
"additional",39
"adequate",39
"deemed",39
"due",39
"engineer",39
"full",39
"trees",39
"activity",38
"adult",38
"cause",38
"change",38
"copy",38
"duties",38
"failure",38
"members",38
"official",38
"percolation",38
"rate",38
"specified",38
"alteration",37
"cover",37
"employees",37
"erected",37
"establish",37
"exceed",37
"meet",37
"name",37
"prevent",37
"specifications",37
"whether",37
"adjacent",36
"available",36
"boards",36
"court",36
"herein",36
"legal",36
"limited",36
"portion",36
"preservation",36
"recorded",36
"supply",36
"unit",36
"demolition",35
"engineering",35
"light",35
"local",35
"minimize",35
"occupancy",35
"protect",35
"serve",35
"six",35
"thereto",35
"agency",34
"cmr",34
"criteria",34
"dwellings",34
"intersection",34
"level",34
"minutes",34
"officers",34
"receipt",34
"significant",34
"specific",34
"type",34
