"Word","Freq"
"city",1747
"shall",1503
"code",998
"may",980
"license",730
"person",642
"property",635
"must",606
"will",601
"public",555
"permit",539
"time",539
"council",486
"business",447
"required",437
"building",425
"within",407
"owner",406
"application",400
"use",393
"applicant",360
"subchapter",352
"chapter",349
"feet",348
"sign",316
"anthony",313
"st",311
"water",298
"way",294
"following",291
"manager",277
"area",273
"premises",262
"provisions",261
"lot",257
"right-of",248
"land",242
"notice",240
"general",239
"upon",239
"state",238
"penalty",236
"including",235
"licensed",235
"licensee",233
"vehicle",232
"provided",224
"section",224
"regulations",221
"requirements",220
"see",216
"fire",215
"days",213
"purpose",212
"fee",209
"used",205
"signs",200
"unless",196
"structure",195
"ord",193
"permitted",192
"police",191
"dwelling",189
"zoning",183
"equipment",179
"issued",179
"site",177
"amended",174
"plan",173
"uses",173
"passed",171
"information",168
"law",166
"liquor",166
"street",166
"date",164
"except",164
"service",164
"violation",164
"without",164
"hearing",162
"commission",161
"district",160
"safety",158
"permits",156
"sale",155
"order",154
"health",152
"place",152
"line",151
"facilities",150
"located",150
"least",147
"made",147
"residential",143
"department",140
"proposed",139
"compliance",138
"development",136
"work",136
"fees",133
"licenses",132
"prohibited",132
"system",132
"r-",131
"approved",130
"construction",130
"number",130
"authorized",129
"necessary",127
"location",126
"set",126
"storm",126
"persons",124
"tobacco",123
"areas",122
"buildings",122
"charges",120
"costs",119
"written",119
"parking",117
"yard",117
"apply",116
"height",116
"part",116
"sewer",116
"existing",115
"name",114
"approval",113
"square",113
"control",112
"enforcement",112
"less",112
"definitions",111
"provide",111
"ordinance",110
"minnesota",109
"comply",108
"every",108
"subject",108
"otherwise",107
"conditions",105
"park",104
"surface",104
"include",103
"chief",102
"limited",101
"first",100
"manner",99
"maintenance",98
"operation",98
"prior",97
"hours",96
"minimum",96
"accordance",95
"period",95
"forth",94
"structures",94
"purposes",93
"pursuant",92
"motor",91
"officer",91
"related",91
"display",90
"materials",90
"special",90
"systems",90
"unit",90
"usage",89
"division",88
"holder",88
"meeting",88
"vehicles",88
"year",88
"open",87
"address",86
"cause",86
"specified",86
"tower",86
"agent",85
"conduct",85
"space",85
"standards",85
"applicable",84
"deemed",84
"planning",84
"storage",84
