"Word","Freq"
"shall",3847
"city",2664
"ordinance",1432
"public",1008
"use",979
"may",977
"section",946
"st",896
"francis",895
"building",890
"permit",780
"zoning",727
"property",720
"area",686
"code",677
"feet",675
"one",634
"council",605
"within",601
"plan",590
"required",564
"chapter",563
"person",550
"water",548
"uses",539
"upon",504
"requirements",483
"following",479
"district",476
"land",464
"application",445
"provisions",441
"license",433
"lot",416
"site",409
"provided",404
"owner",393
"subdivision",391
"applicant",387
"parking",383
"structure",381
"time",375
"state",369
"including",361
"must",361
"development",354
"business",351
"minnesota",345
"way",345
"will",342
"street",339
"service",332
"used",326
"purpose",319
"general",313
"permitted",312
"home",306
"proposed",296
"standards",293
"approved",292
"ord",291
"premises",287
"means",286
"control",284
"subject",281
"sign",279
"streets",275
"minimum",273
"areas",272
"right-of",271
"system",264
"ss",263
"approval",262
"conditions",261
"compliance",258
"facilities",258
"unlawful",255
"construction",251
"regulations",250
"days",249
"flood",249
"applicable",248
"accessory",244
"residential",243
"buildings",237
"dwelling",236
"except",235
"date",234
"structures",234
"violation",234
"hundred",228
"plat",224
"two",224
"vehicle",220
"unit",219
"notice",214
"administrator",213
"fee",207
"permits",207
"space",207
"existing",204
"per",204
"square",203
"sewer",202
"necessary",201
"private",201
"review",198
"work",196
"licensed",195
"thereof",195
"unless",192
"location",190
"information",189
"less",188
"located",188
"provide",187
"access",185
"include",185
"conditional",183
"engineer",183
"issued",183
"otherwise",181
"year",179
"prior",178
"height",177
"accordance",176
"limited",176
"without",176
"utility",173
"final",170
"health",169
"place",169
"safety",168
"said",168
"part",167
"set",165
"made",164
"official",164
"traffic",164
"signs",162
"temporary",162
"hearing",161
"materials",161
"persons",161
"exceed",160
"operation",160
"protection",160
"rules",159
"additional",158
"sale",158
"effective",157
"interim",157
"least",155
"lots",152
"determined",151
"established",151
"regulated",149
"department",147
"allowed",146
"equipment",146
"stormwater",145
"administrative",144
"grading",143
"purposes",142
"commercial",141
"fire",141
"line",141
"maintenance",140
"special",140
"amount",138
"animal",138
"principal",138
"related",138
"fees",137
"natural",137
"order",136
"sales",136
"require",135
"costs",134
"forth",134
"hours",134
"inspection",133
"number",133
"comply",132
"management",132
"services",132
"storage",132
"tobacco",132
"administration",131
"districts",130
"pollution",130
"three",129
"vehicles",129
"connection",128
"regulation",128
"open",127
"ten",127
"manner",126
"material",126
"percent",126
"considered",125
"design",125
"designed",125
"excavation",125
"five",125
"period",125
"erosion",124
"every",124
"surface",123
"industrial",122
"lines",122
"utilities",122
"floor",121
"licensee",121
"officer",121
"park",121
"prohibited",120
"pursuant",120
"county",119
"emergency",119
"improvements",119
"municipal",119
"setback",119
"authorized",118
"defined",118
"action",117
"definitions",116
"designated",116
"written",116
"adjacent",115
"commission",115
"storm",115
"intended",114
"activities",113
"sewage",113
"size",113
"cause",111
"law",111
"manufactured",111
"recreational",111
"wetland",111
"devices",110
"cost",109
"provision",109
"specified",109
"pud",108
"statutes",108
"treatment",108
"licensing",107
"thirty",107
"activity",106
"also",106
"clerk",106
"first",106
"yard",106
"family",105
"motor",105
"single",105
"total",105
"permanent",104
"systems",104
"based",103
"condition",103
"police",103
"type",103
"adult",102
"request",102
"width",102
"appropriate",101
"exterior",101
"financial",101
"maximum",101
"new",101
"similar",101
"drainage",99
"plans",98
"preliminary",98
"variance",98
"insurance",97
"light",96
"rental",96
"security",96
"soil",96
"right",95
"wall",95
"waste",95
"dog",94
"either",94
"payment",94
"river",94
"agency",93
"failure",93
"individual",93
"meeting",93
"act",92
"adopted",92
"granted",92
"ground",92
"occupancy",92
"discharge",91
"greater",91
"herein",91
"performance",91
"placed",90
"repair",90
"authority",89
"elevation",89
"properties",89
"sanitary",89
"terms",89
"event",88
"units",88
"apply",87
"form",87
"local",87
"device",86
"reasonable",86
"applications",85
"issuance",85
"maintained",85
"meet",85
"occupation",85
"schedule",85
"spaces",85
"legal",84
"parcel",84
"constructed",83
"contract",83
"curb",83
"installed",83
"maintain",83
"misdemeanor",83
"adequate",82
"age",82
"buffer",82
"liquor",82
"paid",82
"portion",82
"six",82
"wetlands",82
"charges",81
"delivery",81
"fifty",81
"nuisance",81
"planning",81
"term",81
"day",80
"outdoor",80
"twenty",80
"whether",80
"years",80
"highway",79
"side",79
"specific",79
"case",78
"deposit",78
"products",78
"current",77
"make",77
"urban",77
"alcoholic",76
"director",76
"off-street",76
"outside",76
"responsible",76
"agent",75
"allow",75
"certificate",75
"installation",75
"prevent",75
"assessment",74
"foot",74
"hereby",74
"office",74
"resolution",74
"addition",73
"address",73
"distance",73
"establishment",73
"licenses",73
"occupations",73
"procedures",73
"enforcement",72
"four",72
"interest",72
"map",72
"measures",72
"procedure",72
"facility",71
"federal",71
"human",71
"process",71
"sediment",71
"welfare",71
"abutting",70
"easements",70
"r-",70
"trees",70
"another",69
"can",69
"damage",69
"parks",69
"present",69
"removal",69
"requirement",69
"source",69
"associated",68
"copy",68
"front",68
"personal",68
"restrictions",68
"available",67
"electronic",67
"filling",67
"high",67
"includes",67
"name",67
"submitted",67
"comprehensive",66
"non-conforming",66
"thousand",66
"future",65
"refuse",65
"waters",65
"conduct",64
"cover",64
"due",64
"kept",64
"project",64
"restoration",64
"deemed",63
"developer",63
"disposal",63
"floodplain",63
"found",63
"a-",62
"along",62
"beverages",62
"board",62
"charge",62
"completion",62
"conform",62
"employee",62
"minor",62
"prevention",62
"record",62
"works",62
"yards",62
"completed",61
"conducted",61
"described",61
"homes",61
"removed",61
"supply",61
"animals",60
"criteria",60
"vegetation",60
"writing",60
"containing",59
"radio",59
"stage",59
"community",58
"detached",58
"fences",58
"loading",58
"mean",58
"plus",58
"specifically",58
"stated",58
"declared",57
"operations",57
"revocation",57
"setbacks",57
"statute",57
"times",57
"common",56
"directly",56
"grade",56
"included",56
"runoff",56
"antennas",55
"concrete",55
"floodway",55
"flow",55
"frontage",55
"gravel",55
"hour",55
"lighting",55
"pay",55
"complete",54
"consistent",54
"description",54
"inches",54
"members",54
"planned",54
"screening",54
"sufficient",54
"treasurer",54
"b-",53
"however",53
"member",53
"noise",53
"operator",53
"real",53
"result",53
"room",53
"stream",53
"amended",52
"attached",52
"care",52
"direct",52
"driveway",52
"entertainment",52
"landscaping",52
"permittee",52
"point",52
"properly",52
"sections",52
"stop",52
"certified",51
"determine",51
"fill",51
"full",51
"identified",51
"operated",51
"concept",50
"effect",50
"extension",50
"fails",50
"filed",50
"laws",50
"notify",50
"owned",50
"proper",50
"responsibility",50
"wastes",50
"appeal",49
"cases",49
"commissioner",49
"consideration",49
"controlled",49
"held",49
"occupied",49
"owners",49
"protect",49
"road",49
