"Word","Freq"
"shall",2220
"city",1459
"may",694
"public",501
"taneytown",485
"chapter",461
"ord",443
"code",421
"plan",409
"commission",401
"property",381
"use",363
"building",345
"required",315
"time",306
"council",305
"within",304
"proposed",302
"person",282
"stormwater",267
"provisions",260
"area",257
"lot",255
"development",251
"amended",243
"site",241
"management",239
"construction",233
"water",233
"feet",232
"upon",224
"article",221
"requirements",219
"will",218
"approval",217
"facilities",215
"ch",212
"zoning",209
"provided",207
"approved",204
"section",200
"street",198
"one",196
"land",195
"board",194
"permit",194
"subdivision",192
"violation",190
"following",189
"streets",189
"service",188
"sign",188
"subject",183
"existing",182
"system",182
"district",171
"owner",169
"including",165
"mayor",163
"state",162
"business",160
"parking",159
"county",158
"date",158
"dwelling",158
"individual",156
"include",151
"design",150
"general",148
"franchisee",144
"provide",144
"developer",142
"areas",141
"control",138
"must",138
"permitted",138
"amendment",136
"plans",136
"maryland",135
"see",132
"space",129
"necessary",128
"regulations",128
"used",127
"minimum",126
"part",126
"notice",125
"signs",123
"except",121
"prior",121
"made",120
"days",117
"final",116
"official",115
"yard",115
"services",113
"location",112
"purpose",111
"unless",111
"thereof",110
"uses",110
"structure",109
"vehicle",109
"information",108
"sidewalks",108
"lots",106
"sewer",106
"square",106
"interest",105
"private",102
"located",101
"unit",101
"applicable",100
"issued",100
"open",99
"fire",98
"agreement",97
"applicant",97
"buildings",97
"per",97
"premises",97
"structures",97
"planning",96
"preliminary",96
"written",95
"application",93
"community",93
"conditions",93
"industrial",92
"line",92
"order",92
"period",92
"action",91
"adopted",91
"review",91
"manner",90
"pursuant",90
"special",90
"way",90
"franchise",88
"maintenance",88
"office",88
"set",88
"appeals",87
"carroll",87
"future",87
"whether",87
"agency",86
"department",86
"residential",86
"appropriate",85
"work",85
"require",84
"manager",83
"new",83
"report",83
"standards",82
"waste",82
"accordance",81
"administrator",81
"authorized",81
"limited",81
"ordinance",81
"petition",81
"officials",80
"vehicles",80
"equipment",79
"without",78
"election",77
"inspection",77
"fee",76
"traffic",76
"discharge",75
"units",75
"employees",74
"added",73
"designated",73
"front",73
"number",73
"park",73
"place",73
"adequate",72
"year",72
"commercial",71
"erosion",71
"said",71
"charter",70
"exception",70
"facility",70
"sediment",70
"access",69
"police",69
"project",69
"filed",68
"penalties",68
"vending",68
"machines",67
"statement",67
"two",67
"day",66
"established",66
"file",66
"safety",66
"adjacent",65
"ethics",65
"less",65
"similar",65
"terms",65
"compliance",64
"otherwise",64
"population",64
"purposes",64
"three",64
"health",63
"make",63
"additional",62
"amount",62
"recorded",62
"systems",62
"also",61
"candidate",61
"capacity",61
"clerk",61
"hearing",61
"maintained",61
"materials",61
"persons",61
"storage",61
"treatment",61
"every",60
"storm",60
"enforcement",59
"herein",59
"member",59
"ordinances",59
"rules",59
"specified",59
"violations",59
"granted",58
"concept",57
"fees",57
"projected",57
"side",57
"improvements",56
"least",56
"nature",56
"portion",56
"deemed",55
"supply",55
"village",55
"forth",54
"local",54
"width",54
"sewerage",53
"cause",52
"event",52
"law",52
"manual",52
"parks",52
"previously",52
"serve",52
"sidewalk",52
"apply",51
"considered",51
"determined",51
"exceed",51
"financial",51
"lines",51
"ncm",51
"offense",51
"protection",51
"reasonable",51
"right",51
"years",51
"activities",50
"address",50
"conservation",50
"esd",50
"firm",50
"intended",50
"limits",50
"practices",50
"sewage",50
"authority",49
"available",49
"certification",49
"condition",49
"height",49
"hours",49
"legal",49
"meeting",49
"municipal",49
"owners",49
"received",49
"schedule",49
"title",49
"city's",48
"containing",48
"costs",48
"designed",48
"drainage",48
"home",48
"principal",48
"properties",48
"responsible",48
"addition",47
"case",47
"depth",47
"employee",47
"floor",47
"grading",47
"maximum",47
"note",47
"specific",47
"structural",47
"submitted",47
"well",47
"based",46
"ensure",46
"name",46
"placed",46
"resolution",46
"whenever",46
"allowed",45
"ballot",45
"cable",45
"comply",45
"corporation",45
"cost",45
"decision",45
"removal",45
