"Word","Freq"
"shall",5525
"city",3043
"code",2052
"building",1366
"permit",1268
"public",1247
"may",1208
"section",1039
"person",1038
"ord",1036
"property",960
"use",870
"within",851
"required",826
"article",801
"parking",770
"provided",717
"feet",713
"area",698
"chapter",695
"business",691
"upon",663
"council",647
"provisions",621
"lot",616
"one",579
"following",565
"time",542
"application",525
"notice",483
"state",478
"street",446
"structure",440
"used",437
"including",436
"development",434
"said",432
"areas",422
"official",404
"pursuant",395
"permitted",394
"set",388
"commission",376
"thereof",374
"temple",366
"requirements",362
"vehicle",362
"applicant",359
"days",359
"plan",349
"regulations",346
"owner",345
"violation",338
"construction",337
"site",337
"dwelling",333
"located",333
"purpose",332
"less",328
"hearing",326
"california",322
"service",319
"date",314
"facilities",312
"applicable",308
"except",308
"manager",307
"subject",307
"premises",304
"license",303
"proposed",301
"five",299
"structures",297
"standards",294
"title",294
"part",293
"will",293
"two",292
"persons",291
"county",289
"otherwise",288
"appeal",284
"director",284
"forth",284
"safety",280
"uses",279
"work",277
"order",274
"zone",273
"place",270
"made",268
"include",264
"equipment",255
"buildings",254
"location",254
"units",253
"approval",251
"law",251
"square",250
"unit",250
"issued",249
"review",248
"manner",246
"officer",246
"residential",244
"decision",243
"provide",243
"approved",241
"without",241
"existing",240
"deemed",237
"adult",236
"tax",235
"space",234
"fee",232
"signs",232
"grantee",231
"hundred",230
"unless",230
"commercial",229
"system",227
"written",227
"sign",226
"new",223
"ten",222
"period",220
"must",219
"permits",217
"ordinance",216
"nuisance",212
"maintained",210
"water",210
"limited",209
"defined",208
"minimum",207
"portion",207
"health",206
"right",205
"subsection",205
"conditions",204
"herein",204
"prior",204
"open",203
"general",202
"height",200
"thirty",200
"tobacco",200
"specified",199
"first",196
"private",196
"sale",196
"fees",195
"oriented",195
"abatement",194
"apply",194
"franchise",194
"act",191
"department",191
"planning",191
"accordance",190
"land",189
"three",189
"floor",188
"yard",188
"materials",187
"purposes",187
"whether",186
"request",185
"exceed",184
"facility",184
"project",184
"special",184
"control",183
"least",183
"services",183
"cause",182
"los",182
"real",182
"angeles",181
"compliance",181
"action",180
"necessary",177
"laws",175
"line",175
"removal",175
"storage",175
"condition",174
"responsible",174
"material",173
"number",173
"percent",173
"enforcement",172
"amd",171
"fire",170
"inspection",170
"grantor",169
"way",169
"establishment",168
"prohibited",168
"side",168
"comply",166
"definitions",166
"vehicles",166
"administrative",165
"design",165
"information",165
"lots",164
"-3a",163
"r-",163
"amount",162
"designated",162
"front",162
"-3c",161
"authorized",160
"massage",160
"similar",160
"provision",159
"day",157
"office",157
"sections",156
"twenty",156
"emergency",152
"reasonable",152
"accessory",151
"clerk",151
"every",151
"cart",150
"resolution",149
"plans",148
"zoning",148
"community",145
"address",144
"adopted",144
