"Word","Freq"
"shall",3934
"city",2952
"o-",2255
"code",1969
"torrance",1754
"municipal",1586
"may",1270
"article",1143
"person",1097
"license",1034
"section",957
"public",904
"division",888
"tax",876
"ordinance",862
"current",798
"amended",747
"permit",740
"passed",731
"november",727
"page",720
"service",705
"council",700
"business",680
"chapter",665
"will",612
"required",602
"within",564
"time",561
"provisions",559
"provided",553
"commission",535
"upon",519
"state",509
"use",500
"fee",499
"property",480
"application",455
"amount",450
"director",432
"pursuant",430
"applicant",424
"employee",424
"added",423
"health",420
"one",393
"board",383
"notice",365
"police",361
"days",343
"revised",343
"development",342
"said",334
"hearing",332
"department",323
"made",321
"manager",320
"thereof",314
"facilities",312
"year",307
"fees",304
"means",304
"per",290
"place",290
"finance",289
"building",288
"california",283
"following",280
"vehicle",278
"issued",277
"used",272
"date",261
"bonds",260
"officer",258
"members",256
"impact",254
"except",252
"paid",249
"must",248
"purpose",236
"assessment",235
"taxicab",234
"term",229
"law",228
"review",226
"subject",224
"every",223
"taxation",221
"employees",220
"without",219
"welfare",218
"services",217
"period",212
"unless",212
"persons",211
"licensing",207
"manner",207
"sale",207
"office",204
"requirements",204
"supervisor",204
"general",203
"duties",202
"including",199
"payment",198
"two",198
"regulations",196
"otherwise",195
"purposes",195
"resolution",195
"day",194
"owner",193
"administration",192
"fire",191
"necessary",190
"pay",188
"part",186
"applicable",182
"clerk",182
"imposed",182
"make",180
"filed",178
"organization",178
"appeal",174
"safety",174
"fund",173
"land",173
"repealed",172
"civil",171
"set",171
"water",170
"authorized",169
"include",169
"written",169
"chief",165
"event",165
"emergency",164
"issuance",163
"street",163
"decision",159
"list",159
"member",159
"construction",158
"interest",158
"name",157
"due",156
"first",155
"collected",154
"massage",154
"unlawful",153
"ord",152
"revenue",152
"waste",152
"conditions",151
"rules",151
"special",151
"number",149
"order",149
"authority",148
"information",148
"however",147
"operator",147
"certificate",146
"years",146
"animal",145
"apply",145
"driver",145
"prohibited",145
"equipment",144
"proposed",144
"county",142
"community",141
"mean",141
"carrying",140
"whether",140
"less",139
"cause",138
"prior",137
"approval",136
"dog",136
"effect",136
"eligible",136
"premises",136
"system",136
"control",135
"forth",135
"limited",135
"position",133
"provide",133
"taxes",133
"appointment",132
"calendar",131
"dollars",130
"five",130
"improvements",129
"accordance",128
"establishment",128
"violation",127
"act",126
"exemption",126
"area",125
"deemed",125
"operation",125
"approved",124
"definitions",124
"inspection",124
"least",124
"corporation",123
"either",123
"facility",123
"private",123
"terms",123
"administrator",122
"defined",122
"determination",121
"sales",121
"powers",119
"rate",118
"suspension",118
"hours",117
"maintenance",117
"personal",117
"meeting",116
"officers",116
"revocation",116
"conduct",115
"structure",115
"collection",114
"etc",114
"ten",114
"transportation",114
"committee",113
"specified",113
"hereby",112
"charges",111
"failure",111
"right",111
"unit",111
"writing",111
"created",110
"new",110
"plan",110
"reduction",110
"payable",109
"sections",109
"address",108
"employment",108
"established",108
"percent",107
"thirty",106
"records",105
"additional",104
"report",103
"charter",100
"park",100
"three",100
"evidence",99
"exceed",99
"government",99
"funds",98
"received",98
"request",98
"penalty",97
"telephone",96
"activity",95
"adopted",95
"removal",95
"addition",94
"costs",94
"hundred",94
"compensation",93
"vehicles",93
"month",92
"solid",92
"states",92
"location",91
"noise",91
"residential",91
"sound",91
"commercial",90
"names",90
"utility",90
"activities",89
"duty",89
"nuisance",89
"regular",89
"compliance",88
"designated",88
"administrative",87
"examination",87
"existing",87
"granted",87
"therefor",87
"action",86
"form",86
"project",86
"storm",86
"united",86
"discharge",85
"operate",85
"similar",85
"available",84
"bids",84
"official",84
"angeles",83
"change",83
"filing",83
"los",83
"reasonable",83
"final",82
"franchisee",82
"hire",82
"hold",82
"material",82
"subsection",82
"district",81
"four",81
"january",81
"appointed",80
"contract",80
"meetings",80
"performance",80
"permitted",80
"quality",80
"require",80
"leave",79
"age",78
"issue",78
"operating",78
"franchise",76
"herein",76
"prescribed",76
"responsible",76
"charge",75
"determine",75
"keep",75
"maintain",75
"motor",75
"proper",75
"sewer",75
"agency",74
"agreement",74
"also",74
"annual",74
"basis",74
"held",74
"alarm",73
"appropriate",73
"open",73
"ordinances",73
"parking",73
"times",73
"work",73
"conducted",72
"placed",72
"power",72
"separate",72
"thereafter",72
"determined",71
"drain",71
"penalties",71
"refuse",71
"adjustment",70
"case",70
"enforcement",70
"matters",70
"provision",70
"consent",69
"holding",69
"includes",69
"insurance",69
"management",69
"oil",69
"operated",69
"stormwater",69
"condition",68
"dwelling",68
"record",68
"cost",67
"feet",67
"limits",67
"purchase",67
"based",66
"effective",66
"head",66
"identification",66
"liability",66
"occupancy",66
"serve",66
"thousand",66
"agent",65
"animals",65
"misdemeanor",65
"projects",65
"areas",64
"category",64
"increased",64
"permanent",64
"representation",64
"type",64
"whenever",64
"investigation",63
"minor",63
"petition",63
"class",62
"commencing",62
"display",62
"expenses",62
"given",62
"individual",62
"known",62
"laws",62
"legal",62
"located",62
"permits",62
"portion",62
"return",62
"thereto",62
"certified",61
"keeping",61
"price",61
"bureau",60
"claim",60
"device",60
"environmental",60
"level",60
"personnel",60
"present",60
"recognized",60
"adoption",59
"beach",59
"extent",59
"file",59
"immediately",59
"improvement",59
"licensed",59
"matter",59
"receipt",59
"streets",59
"buildings",58
"election",58
"expiration",58
"industrial",58
"making",58
"materials",58
"retailer",58
"alcoholic",57
"engaged",57
"full",57
"licensee",57
"refund",57
"title",57
"comply",56
"contained",56
"firm",56
"original",56
"permittee",56
"possession",56
"representative",56
"transfer",56
"become",55
"exempt",55
"maintained",55
"owned",55
"posted",55
"poundmaster",55
"qualifications",55
"room",55
"sign",55
"copy",54
"court",54
"employed",54
"fixed",54
"mail",54
"partnership",54
"proceedings",54
"removed",54
"result",54
"rights",54
"temporary",54
"valid",54
"appointments",53
"charged",53
"collect",53
"consumption",53
"designee",53
"determines",53
"notices",53
"procedures",53
"therein",53
"working",53
"works",53
"classified",52
"company",52
"connection",52
"exception",52
"fifteen",52
"procedure",52
"requested",52
"thereon",52
"total",52
"user",52
"bond",51
"decreased",51
"federal",51
"gas",51
"lot",51
"places",51
"political",51
"preceding",51
"prepared",51
"ratified",51
"statement",51
"amend",50
"another",50
"assigned",50
"credit",50
"description",50
"entitled",50
"expire",50
"owners",50
"retail",50
"revoked",50
"sold",50
"technical",50
"therapy",50
"traffic",50
"airport",49
"appear",49
"changes",49
"departments",49
"designed",49
"developer",49
"directly",49
"increase",49
"installation",49
"membership",49
"outside",49
"planning",49
"food",48
"grounds",48
"guilty",48
"house",48
"meet",48
"mun",48
"obligations",48
"remain",48
"absence",47
"association",47
"candidate",47
"considered",47
"controlled",47
"engineer",47
"machine",47
"mayor",47
"parade",47
"perform",47
"prevent",47
"previously",47
"related",47
"repair",47
"served",47
"submitted",47
"attorney",46
"criminal",46
"delivery",46
"deposit",46
"elec",46
"intent",46
"requirement",46
"residence",46
"revenues",46
"standards",46
"suspended",46
"taken",46
"undergrounding",46
"aircraft",45
"classification",45
"denial",45
"described",45
"mailed",45
"minimum",45
"nature",45
"notwithstanding",45
"parks",45
"professions",45
"relations",45
"constitute",44
"included",44
"intention",44
"maximum",44
"money",44
"positions",44
"respect",44
"route",44
"take",44
"beverages",43
"bidder",43
"carry",43
"certification",43
"discretion",43
"entertainment",43
"escort",43
"exercise",43
"game",43
"kept",43
"levied",43
"security",43
"subdivision",43
"using",43
"whose",43
"can",42
"collector",42
"consecutive",42
"containing",42
"definition",42
"enter",42
"generally",42
"majority",42
"quarter",42
"reason",42
"selling",42
"six",42
"accept",41
"air",41
"applications",41
"chairman",41
"delinquent",41
"examinations",41
"give",41
"involving",41
"last",41
"loan",41
"machines",41
"operations",41
"purchases",41
"reference",41
"storage",41
"uses",41
"vote",41
"way",41
"card",40
"deems",40
"deposited",40
"finds",40
"good",40
"line",40
"merchandise",40
"pertaining",40
"process",40
"rates",40
"reasonably",40
"receive",40
"solely",40
"value",40
"waters",40
"complete",39
"contain",39
"dust",39
"elective",39
"entire",39
"establish",39
"goods",39
"hens",39
"months",39
"particular",39
"performed",39
"practice",39
"proceeds",39
"proof",39
"registered",39
"remove",39
"runoff",39
"scope",39
"sec",39
"solicitation",39
"training",39
"account",38
"businesses",38
"clean",38
"construed",38
"fails",38
"intended",38
"penal",38
"providing",38
"receiving",38
"relating",38
"smoking",38
"surface",38
"vacancies",38
"vacancy",38
"well",38
"addresses",37
"amusement",37
"applied",37
"body",37
"completed",37
"devices",37
"exemptions",37
"financial",37
"obtain",37
"pending",37
"physical",37
"recreation",37
"regulation",37
"seven",37
"sufficient",37
"access",36
"appealed",36
"assessed",36
"attend",36
"certain",36
"contents",36
"disposal",36
"force",36
"highway",36
"mailing",36
"non-residential",36
"nothing",36
"obtained",36
"protest",36
"site",36
"specifically",36
"square",36
"submit",36
"units",36
"agencies",35
"appeals",35
"assessments",35
"conducting",35
"corps",35
"education",35
"energy",35
"entity",35
"false",35
"fifty",35
"heads",35
"jurisdiction",35
"labor",35
"licenses",35
"lots",35
"need",35
"notify",35
"preparation",35
"principal",35
"recommendations",35
"remodeling",35
"restaurant",35
"substance",35
"supplier",35
"words",35
"c-",34
"claims",34
"contribution",34
"disposition",34
"fiscal",34
"gen",34
"hour",34
"kind",34
"limitations",34
"meaning",34
"ms4",34
"offers",34
"program",34
"rooms",34
"serving",34
"show",34
"sixty",34
"subsequent",34
"bees",33
"carried",33
"concerning",33
"constructed",33
"constructing",33
"discharges",33
"financing",33
"injury",33
"local",33
"pollution",33
"qualified",33
"school",33
"showing",33
"stated",33
"substances",33
"tangible",33
"accompanied",32
"advertising",32
"becomes",32
"composition",32
"concurrent",32
"consideration",32
"continue",32
"contracts",32
"deem",32
"deputy",32
"eighteen",32
"equal",32
"lawful",32
"ownership",32
"probationary",32
"religious",32
"reports",32
"res",32
"signed",32
"violations",32
"acquisition",31
"amounts",31
"appoint",31
"automobile",31
"consumer",31
"dance",31
"declared",31
"direct",31
"electrical",31
"enclosed",31
"excess",31
"fully",31
"impounded",31
"interested",31
"legislature",31
"next",31
"offense",31
"offer",31
"reasons",31
"recycling",31
"representatives",31
"television",31
"treasurer",31
"absent",30
"agents",30
"beverage",30
"data",30
"enforce",30
"exists",30
"filled",30
"furnish",30
"furnished",30
"governing",30
"holder",30
"incurred",30
"later",30
"lieu",30
"lowest",30
"moneys",30
"natural",30
"occurs",30
"passengers",30
"pigeons",30
"pledge",30
"possess",30
"real",30
"sick",30
"single",30
"stand",30
"structures",30
"trust",30
"twenty",30
"adjacent",29
"annually",29
"boundaries",29
"cable",29
"consider",29
"distribution",29
"establishments",29
"exhibition",29
"expansion",29
"former",29
"forms",29
"independent",29
"maintaining",29
"notification",29
"one-half",29
"parcel",29
"parties",29
"parts",29
"passenger",29
"practices",29
"priority",29
"producing",29
"published",29
"rabies",29
"recorded",29
"restrictions",29
"salary",29
"sealed",29
"second",29
"affected",28
"allowed",28
"along",28
"behalf",28
"call",28
"caused",28
"closing",28
"contributions",28
"course",28
"dispose",28
"diversion",28
"dogs",28
"exceptions",28
"exclusive",28
"exempted",28
"expenditures",28
"fact",28
"found",28
"guardian",28
"hotel",28
"illegal",28
"inviting",28
"july",28
"lower",28
"officials",28
"organizations",28
"parent",28
"personally",28
"phase",28
"post",28
"redevelopment",28
"referred",28
"regulated",28
"requires",28
"reserve",28
"residents",28
"sell",28
"specifications",28
"standard",28
"sum",28
"together",28
"vacation",28
"waiver",28
"appointing",27
"assignment",27
"automatically",27
"books",27
"communication",27
"conviction",27
"designate",27
"direction",27
"fine",27
"grant",27
"hall",27
"immediate",27
"inches",27
"index",27
"interfere",27
"periodic",27
"processing",27
"protect",27
"publication",27
"reduced",27
"signs",27
"speed",27
"unexpired",27
"adopts",26
"alley",26
"creation",26
"duly",26
"follows",26
