"Word","Freq"
"landscape",128
"shall",100
"city",85
"		",71
"tree",68
"trees",67
"virginia",57
"guidelines",51
"alexandria",50
"plantings",48
"site",48
"vegetation",46
"feet",44
"areas",43
"planting",40
"plan",39
"installation",35
"maintenance",35
"existing",34
"requirements",34
"approved",32
"species",32
"protection",30
"specification",30
"street",30
"plant",29
"crown",28
"required",27
"arborist",26
"coverage",26
"conditions",25
"evergreen",25
"including",24
"project",24
"standards",23
"preparation",22
"remove",22
"parking",21
"height",20
"soil",20
"adjacent",19
"construction",18
"documents",18
"drawings",18
"preservation",18
"recommended",17
"size",17
"development",16
"drawing",16
"minimum",16
"ornamental",16
"shade",16
"american",15
"procedures",15
"area",14
"following",14
"irrigation",14
"may",14
"use",14
"include",13
"location",13
"material",13
"pit",13
"proposed",13
"rootball",13
"submissions",13
"damaged",12
"designated",12
"grade",12
"invasive",12
"plants",12
"provide",12
"published",12
"special",12
"top",12
"water",12
"within",12
"work",12
"activities",11
"as-built",11
"continuous",11
"replacement",11
"scale",11
"society",11
"spacing",11
"structure",11
"system",11
"turf",11
"accordance",10
"figure",10
"four",10
"growth",10
"install",10
"list",10
"notes",10
"two",10
"access",9
"allowance",9
"approval",9
"cca",9
"depth",9
"environmental",9
"grass",9
"individual",9
"magnolia",9
"materials",9
"natural",9
"prior",9
"quantity",9
"reference",9
"review",9
"root",9
"service",9
"shrubs",9
"specifications",9
"stakes",9
"utilities",9
"applicant",8
"arboriculture",8
"based",8
"caliper",8
"continued",8
"cultural",8
"design",8
"execution",8
"indigenous",8
"international",8
"inventory",8
"letter",8
"management",8
"mature",8
"methods",8
"name",8
"per",8
"period",8
"recreation",8
"sp",8
"vehicle",8
"wells",8
"acer",7
"architect",7
"back",7
"certification",7
"changes",7
"climbing",7
"commonwealth",7
"coordination",7
"department",7
"determination",7
"dimension",7
"ground",7
"installed",7
"oak",7
"one",7
"percent",7
"quality",7
"quercus",7
"related",7
"standard",7
"submission",7
"total",7
"type",7
"vertical",7
"way",7
"zoning",7
"allowances",6
"basket",6
"certificate",6
"certified",6
"common",6
"compliance",6
"consistent",6
"cut",6
"dated",6
"diameter",6
"drainage",6
"eighteen",6
"emergency",6
"equal",6
"fencing",6
"green",6
"illinois",6
"inches",6
"information",6
"maryland",6
"measurement",6
"occupancy",6
"one-half",6
"owner",6
"parks",6
"pedestrian",6
"performed",6
"planning",6
"prune",6
"red",6
"require",6
"satisfaction",6
"scope",6
"sealed",6
"september",6
"services",6
"shrub",6
"sod",6
"square",6
"strips",6
"transportation",6
"vine",6
"will",6
"zones",6
"advisory",5
"as-constructed",5
"association",5
"botanical",5
"character",5
"date",5
"determined",5
"dimensions",5
"disturbance",5
"hardwood",5
"horticultural",5
"identification",5
"intent",5
"islands",5
"leader",5
"limits",5
"maintained",5
"maple",5
"measures",5
"medium",5
"new",5
"pavement",5
"performance",5
"planted",5
"provided",5
"public",5
"retain",5
"right-of",5
"savoy",5
"schedule",5
"seasons",5
"shape",5
"signs",5
"spaces",5
"specify",5
"specimen",5
"submitted",5
"successor",5
"toward",5
"trunk",5
"undisturbed",5
"urban",5
"vigorous",5
"washington",5
"ways",5
"wire",5
"						",4
"additional",4
"ansi-a300",4
"applicable",4
"apply",4
"bioretention",4
"branch",4
"building",4
"commencement",4
"component",4
"connections",4
"cultivar",4
"damage",4
"dead",4
"directors",4
"disturbing",4
"due",4
"edition",4
"excess",4
"fence",4
"final",4
"finish",4
"fire",4
"general",4
"glory",4
"groundcover",4
"groundcovers",4
"habit",4
"historic",4
"immediately",4
"in-kind",4
"index",4
"industry",4
"japanese",4
"large",4
"last",4
"level",4
"limited",4
"linden",4
"march",4
"maximum",4
"media",4
"minimize",4
"modification",4
"mulch",4
"nursery",4
"operations",4
"page",4
"permit",4
"phasing",4
"planters",4
"prepared",4
"preserved",4
"process",4
"pruning",4
"quantities",4
"remain",4
"removal",4
"section",4
"seed",4
"sides",4
"sites",4
"space",4
"spread",4
"subject",4
"surface",4
"temporary",4
"ten",4
"thirty",4
"three",4
"tilia",4
"traffic",4
"trenches",4
"twenty-five",4
"typical",4
"uniform",4
"updated",4
"upon",4
"white",4
"air",3
"amelanchier",3
"anticipated",3
"assessment",3
"attached",3
"backfill",3
"bonds",3
"boxes",3
"branches",3
"branching",3
"breaks",3
"broken",3
"burlap",3
"cable",3
"canopy",3
"centered",3
"characteristics",3
"cherry",3
"clean",3
"clearance",3
"columbia",3
"conservation",3
"continuously",3
"control",3
"cooperative",3
"cornus",3
"curb",3
"current",3
"deciduous",3
"deemed",3
"detail",3
"director",3
"diseased",3
"documentation",3
"dripline",3
"elements",3
"engineering",3
"entire",3
"equipment",3
"established",3
"establishment",3
"every",3
"expose",3
"exposed",3
"extension",3
"features",3
"females",3
"fertilization",3
"fifteen",3
"flair",3
"fold",3
"franklinia",3
"free",3
"grading",3
"grate",3
"grates",3
"growing",3
"guide",3
"hardy",3
"hole",3
"holly",3
"http",3
"i-a",3
"identify",3
"ilex",3
"inch",3
"indicate",3
"indicated",3
"intended",3
"items",3
"june",3
"landscapes",3
"lighting",3
"linear",3
"located",3
"males",3
"manner",3
"measured",3
"must",3
