"Word","Freq"
"shall",109
"trees",87
"landscape",83
"street",74
"tree",66
"feet",63
"required",61
"name",49
"requirements",48
"plan",44
"landscaping",42
"area",41
"green",41
"oak",40
"quercus",40
"inches",39
"areas",38
"one",38
"city",37
"development",37
"species",36
"community",30
"department",28
"director",28
"minimum",27
"sec",27
"designee",26
"existing",26
"may",26
"parking",26
"within",26
"least",25
"proposed",25
"two",25
"acer",24
"botanical",24
"guidelines",24
"public",24
"site",24
"zoning",24
"common",23
"following",23
"maple",23
"plant",22
"article",21
"edge",21
"hampton",21
"japanese",21
"provided",20
"way",20
"height",19
"location",19
"median",18
"myrtle",18
"one-half",18
"zelkova",18
"cherry",17
"ground",17
"materials",17
"crape",16
"evergreen",16
"prunus",16
"chapter",15
"district",15
"lagerstroemia",15
"lot",15
"shrubs",15
"square",15
"approved",14
"four",14
"planting",14
"six",14
"caliper",13
"elm",13
"located",13
"measured",13
"ordinance",13
"red",13
"ulmus",13
"upon",13
"applicable",12
"center",12
"holly",12
"ilex",12
"installation",12
"installed",12
"three",12
"american",11
"canopy",11
"diameter",11
"eight",11
"every",11
"sites",11
"standards",11
"willow",11
"yedoensis",11
"yoshino",11
"approval",10
"material",10
"must",10
"parvifolia",10
"phellos",10
"pine",10
"screen",10
"shade",10
"virginiana",10
"adjacent",9
"buergerianum",9
"code",9
"foot",9
"front",9
"include",9
"lacebark",9
"landscaped",9
"number",9
"property",9
"road",9
"serrata",9
"subdivision",9
"trident",9
"yard",9
"acerifolia",8
"apart",8
"deciduous",8
"general",8
"japonica",8
"london",8
"magnolia",8
"muskogee",8
"percent",8
"pinus",8
"plane",8
"planted",8
"platanus",8
"provide",8
"provision",8
"provisions",8
"requirement",8
"residential",8
"rights-of",8
"section",8
"setback",8
"specific",8
"use",8
"appendix",7
"coverage",7
"except",7
"including",7
"less",7
"level",7
"meet",7
"nigra",7
"north",7
"removed",7
"space",7
"storage",7
"streets",7
"structure",7
"ten",7
"variety",7
"acceptable",6
"acutissima",6
"alternative",6
"cornus",6
"design",6
"healthy",6
"intersection",6
"king",6
"lane",6
"lines",6
"natural",6
"nellie",6
"new",6
"occupancy",6
"outdoor",6
"permit",6
"plans",6
"possible",6
"retained",6
"review",6
"rubrum",6
"sawtooth",6
"screening",6
"stevens",6
"whenever",6
"white",6
"accordance",5
"along",5
"betula",5
"birch",5
"buffer",5
"canadensis",5
"character",5
"coliseum",5
"contain",5
"count",5
"districts",5
"dogwood",5
"eastern",5
"five",5
"grade",5
"innovative",5
"intervals",5
"list",5
"mercury",5
"nursery",5
"pagoda",5
"plantings",5
"plat",5
"prior",5
"provides",5
"pursuant",5
"quality",5
"right-of",5
"river",5
"roads",5
"row",5
"rubra",5
"saved",5
"screened",5
"set",5
"setbacks",5
"sides",5
"size",5
"sophora",5
"spaces",5
"submitted",5
"surety",5
"used",5
"visible",5
"will",5
"-foot",4
"abuts",4
"according",4
"acres",4
"address",4
"appearance",4
"applicants",4
"armistead",4
"avenue",4
"bethel",4
"big",4
"building",4
"cercis",4
"certificate",4
"chapters",4
"combination",4
"compaction",4
"considered",4
"contents",4
"continuous",4
"cornuta",4
"credits",4
"cross",4
"cypress",4
"dead",4
"designs",4
"devices",4
"discretion",4
"dumpsters",4
"egress",4
"flowering",4
"follows",4
"forth",4
"ingress",4
"issuance",4
"kousa",4
"kwanzan",4
"length",4
"limited",4
"live",4
"measuring",4
"meeting",4
"modification",4
"official",4
"opaca",4
"palmatum",4
"parcel",4
"park",4
"part",4
"plants",4
"practices",4
"preservation",4
"redbud",4
"replacement",4
"run",4
"serrulata",4
"shumard",4
"shumardii",4
"spaced",4
"subdivisions",4
"subject",4
"towers",4
"treatment",4
"type",4
"vase",4
"vegetation",4
"virginia",4
"water",4
"wells",4
"achieved",3
"administration",3
"also",3
"americana",3
"bald",3
"berm",3
"black",3
"boulevard",3
"buffers",3
"caroliniana",3
"carpinus",3
"case",3
"cedar",3
"commercial",3
"conditions",3
"containing",3
"corridor",3
"crabapple",3
"create",3
"cryptomeria",3
"curb",3
"curbs",3
"distichum",3
"distribution",3
"drive",3
"enforcement",3
"etc",3
"even",3
"exhibiting",3
"explicitly",3
"fences",3
"final",3
"florida",3
"foster",3
"frontage",3
"fronting",3
"hardship",3
"herein",3
"high",3
"hornbeam",3
"hrc-",3
"improvements",3
"indica",3
"industry",3
"intent",3
"japonicum",3
"limits",3
"lincoln",3
"linden",3
"liriodendron",3
"listed",3
"lots",3
"maintaining",3
"maintenance",3
"malus",3
"manner",3
"manufactured",3
"met",3
"mobile",3
"necessary",3
"northern",3
"old",3
"open",3
"order",3
"otherwise",3
"overall",3
"overlay",3
"owner",3
"parkway",3
"pembroke",3
"permitted",3
"pre-application",3
"preclude",3
"protect",3
"purpose",3
"receive",3
"recent",3
"refer",3
"season",3
"side",3
"sod",3
"specified",3
"specimen",3
"stalls",3
"strobus",3
"structures",3
"taxodium",3
"throughout",3
"tilia",3
"tower",3
"treatments",3
"trunk",3
"tulip",3
"tulipifera",3
"twenty",3
"unless",3
"vegetated",3
"views",3
"waiver",3
"walls",3
"yards",3
"zoned",3
"1st",2
"58th",2
"aberdeen",2
"addition",2
"agent",2
"alternatives",2
"aluminum",2
"amelanchier",2
"amount",2
"amur",2
"applicability",2
"application",2
"apply",2
"appropriate",2
"architect",2
"attenuata",2
"authorized",2
"back",2
"base",2
"bay",2
"berms",2
"biloba",2
"brave",2
"buckroe",2
"burford",2
"burfordii",2
"calculations",2
"campus",2
"capable",2
"careful",2
"carolina",2
"cars",2
"cases",2
"central",2
"cerifera",2
"certain",2
"chapel",2
"chesapeake",2
"chinese",2
"communications",2
"completion",2
"compliance",2
"comprised",2
"conference",2
"conflicts",2
"containerized",2
"control",2
"costs",2
"cotinus",2
"county",2
"court",2
"criteria",2
"cultivar",2
"damage",2
"darlington",2
"date",2
"dates",2
"defined",2
"definitions",2
"deodara",2
"description",2
"desirable",2
"desired",2
"detailed",2
"developer",2
"developments",2
"deviate",2
"diseased",2
"distributed",2
"dwarf",2
"east",2
"eaton",2
"edition",2
"either",2
"encouraged",2
"ensure",2
"entire",2
"equipment",2
"erosion",2
"exception",2
"exhibit",2
"expansion",2
"extends",2
"exterior",2
"fifty",2
"form",2
"forming",2
"forty",2
"fosteri",2
"franklin",2
"franklinia",2
"fully",2
"gingko",2
"ginkgo",2
"ginnala",2
"good",2
"grandiflora",2
"greater",2
"hedge",2
"hemlock",2
"home",2
"hrc",2
"hybrida",2
"identify",2
"implemented",2
"inch",2
"indicated",2
"individual",2
"information",2
"inspection",2
"interest",2
"interior",2
"internal",2
"interstate",2
"irrigated",2
"issued",2
"kecoughtan",2
"lake",2
"landing",2
"langley",2
"legally",2
"ligustrum",2
"loblolly",2
"long",2
"low",2
"magruder",2
"maintained",2
"mallory",2
"march",2
"master",2
"maturity",2
"means",2
"minimizes",2
"myrica",2
"names",2
"natchez",2
"nonconforming",2
"o-cbp",2
"o-cc",2
"of-season",2
"opaque",2
"ostrya",2
"oxydendrum",2
"palatka",2
"parked",2
"patented",2
"paved",2
"pear",2
"pedestrian",2
"perimeter",2
"phone",2
"photinia",2
"planning",2
