"Word","Freq"
"shall",97
"landscaping",55
"feet",50
"trees",47
"22c",43
"areas",43
"may",32
"planting",30
"street",30
"landscape",26
"development",25
"use",25
"required",24
"screening",23
"area",22
"least",22
"property",22
"exh",21
"ord",21
"species",21
"water",21
"within",21
"city",20
"parking",20
"requirements",20
"site",20
"vegetation",20
"buffer",19
"existing",19
"landscaped",19
"percent",19
"planted",19
"screen",19
"visual",19
"fence",18
"plants",17
"standards",17
"tree",17
"community",16
"plan",16
"plant",16
"shrubs",16
"height",15
"maintenance",15
"one",15
"will",15
"ground",14
"minimum",14
"plantings",14
"provide",14
"deciduous",13
"marysville",13
"soil",13
"way",13
"following",12
"right-of",12
"credit",11
"provided",11
"used",11
"wide",11
"width",11
"bond",10
"chapter",10
"design",10
"five",10
"material",10
"native",10
"opaque",10
"residential",10
"time",10
"administrative",9
"assignment",9
"cash",9
"commercial",9
"deposit",9
"growing",9
"irrevocable",9
"irrigation",9
"letter",9
"maintained",9
"portion",9
"storm",9
"three",9
"turf",9
"accordance",8
"adjacent",8
"department",8
"designated",8
"eight",8
"evergreen",8
"guidelines",8
"inches",8
"located",8
"maintain",8
"materials",8
"prepared",8
"uses",8
"along",7
"amount",7
"comprehensive",7
"except",7
"interest",7
"intermittent",7
"l1",7
"mature",7
"must",7
"options",7
"perimeter",7
"public",7
"purpose",7
"screens",7
"walls",7
"xeriscape",7
"add",6
"alternative",6
"contain",6
"director",6
"established",6
"incorporate",6
"incorporated",6
"industrial",6
"noninvasive",6
"performance",6
"projects",6
"seasons",6
"section",6
"size",6
"subject",6
"two",6
"-foot",5
"22g",5
"achieve",5
"additional",5
"apply",5
"appropriate",5
"berms",5
"conditions",5
"cover",5
"encouraged",5
"enhance",5
"five-foot",5
"high-water",5
"highway",5
"impact",5
"improvements",5
"included",5
"less",5
"line",5
"lines",5
"location",5
"new",5
"obstructions",5
"occupancy",5
"option",5
"patterns",5
"pedestrian",5
"proposed",5
"provides",5
"reduce",5
"requirement",5
"separation",5
"significant",5
"slopes",5
"square",5
"sr",5
"standard",5
"storage",5
"suggested",5
"total",5
"variety",5
"wall",5
"years",5
"zone",5
"abatement",4
"abutting",4
"addition",4
"allowed",4
"amendment",4
"application",4
"approval",4
"approved",4
"basis",4
"buffers",4
"building",4
"business",4
"center",4
"clear",4
"coastal",4
"compliance",4
"composed",4
"contact",4
"create",4
"desirable",4
"due",4
"fences",4
"four",4
"greater",4
"inch",4
"installation",4
"irrigated",4
"issued",4
"l2",4
"lots",4
"maintaining",4
"modification",4
"need",4
"northwest",4
"outdoor",4
"owner",4
"owners",4
"pacific",4
"parks",4
"per",4
"posted",4
"prohibited",4
"properties",4
"reduced",4
"region",4
"retention",4
"said",4
"seasonal",4
"sidewalk",4
"single-family",4
"spaced",4
"spaces",4
"strips",4
"structure",4
"structures",4
"two-year",4
"types",4
"value",4
"visible",4
"access",3
"adapted",3
"average",3
"berm",3
"broken",3
"caliper",3
"can",3
"certificate",3
"chosen",3
"code",3
"completion",3
"condition",3
"conservation",3
"considered",3
"consistent",3
"coverage",3
"current",3
"debris",3
"density",3
"developer",3
"developments",3
"driveways",3
"drought-tolerant",3
"duration",3
"earth",3
"ensure",3
"every",3
"features",3
"fencing",3
"field",3
"finished",3
"foliage",3
"follows",3
"free",3
"impression",3
"improvement",3
"include",3
"including",3
"integrated",3
"intended",3
"judged",3
"l3",3
"land",3
"level",3
"limited",3
"long-term",3
"masonry",3
"minimize",3
"multiple-family",3
"natural",3
"observation",3
"obstruction",3
"office",3
"order",3
"organic",3
