"Word","Freq"
"feet",48
"landscaping",32
"tree",30
"plant",27
"trees",25
"revised",24
"species",24
"figure",20
"deciduous",19
"planting",18
"rain",18
"appropriate",17
"areas",17
"landscape",16
"site",16
"street",16
"points",15
"proposed",15
"plan",14
"plantings",14
"adopted",13
"garden",13
"height",12
"plants",12
"within",12
"diameter",11
"may",11
"bioswale",10
"evergreen",10
"generally",10
"inch",10
"mature",10
"tall",10
"large",9
"parking",9
"size",9
"stormwater",9
"water",9
"will",9
"also",8
"building",8
"category",8
"every",8
"invasive",8
"landscaped",8
"must",8
"new",8
"small",8
"time",8
"vegetation",8
"designed",7
"examples",7
"existing",7
"expected",7
"guidelines",7
"include",7
"less",7
"minimum",7
"property",7
"provided",7
"see",7
"trunk",7
"area",6
"available",6
"avoid",6
"city",6
"general",6
"ground",6
"installation",6
"management",6
"maple",6
"non-native",6
"page",6
"planted",6
"preservation",6
"salt",6
"screening",6
"shrub",6
"soil",6
"spp",6
"use",6
"back",5
"city's",5
"example",5
"five",5
"including",5
"installed",5
"lots",5
"paved",5
"plans",5
"required",5
"screen",5
"sizes",5
"usually",5
"way",5
"zoning",5
"bed",4
"bioswales",4
"construction",4
"development",4
"except",4
"gardens",4
"information",4
"lot",4
"maintenance",4
"maples",4
"mulch",4
"pdf",4
"power",4
"proper",4
"removed",4
"storage",4
"total",4
"walls",4
"additional",3
"approved",3
"bufferyard",3
"bufferyards",3
"chanticleer",3
"characteristics",3
"commission",3
"curb",3
"dead",3
"detailed",3
"different",3
"eastern",3
"edu",3
"elms",3
"events",3
"expectations",3
"fences",3
"following",3
"forestry",3
"foundation",3
"good",3
"grade",3
"greater",3
"high",3
"inches",3
"included",3
"islands",3
"line",3
"lines",3
"locations",3
"maintained",3
"major",3
"materials",3
"meeting",3
"near",3
"one",3
"online",3
"ordinance",3
"overall",3
"owner",3
"particularly",3
"parts",3
"pear",3
"perennial",3
"pine",3
"projects",3
"public",3
"radius",3
"removal",3
"residential",3
"root",3
"runoff",3
"sidewalk",3
"space",3
"sparingly",3
"spruce",3
"ssp",3
"state",3
"storm",3
"used",3
"utilities",3
"vision",3
"wall",3
"yard",3
"yards",3
"-inch",2
"adjacent",2
"adjoining",2
"allow",2
"allowing",2
