"Word","Freq"
"shall",1459
"town",984
"ch",490
"may",437
"public",356
"chapter",330
"section",312
"person",286
"passed",269
"council",264
"commission",260
"ord",254
"code",233
"board",217
"permit",215
"manager",209
"time",191
"laws",190
"department",182
"provisions",178
"within",176
"provided",163
"regulations",145
"penalty",143
"notice",140
"application",139
"mass",138
"gen",136
"days",134
"following",133
"general",130
"upon",128
"date",118
"building",116
"office",114
"property",112
"superintendent",109
"committee",108
"watertown",107
"see",105
"unless",105
"subject",104
"works",101
"purpose",100
"election",99
"work",99
"including",98
"required",97
"duties",96
"ordinance",95
"hearing",94
"violation",89
"street",88
"water",87
"position",86
"without",86
"authority",85
"made",85
"rules",84
"control",83
"officer",83
"owner",83
"o-",82
"school",82
"way",82
"employee",81
"issued",81
"law",81
"otherwise",81
"thereof",81
"use",80
"except",79
"stormwater",78
"place",77
"authorized",76
"accepting",75
"compensation",75
"members",75
"less",73
"order",73
"persons",73
"service",73
"business",72
"year",72
"clerk",71
"hours",71
"land",71
"rate",71
"table",71
"day",70
"proposed",69
"construction",67
"necessary",67
"term",67
"vote",67
"written",66
"license",65
"enforcement",64
"applicant",63
"dog",63
"include",63
"charter",62
"ordinances",62
"requirements",62
"vehicle",62
"services",61
"used",61
"animal",60
"powers",60
"employees",59
"first",59
"measure",59
"deemed",58
"fire",58
"pursuant",58
"one",57
"provision",57
"sidewalk",57
"determination",56
"member",56
"plan",56
"police",56
"request",56
"apply",55
"definitions",55
"district",55
"massachusetts",55
"number",55
"newsrack",54
"prior",54
"state",54
"system",54
"will",54
"certificate",53
"fee",53
"said",53
"elected",52
"historical",52
"accordance",51
"buildings",51
"cause",51
"every",51
"information",51
"materials",51
"offense",51
"provide",51
"removal",51
"set",51
"appointment",50
"area",50
"local",50
"wires",50
"collector",49
"historic",49
"licensing",49
"officers",49
"purposes",49
"special",49
"act",48
"management",48
"part",48
"period",48
"procedures",48
"acts",47
"agency",47
"annual",47
"appointed",47
"full",47
"least",47
"activities",46
"conditions",46
"designated",46
"make",46
"municipal",46
"registration",46
"voters",46
"group",45
"maintenance",45
"petition",45
"words",45
"additional",44
"emergency",44
"establishment",44
"existing",44
"fees",44
"feet",44
"division",43
"access",42
"agent",42
"arterial",42
"however",42
"limited",42
"pay",42
"terms",42
"also",41
"case",41
"discharge",41
"effect",41
"new",41
"president",41
"private",41
"years",41
"either",40
"motor",40
"premises",40
"whether",40
"action",39
"addition",39
"budget",39
"compliance",39
"development",39
"fine",39
"parking",39
"personnel",39
"planning",39
"areas",38
"defined",38
"demolition",38
"established",38
"library",38
"manner",38
"must",38
"organization",38
"permits",38
"protection",38
"vehicles",38
"administration",37
"approved",37
"classification",37
"granted",37
"reasonable",37
"schedule",37
"administrative",36
"applicable",36
"commonwealth",36
"landmark",36
"legal",36
"official",36
"regular",36
"subchapter",36
"take",36
"traffic",36
"vacancy",36
"appropriate",35
"filed",35
"per",35
"safety",35
"standards",35
"tax",35
"adopted",34
"assistant",34
"form",34
"forth",34
"held",34
"issue",34
"plans",34
"structure",34
"effective",33
"meeting",33
"minimum",33
"open",33
"repair",33
"require",33
"amended",32
"architectural",32
"body",32
"health",32
"inspection",32
"performance",32
"storm",32
"writing",32
"cat",31
"discretion",31
"employment",31
"gallons",31
"operation",31
"perform",31
"report",31
"requires",31
"review",31
"significant",31
"specific",31
"title",31
"amendment",30
"approval",30
"determined",30
"filing",30
"fiscal",30
"months",30
"receipt",30
"records",30
"separate",30
"snow",30
"alteration",29
"available",29
"corporation",29
"exterior",29
"removed",29
"curb",28
"director",28
"name",28
"owners",28
"portion",28
"proper",28
"specified",28
"chief",27
"condition",27
"copy",27
"drainage",27
"equipment",27
"given",27
"installation",27
"known",27
"list",27
"material",27
"mean",27
"power",27
"rule",27
"contracts",26
"due",26
"head",26
"hereby",26
"initiative",26
"inspector",26
"matter",26
"measures",26
"process",26
"program",26
"project",26
"retail",26
"salary",26
"amount",25
"animals",25
"boards",25
"court",25
"curbing",25
"entitled",25
"next",25
"publication",25
"record",25
"sale",25
"serve",25
"temporary",25
"two",25
"activity",24
"appropriation",24
"bags",24
"constitute",24
"continue",24
"failure",24
"five",24
"herein",24
"paid",24
"responsibility",24
"sidewalks",24
"trustees",24
"adoption",23
"allowing",23
"article",23
"community",23
"design",23
"designation",23
"determine",23
"individual",23
"issuance",23
"licensed",23
"minor",23
"newsracks",23
"orders",23
"payment",23
"permitted",23
"placed",23
"positions",23
"reference",23
"wetlands",23
"address",22
"amendments",22
"another",22
"appear",22
"charges",22
"commissioners",22
"comply",22
"connection",22
"decision",22
"done",22
"interests",22
"owned",22
"primary",22
"receive",22
"regulation",22
"relative",22
"setting",22
"surface",22
"acting",21
"appointments",21
"certified",21
"class",21
"clearly",21
"different",21
"discharges",21
"drain",21
"exercise",21
"expiration",21
"file",21
"forthwith",21
"government",21
"imposed",21
"intended",21
"keep",21
"kept",21
"licenses",21
"performed",21
"permanent",21
"posted",21
"printed",21
"secretary",21
"times",21
"town's",21
"violates",21
"waste",21
"ways",21
"whenever",21
"zoning",21
"appoint",20
"attorney",20
"commercial",20
"context",20
"disposition",20
"domestic",20
"enforce",20
"expenses",20
"fund",20
"handicapped",20
"ice",20
"jurisdiction",20
"keeper",20
"later",20
"maintain",20
"meaning",20
"ms4",20
"newspaper",20
"notwithstanding",20
"occupant",20
"principal",20
"recycling",20
"remove",20
"residence",20
"resource",20
"responsible",20
"sec",20
"submitted",20
"transportation",20
"cats",19
"councillor",19
"criminal",19
"duty",19
"erosion",19
"event",19
"federal",19
"final",19
"food",19
"functions",19
"grade",19
"home",19
"located",19
"location",19
"names",19
"occupying",19
"park",19
"plastic",19
"prevent",19
"projects",19
"promulgated",19
"published",19
"purchasing",19
"repairs",19
"respect",19
"second",19
"storage",19
"streets",19
"supervision",19
"violations",19
"week",19
"auditor",18
"candidates",18
"charge",18
"charged",18
"civil",18
"construed",18
"costs",18
"deems",18
"installed",18
"interest",18
"large",18
"listed",18
"matters",18
"real",18
"remain",18
"runoff",18
"structures",18
"submission",18
"systems",18
"tdm",18
"waters",18
"whose",18
"allow",17
"cost",17
"departments",17
"designed",17
"designee",17
"determines",17
"districts",17
"dogs",17
"extent",17
"filled",17
"hdc",17
"industrial",17
"leave",17
"meetings",17
"noise",17
"parcel",17
"practices",17
"reason",17
"requested",17
"roadway",17
"solicitation",17
"width",17
"word",17
"advisory",16
"appeals",16
"articles",16
"basis",16
"best",16
"bottle",16
"bring",16
"cases",16
"certain",16
"change",16
"classified",16
"considered",16
"contract",16
"directly",16
"establish",16
"expense",16
"facility",16
"firm",16
"four",16
"indicates",16
"intent",16
"majority",16
"meet",16
"party",16
"procedure",16
"prohibited",16
"protected",16
"purchase",16
"qualifications",16
"qualified",16
"relating",16
"res",16
"resulting",16
"similar",16
"site",16
"six",16
"subsequent",16
"ten",16
"agencies",15
"based",15
"become",15
"collection",15
"current",15
"eligible",15
"exemptions",15
"force",15
"give",15
"ground",15
"hereunder",15
"hold",15
"illicit",15
"implement",15
"includes",15
"mail",15
"non-criminal",15
"penalties",15
"permission",15
"political",15
"pollutants",15
"preceding",15
"preliminary",15
"present",15
"proceedings",15
"refuse",15
"reorganization",15
"residential",15
"right",15
"travel",15
"voted",15
"appeal",14
"beverages",14
"changes",14
"city",14
"contain",14
"cross-reference",14
"distribution",14
"duly",14
"expire",14
"feature",14
"funds",14
"good",14
"hardship",14
"inches",14
"increase",14
"multiple-member",14
"notify",14
"obtain",14
"original",14
"part-time",14
"passage",14
"physical",14
"pollution",14
"reasons",14
"referendum",14
"referred",14
"sections",14
"sewer",14
"thereunder",14
"wiring",14
"absence",13
"age",13
"agreement",13
"alcoholic",13
"alter",13
"amending",13
"associated",13
"canvassing",13
"common",13
"complete",13
"description",13
"devices",13
"elections",13
"enter",13
"expressly",13
"features",13
"financial",13
"limitation",13
"limits",13
"lot",13
"obtained",13
"operating",13
"opinion",13
"paper",13
"previous",13
"provides",13
"providing",13
"reasonably",13
"receiving",13
"recent",13
"recommendations",13
"reconstruction",13
"references",13
"reports",13
"specifically",13
"statement",13
"substantially",13
"third",13
"whole",13
"actions",12
"allowed",12
"annually",12
"bag",12
"bargaining",12
"bulletin",12
"called",12
"characteristics",12
"completed",12
"consultant",12
"consumed",12
"contained",12
"councillors",12
"deem",12
"definition",12
"dwelling",12
"enforced",12
"facilities",12
"fill",12
"flow",12
"ft",12
"habitat",12
"hand",12
"hereinafter",12
"holding",12
"holidays",12
"initial",12
"legislative",12
"maximum",12
"monitoring",12
"nature",12
"offices",12
"overtime",12
"range",12
"reduction",12
"renewal",12
"requirement",12
"responsibilities",12
"revoked",12
"road",12
"sound",12
"sq",12
"sufficient",12
"taken",12
"taxes",12
"thereby",12
"thereon",12
"three",12
"together",12
"valid",12
"votes",12
"website",12
"21d",11
"abutters",11
"adequate",11
"appropriateness",11
"ballot",11
"can",11
"carried",11
"citizens",11
"classes",11
"clause",11
"collective",11
"connector",11
"conservation",11
"consist",11
"conviction",11
"create",11
"disturbance",11
"door",11
"electric",11
"electrical",11
"employed",11
"ensure",11
"exceed",11
"exceptions",11
"excess",11
"found",11
"immediately",11
"items",11
"january",11
"judgment",11
"kind",11
"lane",11
"lines",11
"longer",11
"maintained",11
"means",11
"notices",11
"notification",11
"obtaining",11
"occur",11
"officials",11
"outside",11
"personal",11
"placing",11
"poles",11
"prepare",11
"previously",11
"question",11
"rates",11
"referenced",11
"regularly",11
"related",11
"repealed",11
"schedules",11
"signed",11
"source",11
"spaces",11
"statutory",11
"suitable",11
"supplies",11
"suspension",11
"total",11
"underground",11
"vacant",11
"wildlife",11
"worked",11
"41c",10
"abatement",10
"abutting",10
"account",10
"adjacent",10
"adjustment",10
"adverse",10
"affected",10
"alcohol",10
"altered",10
"applicability",10
"applications",10
"applied",10
"association",10
"ballots",10
"circumstances",10
"citizen",10
"color",10
"commencement",10
"commissions",10
"complaint",10
"concerning",10
"conducted",10
"confirmation",10
"consistent",10
"constitution",10
"continues",10
"continuous",10
"copies",10
"cover",10
"daily",10
"dcdp",10
"demand",10
"desirable",10
"direct",10
"disability",10
"electricity",10
"entity",10
"environmental",10
"estate",10
"follows",10
"full-time",10
"future",10
"goals",10
"grant",10
"hourly",10
"humans",10
"included",10
"incurred",10
"keeping",10
"landmarks",10
"length",10
"making",10
"natural",10
"obstruct",10
"occurs",10
"owning",10
"pavement",10
"pending",10
"policy",10
