"Word","Freq"
"shall",1639
"city",1625
"may",1120
"must",825
"property",765
"license",660
"public",660
"building",636
"permit",609
"time",596
"use",596
"within",579
"feet",557
"code",537
"person",517
"following",494
"passed",471
"ord",470
"will",452
"section",449
"required",436
"area",372
"business",367
"council",367
"owner",347
"district",343
"chapter",339
"provided",336
"lot",329
"uses",328
"application",321
"one",313
"requirements",310
"upon",299
"used",282
"signs",281
"way",281
"sign",271
"parking",262
"state",250
"applicant",246
"premises",243
"street",234
"right-of",229
"purpose",227
"minn",226
"including",225
"located",225
"service",225
"unless",223
"pursuant",221
"licensed",220
"structure",220
"permitted",213
"conditions",212
"stat",212
"land",211
"facilities",207
"water",206
"amended",204
"except",203
"provisions",200
"days",198
"residential",197
"general",196
"vehicle",194
"dwelling",190
"fee",190
"notice",186
"safety",185
"control",184
"park",184
"zoning",182
"health",177
"liquor",177
"plan",175
"site",174
"department",168
"work",168
"without",167
"number",166
"line",165
"construction",162
"date",159
"include",159
"persons",159
"sale",159
"activity",157
"areas",156
"approved",154
"buildings",154
"fire",154
"least",154
"location",154
"violation",153
"b-",149
"licensee",149
"necessary",149
"prohibited",148
"comply",147
"limited",147
"order",147
"body",145
"issued",145
"fees",144
"height",144
"less",144
"provide",144
"square",144
"dog",142
"nuisance",142
"yard",142
"services",141
"information",140
"establishment",139
"official",139
"stormwater",138
"system",137
"massage",136
"place",136
"regulations",136
"special",135
"development",134
"maintenance",133
"division",132
"event",132
"hearing",132
"material",132
"part",131
"motor",130
"defined",129
"materials",129
"conditional",128
"law",127
"private",127
"otherwise",123
"rental",122
"space",121
"temporary",121
"existing",120
"structures",119
"inspection",118
"display",117
"equipment",117
"accessory",116
"apply",116
"police",116
"prior",115
"storage",115
"compliance",113
"minimum",112
"purposes",112
"dangerous",109
"subject",109
"written",108
"sewer",107
"specified",107
"vehicles",106
"hours",105
"trees",105
"activities",104
"animal",104
"made",104
"streets",104
"definitions",103
"period",103
"set",103
"established",102
"facility",102
"repair",102
"emergency",101
"intoxicating",101
"commercial",100
"metal",100
"approval",97
"authorized",97
"new",97
"condition",96
"responsible",96
"sales",96
"adjacent",95
"exceed",95
"manner",94
"officer",94
"unit",94
"whether",94
"surface",93
"clerk",92
"licenses",92
"per",92
"standards",92
"three",92
"two",92
"additional",91
"art",90
"costs",90
"removal",90
"districts",89
"industrial",89
"permits",89
"tobacco",89
"conduct",88
"investigation",88
"open",88
"principal",87
"side",87
"reasonable",86
"ten",86
"discharge",85
"front",85
"proposed",85
"subchapter",85
"applicable",84
"addition",83
"address",83
"conducted",83
"permittee",83
"personal",83
"portion",83
"welfare",83
"require",81
"violations",81
"waste",81
"designed",80
"floor",79
"maintained",79
"pollution",79
"administrative",78
"allowed",78
"every",78
"products",78
"establishments",77
"natural",77
"operation",77
"similar",77
"director",76
"first",76
"care",75
"designated",75
"year",75
"authority",74
"cause",74
"unlawful",74
"access",73
"includes",73
"legal",73
"outside",72
"storm",72
"devices",71
"enforcement",71
"r-",71
"regulated",71
"adopted",70
"animals",70
"background",70
"traffic",70
"tree",70
"years",70
"copy",69
"ordinance",69
"pay",69
"related",69
"units",69
"form",68
"insurance",68
"requires",68
"amount",67
"another",67
"deemed",67
"intended",67
"sexually-oriented",67
"community",66
"day",66
"appropriate",65
"electrical",65
"also",64
"antennas",64
"certificate",64
"item",64
"lots",64
"manager",64
"payment",64
"revocation",64
"failure",63
"forth",63
"inches",63
"individual",63
"prevent",63
"installation",62
"placed",62
"protect",62
"retail",62
"sanitary",62
"see",62
"action",61
"cost",61
"erosion",61
"maximum",61
"on-sale",61
"organization",61
"process",61
"rear",61
"sidewalk",61
"deposit",60
"malt",60
"management",60
"name",60
"removed",60
"rules",60
"type",60
"act",59
"corporation",59
"current",59
"excavation",59
"ground",59
"identification",59
"lines",59
"owners",59
"parks",59
"store",59
"age",58
"commission",58
"constructed",58
"damage",58
"due",58
"hazardous",58
"precious",58
"provision",58
"security",58
"wall",58
"abutting",57
"allow",57
"electronic",57
"greater",57
"procedure",57
"setback",57
"six",57
"size",57
"exceptions",56
"five",56
"food",56
"permanent",56
"procedures",56
"restrictions",56
"clearly",55
"different",55
"paid",55
"reference",55
"width",55
"administrator",54
"containing",54
"design",54
"drainage",54
"employees",54
"granted",54
"level",54
"resolution",54
"waters",54
"connection",53
"either",53
"exterior",53
"however",53
"interest",53
"utility",53
"housing",52
"items",52
"minnesota",52
"penalty",52
"right",52
"school",52
"soil",52
"thereof",52
"total",52
"chief",51
"obtain",51
"proof",51
"remove",51
"spaces",51
"consumption",50
"court",50
"hold",50
"human",50
"interim",50
"make",50
"months",50
"off-street",50
"sell",50
"sold",50
"suspension",50
"term",50
"context",49
"county",49
"gross",49
"request",49
"charges",48
"effective",48
"final",48
"inspections",48
"intent",48
"local",48
"means",48
"types",48
"fence",47
"given",47
"issue",47
"meaning",47
"nature",47
"recreation",47
"rule",47
"served",47
"charge",46
"contain",46
"fails",46
"four",46
"kept",46
"maintain",46
"occupant",46
"ordinances",46
"planning",46
"program",46
"can",45
"city's",45
"considered",45
"cover",45
"meet",45
"office",45
"project",45
"restoration",45
"businesses",44
"case",44
"criminal",44
"dedication",44
"i-",44
"plans",44
"protection",44
"screening",44
"user",44
"alley",43
"applications",43
"attached",43
"center",43
"denial",43
"description",43
"domestic",43
"engineer",43
"evidence",43
"goods",43
"loading",43
"minor",43
"obtained",43
"physical",43
"proper",43
"properties",43
"record",43
"recreational",43
"subd",43
"terms",43
"towers",43
"vegetation",43
"abatement",42
"alcohol",42
"committee",42
"device",42
"federal",42
"outdoor",42
"possession",42
"providing",42
"registration",42
"separate",42
"snow",42
"transaction",42
"variance",42
"340a",41
"accordance",41
"along",41
"grading",41
"immediately",41
"inspector",41
"map",41
"measures",41
"operated",41
"party",41
"potentially",41
"records",41
"registrant",41
"residence",41
"result",41
"abandoned",40
"agent",40
"association",40
"completed",40
"controlled",40
"drain",40
"employee",40
"free",40
"imposed",40
"occupied",40
"real",40
"take",40
"times",40
"works",40
"financial",39
"indicates",39
"light",39
"noise",39
"penalties",39
"perform",39
"received",39
"sexual",39
"therapeutic",39
"alarm",38
"civil",38
"holder",38
"municipal",38
"nonconforming",38
"notify",38
"owner's",38
"planned",38
"present",38
"registered",38
"sediment",38
"systems",38
"declared",37
"definition",37
"home",37
"impose",37
"issuance",37
"properly",37
"replacement",37
"runoff",37
"safe",37
"showing",37
"stored",37
"training",37
"writing",37
"appeal",36
"consent",36
"described",36
"determine",36
"determined",36
"fences",36
"good",36
"grade",36
"matter",36
"owned",36
"product",36
"submitted",36
"valid",36
"based",35
"call",35
"change",35
"complete",35
"curb",35
"engaged",35
"grounds",35
"neighborhood",35
"obtaining",35
"ownership",35
"regarding",35
"report",35
"review",35
"sidewalks",35
"tower",35
"combination",34
"directly",34
"distance",34
"done",34
"ensure",34
"interfere",34
"keep",34
"receipt",34
"single",34
"substances",34
"sufficient",34
"surrounding",34
"treatment",34
"antenna",33
"available",33
"basis",33
"changes",33
"commissioner",33
"duties",33
"enter",33
"future",33
"involving",33
"merchandise",33
"operate",33
"parked",33
"performed",33
"policy",33
"primary",33
"quality",33
"stores",33
"taken",33
"agency",32
"annual",32
"certain",32
"citation",32
"collection",32
"direct",32
"found",32
"gas",32
"partnership",32
"pawnbroker",32
"requested",32
"rubbish",32
"statement",32
"technician",32
"therapist",32
"underground",32
"zone",32
"adjustments",31
"driveway",31
"events",31
"family",31
"high",31
"installed",31
"landscaping",31
"notification",31
"prevention",31
"repairs",31
"roof",31
"title",31
"value",31
"visitor",31
"adult",30
"company",30
"contained",30
"containers",30
"corner",30
"deny",30
"disposal",30
"enclosed",30
"follows",30
"liability",30
"measured",30
"reasonably",30
"renewal",30
"requirement",30
"rights-of",30
"transfer",30
"according",29
"administration",29
"buffer",29
"container",29
"coverage",29
"erected",29
"exception",29
"excess",29
"fuel",29
"garbage",29
"life",29
"mail",29
"money",29
"nuisances",29
"occupancy",29
"posted",29
"remain",29
"specifications",29
"statutes",29
"well",29
"applicant's",28
"certified",28
"circumstances",28
"dealer",28
"estate",28
"expiration",28
"extend",28
"false",28
"firm",28
"garage",28
"graffiti",28
"held",28
"legally",28
"members",28
"operator",28
"performance",28
"practices",28
"provides",28
"residents",28
"responsibility",28
"substance",28
"walls",28
"whenever",28
"wind",28
"applicants",27
"client",27
"conform",27
"covered",27
"crime",27
"dogs",27
"dwellings",27
"electric",27
"entity",27
"herein",27
"identified",27
"laws",27
"leave",27
"living",27
"met",27
"method",27
"misdemeanor",27
"object",27
"operating",27
"regular",27
"shade",27
"structural",27
"decision",26
"developer",26
"divisions",26
"effects",26
"finds",26
"glass",26
"graphic",26
"ice",26
"length",26
"longer",26
"obstruction",26
"protected",26
"purchase",26
"refuse",26
"regulation",26
"resources",26
"room",26
"schedule",26
"secondary",26
"speech",26
"stated",26
"subdivision",26
"submit",26
"supply",26
"surfaces",26
"whichever",26
"actions",25
"block",25
"calls",25
"car",25
"clean",25
"completion",25
"concrete",25
"discharges",25
"driveways",25
"entertainment",25
"entirely",25
"equal",25
"establish",25
"extent",25
"hereby",25
"house",25
"illegal",25
"investigations",25
"known",25
"listed",25
"medical",25
"minors",25
"off-sale",25
"piercing",25
"professional",25
"seven",25
"specifically",25
"wood",25
"acts",24
"air",24
"assessment",24
"beverages",24
"card",24
"cases",24
"conducting",24
"constitute",24
"convicted",24
"correct",24
"depth",24
"disturbance",24
"door",24
"drug",24
"file",24
"injury",24
"lease",24
"letter",24
"locations",24
"making",24
"minimize",24
"multiple",24
"occur",24
"ordinary",24
"original",24
"parcel",24
"permission",24
"plus",24
"shoreland",24
"st",24
"tax",24
"therapy",24
"truck",24
"wine",24
"affected",23
"alcoholic",23
"bench",23
"changeable",23
"chemical",23
"citizens",23
"color",23
"common",23
"concerning",23
"consideration",23
"contains",23
"dish",23
