"Word","Freq"
"shall",3917
"city",1640
"may",1083
"code",824
"public",732
"chapter",627
"provided",614
"property",609
"ord",603
"westminster",592
"building",574
"feet",529
"person",504
"use",503
"section",497
"within",493
"article",490
"upon",488
"council",476
"required",434
"common",433
"requirements",432
"water",431
"development",424
"area",417
"application",412
"ch",410
"director",409
"time",403
"charter",399
"commission",398
"provisions",397
"amended",393
"owner",392
"plan",390
"parking",385
"including",367
"permit",367
"department",351
"following",351
"mayor",349
"land",344
"violation",341
"zone",327
"general",324
"zoning",321
"street",309
"service",308
"structure",305
"subject",302
"facilities",300
"state",291
"lot",289
"special",288
"uses",288
"proposed",281
"business",280
"one",279
"approval",275
"permitted",273
"will",267
"fee",266
"flood",264
"site",256
"buildings",252
"except",252
"see",250
"fees",249
"regulations",248
"vehicle",246
"ordinance",241
"approved",239
"maryland",237
"notice",237
"subsection",235
"planning",234
"used",233
"per",231
"art",229
"residential",229
"structures",228
"dwelling",224
"accordance",221
"amendment",216
"construction",216
"located",216
"areas",213
"management",213
"square",213
"board",209
"system",202
"date",201
"include",200
"stormwater",197
"police",196
"thereof",195
"renewal",191
"line",190
"district",188
"existing",188
"urban",187
"standards",184
"said",183
"minimum",182
"necessary",182
"applicant",181
"sign",180
"adopted",179
"days",176
"purpose",175
"historic",174
"space",173
"county",171
"sewer",171
"official",170
"persons",170
"premises",170
"without",167
"place",164
"prior",164
"discharge",163
"hearing",163
"made",163
"least",162
"administrator",161
"control",159
"industrial",159
"designated",158
"part",158
"set",158
"conditions",155
"fire",155
"provide",155
"period",154
"year",154
"waste",153
"works",152
"written",151
"new",150
"design",149
"additional",147
"maintenance",147
"office",147
"municipal",146
"height",145
"must",145
"two",144
"also",143
"forth",143
"map",143
"pursuant",143
"exceed",142
"information",142
"equipment",141
"less",137
"location",137
"signs",137
"unless",137
"issued",136
"side",136
"subdivision",136
"clerk",135
"storage",135
"authorized",133
"final",133
"way",133
"body",131
"traffic",131
"utility",131
"appropriate",130
"note",130
"purposes",130
"added",129
"open",129
"amount",128
"commercial",128
"action",127
"plans",127
"facility",126
"wastewater",126
"yard",126
"units",125
"apply",124
"otherwise",124
"streets",124
"applicable",122
"fine",122
"law",122
"tax",122
"limited",121
"materials",121
"cause",120
"legislative",119
"number",119
"work",119
"addition",118
"offense",118
"shops",118
"fowl",117
"order",117
"unit",117
"franchisee",116
"penalty",116
"license",115
"city's",114
"front",114
"interest",114
"assessment",113
"safety",113
"statement",113
"treatment",109
"animals",108
"compliance",108
"unlawful",108
"deemed",106
"dwellings",106
"five",106
"three",106
"case",105
"right",105
"single-family",105
"authority",104
"established",104
"plumbing",104
"require",103
"specified",103
"health",102
"planned",102
"properties",102
"review",102
"stores",102
"accessory",101
"charge",101
"private",101
"employee",100
"infraction",100
"project",100
"access",99
"hazard",99
"manner",99
"spaces",98
"user",98
"vehicles",98
"benefit",97
"costs",97
"duties",97
"filed",97
"members",97
"certificate",96
"individual",96
"officer",95
"permits",95
"reclaimed",95
"services",95
"court",94
"hereby",94
"meter",94
"plat",94
"base",93
"comply",93
"floor",93
"maintained",92
"reasonable",92
"designed",91
"whether",91
"agreement",89
"request",89
"adjacent",88
"damage",88
"editor's",88
"franchise",88
"local",88
"size",88
"violations",88
"declared",87
"lines",87
"annotated",86
"schedule",86
"systems",86
"determined",85
"event",85
"prohibited",85
"terms",85
"solid",84
"entity",83
"pay",83
"floodplain",82
"herein",82
"paid",82
"condition",81
"employees",81
"maximum",81
"carroll",80
"center",80
"day",80
"defined",80
"make",80
"member",80
"ordinances",80
"zones",80
"connection",79
"hours",79
"lots",79
"chief",78
"maintain",78
"right-of",78
"total",78
"a175",77
"administrative",77
"credit",77
"election",77
"inspection",77
"repair",77
"setback",77
"term",77
"charges",76
"elevation",75
"imposed",75
"includes",75
"prevent",75
"rear",75
"appeal",74
"homes",74
"owners",74
"procedures",74
"type",74
"years",74
"included",73
"meet",73
"nuisance",73
"width",73
"granted",72
"specific",72
"submitted",72
"waters",72
"contained",71
"file",71
"first",71
"plus",71
"preliminary",71
"effect",70
"federal",70
"natural",70
"record",70
"report",70
"rules",70
"substantial",70
"effective",69
"eligible",69
"emergency",69
"exception",69
"licensed",69
"portion",69
"attached",68
"constitute",68
"decision",68
"filing",68
"taxicab",68
"containing",67
"name",67
"practices",67
"act",66
"along",66
"cost",66
"either",66
"main",66
"places",66
"sites",66
"issuance",65
"motor",65
"officers",65
"writing",65
"budget",64
"enforcement",64
"greater",64
"payment",64
"received",64
"trees",64
"drainage",63
"foot",63
"limitations",63
"times",63
"insurance",62
"material",62
"recreational",62
"exceptions",61
"operation",61
"activities",60
"form",60
"occupant",60
"off-street",60
"sidewalks",60
"submit",60
"treasurer",60
"appointed",59
"change",59
"character",59
"community",59
"considered",59
"provision",59
"shown",59
"sufficient",59
"taken",59
"another",58
"every",58
"manual",58
"meeting",58
"placed",58
"result",58
"similar",58
"value",58
"collection",57
"copy",57
"disposal",57
"erected",57
"given",57
"proper",57
"separate",57
"wastes",57
"alley",56
"allowed",56
"applications",56
"available",56
"capital",56
"constructed",56
"environmental",56
"financial",56
"improvements",56
"ncm",56
"pedestrian",56
"penalties",56
"removal",56
"sale",56
"structural",56
"adequate",55
"administration",55
"device",55
"qualified",55
"resolution",55
"sewage",55
"address",54
"agencies",54
"alarm",54
"animal",54
"failure",54
"intended",54
"offices",54
"prepared",54
"pretreatment",54
"sidewalk",54
"take",54
"consideration",53
"highway",53
"home",53
"supply",53
"temporary",53
"esd",52
"neighborhood",52
"principal",52
"related",52
"relating",52
"welfare",52
"a175-",51
"conduct",51
"determine",51
"good",51
"housing",51
"months",51
"protection",51
"providing",51
"road",51
"six",51
"surface",51
"basis",50
"candidate",50
"detached",50
"finance",50
"parks",50
"program",50
"real",50
"receipt",50
"source",50
"tree",50
"immediately",49
"loading",49
"medical",49
"nature",49
"storm",49
"a174-",48
"distance",48
"held",48
"inches",48
"matter",48
"recommendation",48
"records",48
"annual",47
"certain",47
"contain",47
"display",47
"establishment",47
"hereof",47
"improvement",47
"jurisdiction",47
"park",47
"r-",47
"reasonably",47
"recreation",47
"remove",47
"rental",47
"restrictions",47
"schools",47
"adoption",46
"agency",46
"allow",46
"approve",46
"care",46
"company",46
"completion",46
"establishments",46
"expenses",46
"family",46
"full",46
"limits",46
"means",46
"parked",46
"performance",46
"prescribed",46
"present",46
"requirement",46
"sewers",46
"stories",46
"appeals",45
"corporation",45
"create",45
"extent",45
"firm",45
"four",45
"however",45
"procedure",45
"title",45
"citation",44
"civil",44
"deposit",44
"extension",44
"flow",44
"ground",44
"installed",44
"personal",44
"standard",44
"thereto",44
"adopt",43
"capacity",43
"data",43
"determination",43
"due",43
"expense",43
"next",43
"permanent",43
"references",43
"served",43
"therein",43
"altered",42
"bond",42
"cable",42
"changes",42
"compatible",42
"outdoor",42
"professional",42
"rate",42
"responsible",42
"roads",42
"security",42
"activity",41
"amendments",41
"circumstances",41
"consider",41
"discretion",41
"elevations",41
"ensure",41
"installation",41
"laws",41
"living",41
"methods",41
"national",41
"quality",41
"rates",41
"respect",41
"sanitary",41
"signal",41
"television",41
"architectural",40
"fema",40
"issue",40
"notify",40
"outside",40
"regulation",40
"taxes",40
"vehicular",40
"adjoining",39
"affect",39
"density",39
"duty",39
"goods",39
"incidental",39
"interfere",39
"legal",39
"major",39
"physical",39
"removed",39
"responsibility",39
"stand",39
"telecommunications",39
"developer",38
"direct",38
"environment",38
"establish",38
"evidence",38
"fill",38
"grant",38
"judgment",38
"lowest",38
"multiple-family",38
"perform",38
"preservation",38
"runoff",38
"actual",37
"agent",37
"boundaries",37
"collected",37
"compensation",37
"encourage",37
"equal",37
"found",37
"give",37
"governmental",37
"immediate",37
"july",37
"licenses",37
"older",37
"processing",37
"reason",37
"sales",37
"surrounding",37
"watercourse",37
"completed",36
"contract",36
"detailed",36
"exterior",36
"flooding",36
"former",36
"forms",36
"lighting",36
"overlay",36
"placement",36
"powers",36
"process",36
"protect",36
"referred",36
"refuse",36
"remain",36
"secondhand",36
"volume",36
"acres",35
"allocation",35
"criteria",35
"description",35
"enter",35
"finds",35
"indicated",35
"landscaping",35
"operated",35
"point",35
"registered",35
"regular",35
"retail",35
"setbacks",35
"suitable",35
"support",35
"together",35
"variance",35
"wall",35
"whenever",35
"accepted",34
"assessments",34
"based",34
"connections",34
"construed",34
"excess",34
"intent",34
"meetings",34
"net",34
"obtain",34
"owned",34
"proceedings",34
"products",34
"projects",34
"residents",34
"safe",34
"serve",34
"shopping",34
"showing",34
"specifically",34
"subsequent",34
"utilities",34
"yards",34
"actions",33
"attorney",33
"average",33
"curb",33
"definitions",33
"employment",33
"entitled",33
"hazardous",33
"hereafter",33
"hereinafter",33
"kept",33
"obtained",33
"operating",33
"owner's",33
"pd-",33
"reference",33
"stations",33
"thereon",33
"whichever",33
"alteration",32
"distribution",32
"duly",32
"house",32
"impoundment",32
"letter",32
"making",32
"notification",32
"nuisances",32
"plant",32
"vote",32
"abatement",31
"accompanied",31
"campaign",31
"can",31
"cannabis",31
"cases",31
"charged",31
"connected",31
"customer",31
"depth",31
"described",31
"direction",31
"editor",31
"findings",31
"floodway",31
"granting",31
"increase",31
"measures",31
"receiving",31
"reports",31
"semidetached",31
"advertising",30
"advisory",30
"association",30
"avenue",30
"covered",30
"created",30
"dealer",30
"deems",30
"directly",30
"elected",30
"eligibility",30
"fails",30
"features",30
"known",30
"meanings",30
"occupied",30
"parade",30
"trade",30
"well",30
"acre",29
"adversely",29
"certified",29
"channel",29
"consistent",29
"discharged",29
"districts",29
"drain",29
"easement",29
"extend",29
"fact",29
"finding",29
"keep",29
"manufactured",29
"nontidal",29
"petition",29
"position",29
"procurement",29
"sections",29
"specifications",29
"therefor",29
"transportation",29
"words",29
"agricultural",28
"calendar",28
"complete",28
"conflict",28
"conservation",28
"consist",28
"containers",28
"disposition",28
"done",28
"engineering",28
"extended",28
"fixed",28
"free",28
"gift",28
"grading",28
"gross",28
"houses",28
"instance",28
"landscape",28
"matters",28
"meters",28
"officials",28
"promptly",28
"requests",28
"snow",28
"substance",28
"text",28
"trial",28
"using",28
"valid",28
"authorize",27
"beginning",27
"characteristics",27
"conform",27
"correct",27
"current",27
"determines",27
"devices",27
"drive-through",27
"eight",27
"end",27
"generally",27
"grade",27
"lawful",27
"liability",27
"on-site",27
"pawnbroker",27
"possible",27
"regarding",27
"revocation",27
"stated",27
