"Word","Freq"
"shall",1714
"town",902
"section",707
"board",663
"may",557
"weston",436
"permit",389
"by-law",351
"building",342
"public",308
"site",305
"regulations",280
"water",278
"land",265
"plan",263
"use",262
"selectmen",253
"within",245
"stormwater",242
"special",236
"commission",231
"area",225
"planning",224
"including",222
"district",213
"property",210
"lot",209
"application",204
"will",202
"zoning",199
"construction",191
"general",191
"provided",186
"requirements",182
"system",181
"act",177
"development",177
"approval",176
"applicant",162
"following",161
"authority",160
"feet",155
"one",154
"proposed",154
"required",149
"conservation",148
"article",142
"management",142
"map",141
"department",140
"said",139
"upon",139
"chapter",137
"person",137
"date",136
"time",136
"owner",132
"provisions",128
"structure",128
"areas",124
"control",124
"state",123
"committee",122
"swpa",122
"protection",121
"purpose",118
"",116
"hearing",115
"street",115
"districts",114
"buildings",113
"existing",113
"meeting",113
"effective",112
"include",111
"design",109
"health",109
"project",108
"purposes",108
"made",107
"road",107
"must",106
"alarm",105
"except",105
"days",102
"natural",101
"subject",101
"structures",100
"located",99
"otherwise",98
"used",97
"applicable",95
"service",95
"activities",94
"conditions",94
"location",94
"erosion",92
"notice",92
"office",92
"family",91
"accordance",90
"parcel",90
"license",89
"removal",89
"uses",89
"approved",87
"dwelling",85
"limited",84
"personal",83
"flood",82
"set",82
"amended",81
"business",81
"issued",81
"manager",81
"two",81
"dog",80
"prior",80
"standards",80
"without",80
"massachusetts",79
"parking",79
"rules",79
"thereof",79
"authorized",78
"law",78
"permitted",78
"provide",78
"single",78
"violation",78
"day",77
"disposal",77
"premises",77
"maintenance",76
"minimum",75
"systems",75
"laws",74
"police",74
"require",74
"submission",74
"wetlands",74
"persons",73
"review",73
"facility",72
"necessary",72
"plans",71
"runoff",71
"least",70
"vote",70
"wireless",69
"commercial",68
"part",67
"permits",67
"pursuant",67
"ft",66
"interest",66
"number",66
"new",65
"soil",65
"square",65
"work",65
"determination",64
"facilities",64
"forth",64
"material",64
"residence",64
"fire",63
"less",63
"supply",63
"written",63
"ground",62
"unless",62
"community",61
"drainage",61
"request",61
"sale",61
"school",61
"services",61
"certificate",60
"compliance",60
"emergency",60
"line",60
"order",60
"term",60
"discharge",59
"employees",59
"information",59
"members",59
"allowed",58
"municipal",58
"private",58
"three",58
"space",57
"storm",57
"appropriate",56
"clerk",56
"historic",56
"provision",56
"surface",56
"accessory",55
"activity",55
"acts",55
"height",55
"year",55
"certain",54
"housing",54
"materials",54
"safety",54
"way",54
"additional",53
"exterior",53
"floor",53
"inspector",53
"lots",53
"trees",53
"defined",52
"sewage",52
"tree",52
"copy",51
"director",51
"installation",50
"portion",50
"granted",49
"make",49
"preservation",49
"protect",49
"shown",49
"solar",49
"whether",49
"apply",48
"exceed",48
"place",48
"store",48
"demolition",47
"established",47
"overlay",47
"storage",47
"total",47
"aard",46
"first",46
"granting",46
"mean",46
"specified",46
"also",45
"amount",45
"annual",45
"appendix",45
"cause",45
"court",45
"criteria",45
"designated",45
"roads",45
"sign",45
"take",45
"addition",44
"alteration",44
"determined",44
"effect",44
"lines",44
"notification",44
"operation",44
"waste",44
"care",43
"commonwealth",43
"designed",43
"equipment",43
"grade",43
"open",43
"years",43
"access",42
"action",42
"by-laws",42
"corporation",42
"fee",42
"food",42
"gross",42
"plain",42
"regulation",42
"resources",42
"case",41
"constructed",41
"dogs",41
"form",41
"hereby",41
"period",41
"photovoltaic",41
"procedures",41
"residential",41
"duties",40
"grant",40
"however",40
"practices",40
"agent",39
"bylaw",39
"considered",39
"decision",39
"enforcement",39
"engineer",39
"file",39
"measures",39
"multiple",39
"name",39
"officer",39
"right",39
"agricultural",38
"appointed",38
"features",38
"flexible",38
"inspection",38
"member",38
"address",37
"authorizing",37
"chief",37
"either",37
"fees",37
"issue",37
"size",37
"subsection",37
"deemed",36
"determine",36
"event",36
"follows",36
"projects",36
"reasonable",36
"tax",36
"works",36
"ch",35
"costs",35
"filing",35
"funds",35
"pay",35
"real",35
"separate",35
"writing",35
"available",34
"earth",34
"filed",34
"flow",34
"impact",34
"local",34
"march",34
"page",34
"paragraph",34
"post",34
"process",34
"prohibited",34
"scenic",34
"adopted",33
"architectural",33
"cemetery",33
"cmr",33
"condition",33
"due",33
"environmental",33
"extent",33
"four",33
"fund",33
"hundred",33
"notwithstanding",33
"reduce",33
"report",33
"respect",33
"responsible",33
"signs",33
"user",33
"appeals",32
"can",32
"definitions",32
"disturbance",32
"inches",32
"maximum",32
"outside",32
"restrictions",32
"setback",32
"approve",31
"aquifer",31
"conducted",31
"description",31
"determines",31
"establish",31
"every",31
"groundwater",31
"herein",31
"operations",31
"present",31
"question",31
"sections",31
"station",31
"temporary",31
"appoint",30
"brook",30
"consistent",30
"frontage",30
"jurisdiction",30
"majority",30
"powers",30
"program",30
"submitted",30
"trust",30
"type",30
"allow",29
"amend",29
"boundaries",29
"boundary",29
"complete",29
"completed",29
"connection",29
"ensure",29
"farm",29
"federal",29
"list",29
"manner",29
"roof",29
"similar",29
"source",29
"agreement",28
"boards",28
"concept",28
"constitute",28
"fill",28
"final",28
"issuance",28
"major",28
"permanent",28
"quality",28
"side",28
"significant",28
"submit",28
"taken",28
"traffic",28
"abutting",27
"amendment",27
"ballot",27
"change",27
"driveways",27
"elderly",27
"employee",27
"false",27
"given",27
"grading",27
"officers",27
"prepared",27
"properties",27
"rate",27
"taxes",27
"appeal",26
"common",26
"declaration",26
"elevation",26
"farming",26
"five",26
"hazardous",26
"held",26
"impervious",26
"minimize",26
"outdoor",26
"owned",26
"per",26
"prevent",26
"professional",26
"terms",26
"transfer",26
"utility",26
"vegetation",26
"accepted",25
"applications",25
"completion",25
"dimensional",25
"disposition",25
"establishment",25
"february",25
"greater",25
"individual",25
"infiltration",25
"legal",25
"point",25
"policy",25
"position",25
"spaces",25
"substantial",25
"superintendent",25
"units",25
"utilities",25
"watering",25
"wcc",25
"age",24
"code",24
"dollars",24
"full",24
"historical",24
"hunting",24
"intent",24
"locations",24
"meet",24
"objectives",24
"park",24
"placed",24
"regular",24
