"Word","Freq"
"shall",2302
"may",854
"board",747
"section",727
"town",689
"bylaw",614
"permit",539
"building",510
"within",485
"use",466
"westwood",465
"special",460
"art",382
"public",376
"planning",373
"area",357
"parking",338
"development",334
"chapter",324
"requirements",315
"feet",308
"general",302
"zoning",298
"provided",297
"provisions",297
"said",280
"signs",267
"structure",260
"uses",257
"district",254
"lot",249
"one",247
"application",246
"sign",239
"including",235
"regulations",231
"ba",224
"required",224
"revised",221
"upon",220
"page",218
"",217
"areas",211
"person",207
"project",206
"atm",201
"dwelling",197
"permitted",197
"proposed",194
"following",192
"plan",189
"commission",186
"residential",184
"time",184
"street",177
"business",173
"land",173
"authority",171
"days",171
"property",169
"include",167
"facility",166
"pursuant",166
"units",166
"space",163
"approval",161
"selectmen",160
"except",157
"department",155
"subject",155
"materials",152
"number",151
"design",149
"will",149
"review",145
"structures",142
"accepted",141
"fire",141
"used",141
"existing",140
"open",139
"establishment",136
"premises",135
"amended",133
"standards",133
"water",133
"purpose",132
"districts",131
"located",129
"location",129
"owner",129
"meeting",128
"buildings",127
"osrd",126
"set",125
"construction",122
"applicant",121
"site",120
"mgl",119
"appeals",118
"accessory",117
"notice",117
"height",115
"access",114
"article",114
"square",113
"storage",113
"stormwater",113
"violation",113
"without",113
"applicable",112
"police",112
"safety",112
"spaces",112
"otherwise",111
"minimum",110
"fmuod",109
"way",109
"act",107
"relative",107
"thereof",107
"unless",107
"commissioner",106
"facilities",106
"traffic",106
"acts",105
"office",105
"order",105
"purposes",105
"forth",104
"ch",103
"rules",103
"service",103
"approved",102
"determination",101
"information",101
"two",101
"accordance",99
"hearing",99
"material",99
"impact",98
"system",98
"date",97
"line",97
"uamud",97
"written",97
"code",95
"control",95
"decision",95
"herein",93
"license",93
"maximum",92
"provide",92
"law",91
"conditions",90
"health",90
"services",90
"chief",89
"commercial",88
"state",88
"communication",87
"temporary",87
"wireless",87
"allowed",86
"less",86
"surface",86
"vehicle",86
"designed",85
"exceed",84
"made",84
"master",84
"sales",84
"defined",83
"must",83
"compliance",81
"necessary",81
"protection",81
"alarm",80
"exterior",80
"overlay",80
"cause",79
"clerk",79
"sale",79
"adopted",78
"massachusetts",78
"officer",78
"issued",77
"least",77
"part",77
"prior",77
"granted",76
"persons",76
"hundred",75
"five",74
"hazardous",74
"apply",72
"per",72
"principal",72
"require",72
"new",71
"retail",71
"fees",70
"activities",69
"authorized",69
"individual",69
"permits",69
"floor",68
"housing",68
"provision",68
"environmental",67
"event",67
"annual",65
"child",65
"similar",65
"percent",64
"reasonable",64
"bylaws",63
"court",63
"vehicles",63
"warrant",63
"grant",62
"limited",62
"additional",61
"appropriate",61
"outdoor",61
"action",60
"day",60
"light",60
"lighting",60
"also",58
"type",58
"whether",58
"care",57
"deemed",57
"employees",57
"food",57
"march",57
"associated",56
"case",56
"receipt",56
"removal",56
"report",56
"streets",56
"maintenance",55
"operation",55
"management",54
"municipal",54
"single",54
"systems",54
"amendment",53
"ground",53
"local",53
"period",53
"specified",53
"unit",53
"visual",53
"conservation",52
"industrial",52
"issuance",52
"plans",52
"sections",52
"shown",52
"common",51
"extent",51
"pedestrian",51
"portion",51
"prohibited",51
"screening",51
"setback",51
"vote",51
"work",51
"year",51
"emergency",50
"level",50
"personnel",50
"right",50
"term",50
"total",50
"yard",50
"addition",49
"beverages",49
"character",49
"considered",49
"effect",49
"four",49
"highway",49
"impacts",49
"laws",49
"major",49
"writing",49
"final",48
"licensing",48
"lots",48
"name",48
"natural",48
"three",48
"discharge",47
"manner",47
"registered",47
"side",47
"either",46
"equipment",46
"filed",46
"historic",46
"parcel",46
"record",46
"adjacent",45
"consistent",45
"drainage",45
"first",45
"given",45
"granting",45
"means",45
"members",45
"place",45
"properties",45
"store",45
"table",45
"activity",44
"community",44
"conformance",44
"criminal",44
"determined",44
"door",44
"hours",44
"maintained",44
"nonconforming",44
"see",44
"wall",44
"a500-",43
"agent",43
"copy",43
"meet",43
"nonresidential",43
"performance",43
"related",43
"request",43
"resources",43
"six",43
"substantially",43
"administrative",42
"alternative",42
"connection",42
"designated",42
"elements",42
"features",42
"professional",42
"years",42
"discretion",41
"enforcement",41
"interior",41
"point",41
"private",41
"procedures",41
"take",41
"terms",41
"alteration",40
"animal",40
"certain",40
"fine",40
"however",40
"lines",40
"removed",40
"ten",40
"waste",40
"wrpod",40
"address",39
"administrator",39
"change",39
"demolition",39
"minor",39
"residence",39
"scale",39
"sufficient",39
"wetlands",39
"determines",38
"dog",38
"failure",38
"house",38
"loading",38
"off-street",38
"offender",38
"petition",38
"prevent",38
"subdivision",38
"technology",38
"udc",38
"adequate",37
"applications",37
"established",37
"offense",37
"result",37
"serve",37
"significant",37
"abutting",36
"adult",36
"circulation",36
"civil",36
"costs",36
"earth",36
"effective",36
"licenses",36
"make",36
"motor",36
"quality",36
"school",36
"sex",36
"specific",36
"surrounding",36
"vehicular",36
"affordable",35
"based",35
"changes",35
"commonwealth",35
"contain",35
"dimensional",35
"identification",35
"notwithstanding",35
"rear",35
"soil",35
"ways",35
"window",35
"adverse",34
"display",34
"every",34
"ice",34
"impervious",34
"jurisdiction",34
"limitations",34
"moderator",34
"preliminary",34
"tax",34
"underlying",34
"ballot",33
"cases",33
"committee",33
"environment",33
"exempt",33
"held",33
"home",33
"limitation",33
"noise",33
"records",33
"separate",33
"submit",33
"added",32
"architectural",32
"available",32
"comply",32
"conducted",32
"constitute",32
"containing",32
"follows",32
"groundwater",32
"illumination",32
"list",32
"neighborhood",32
"present",32
"size",32
"submitted",32
"wcod",32
"appointed",31
"cda",31
"charter",31
"cmr",31
"definitions",31
"fifty",31
"penalties",31
"trees",31
"apartment",30
"constructed",30
"disposal",30
"duties",30
"eidr",30
"finance",30
"measures",30
"providing",30
"repair",30
"resource",30
"substantial",30
"waiver",30
"zone",30
"a500",29
