"Word","Freq"
"shall",4170
"town",2372
"section",1363
"may",1179
"public",976
"property",885
"zoning",824
"council",687
"within",638
"use",637
"required",630
"article",597
"person",595
"building",564
"feet",519
"area",513
"permit",480
"ord",476
"service",462
"license",454
"development",448
"sign",440
"one",439
"plan",436
"street",421
"upon",411
"provided",409
"drainage",397
"lot",386
"notice",371
"requirements",371
"water",363
"time",352
"including",350
"following",347
"business",339
"days",335
"department",329
"application",317
"signs",316
"system",316
"code",312
"director",307
"will",306
"regulations",305
"licensee",300
"district",294
"hearing",294
"owner",291
"approved",287
"ordinance",287
"way",283
"set",279
"waste",278
"used",276
"construction",275
"proposed",272
"general",265
"residential",265
"provide",259
"except",257
"facilities",256
"prior",255
"parking",254
"provisions",250
"approval",248
"include",247
"minimum",247
"utility",245
"chapter",241
"services",241
"arizona",233
"review",232
"wickenburg",231
"state",226
"administrator",221
"land",221
"forth",219
"date",218
"line",216
"subject",216
"commission",214
"conditions",212
"site",211
"streets",211
"located",210
"pursuant",207
"solid",206
"areas",205
"commercial",204
"manager",204
"permitted",204
"uses",199
"violation",199
"means",198
"purpose",197
"home",192
"unless",192
"existing",190
"location",190
"applicant",186
"must",185
"necessary",181
"per",181
"report",181
"buildings",180
"event",180
"made",180
"two",178
"works",178
"written",178
"county",176
"final",176
"temporary",176
"right",175
"authorized",174
"less",174
"said",173
"decision",172
"cable",171
"vehicle",170
"board",168
"customer",168
"private",167
"accordance",166
"officer",166
"structure",166
"without",164
"office",163
"height",162
"persons",162
"special",162
"yard",162
"compliance",160
"design",159
"control",157
"improvements",157
"standards",157
"fire",156
"materials",155
"police",155
"three",155
"sewer",153
"appeal",152
"allowed",151
"limited",151
"otherwise",151
"traffic",151
"collection",150
"order",150
"request",149
"cemetery",148
"planning",148
"rev",148
"space",147
"least",145
"part",145
"plat",144
"cost",143
"clerk",142
"information",142
"issued",141
"side",141
"adjacent",140
"engineer",140
"place",140
"health",139
"work",139
"square",138
"districts",137
"period",137
"exceed",136
"lines",136
"manner",136
"additional",135
"airport",133
"unlawful",133
"thirty",132
"placed",131
"thereof",131
"ten",130
"amount",129
"procedures",128
"require",128
"safety",128
"determined",127
"comply",126
"right-of",126
"law",125
"plans",125
"five",124
"court",123
"prohibited",123
"subdivision",123
"duties",122
"designated",121
"industrial",121
"purposes",121
"action",120
"hundred",119
"light",119
"number",119
"premises",119
"fees",118
"fee",116
"maintenance",116
"structures",116
"applicable",115
"front",115
"foot",114
"lighting",114
"make",114
"resolution",113
"mayor",112
"new",112
"terms",111
"reasonable",110
"removal",110
"utilities",110
"maintain",109
"park",109
"regulation",109
"dwelling",108
"equipment",108
"extension",108
"adopted",107
"inspection",106
"appropriate",104
"cause",104
"material",103
"maximum",103
"subsection",103
"landscaping",102
"aircraft",101
"established",101
"sale",101
"submitted",101
"vehicles",101
"",100
"costs",100
"rights-of",100
"mean",99
"open",99
"permits",99
"six",99
"walls",99
"case",98
"grading",98
"access",97
"whether",97
"condition",96
"connection",96
"curb",96
"day",96
"address",95
"installed",95
"enforcement",94
"rules",93
"single",93
"wall",93
"apply",91
"emergency",91
"type",91
"designed",89
"family",89
"herein",89
"maricopa",89
"official",89
"permittee",89
"four",88
"mobile",88
"percent",88
"year",88
"ord",86
"addition",86
"chief",86
"responsible",86
"similar",86
"writing",86
"container",85
"defined",85
"either",85
"first",85
"medical",85
"authority",84
"available",84
"legal",84
"meeting",84
"specifications",84
"amendment",83
"committee",83
"community",83
"surface",83
"constructed",82
"containers",82
"easements",82
"federal",82
"inches",82
"subdivisions",81
"also",80
"center",80
"effective",80
"hours",80
"lots",80
"well",80
"change",79
"full",79
"given",79
"ground",79
"interest",79
"name",79
"twenty",79
"act",78
"can",78
"issuance",78
"maintained",78
"width",78
"agent",77
"alarm",77
"operation",77
"rear",77
"definitions",76
"expense",76
"facility",76
"filed",76
"hereby",76
"installation",76
"process",76
"dog",75
"individual",75
"pay",75
"specified",75
"file",74
"natural",74
"owners",74
"recreational",74
"remove",74
"adoption",73
"charge",73
"plant",73
"size",73
"specific",73
"storage",73
"assembly",72
"distance",72
"flood",72
"protection",72
"sales",72
"standard",72
"unit",72
"funeral",71
"project",71
"properties",71
"accessory",70
"damage",70
"deemed",70
"disposal",70
"failure",70
"form",70
"repair",70
"term",70
"trees",70
"variance",70
"assessment",69
"determine",69
"fifteen",69
"floor",69
"providing",69
"record",69
"statutes",69
"agreement",68
"along",68
"civil",68
"every",68
"future",68
"setback",68
"copy",67
