"pdfName","word","n","total","term frequency","rank"
"MS_Jackson_LO","the",4854,80604,0.060220336459729,1
"MS_Jackson_LO","of",3470,80604,0.0430499727060692,2
"MS_Jackson_LO","and",2761,80604,0.0342538831819761,3
"IL_Springfield_LO","the",2094,23373,0.089590553202413,1
"MS_Jackson_LO","or",1620,80604,0.0200982581509602,4
"MS_Jackson_LO","to",1528,80604,0.0189568755893008,5
"GE_Atlanta_LO","the",1429,17012,0.0839995297437103,1
"MS_Jackson_LO","be",1392,80604,0.0172696144111955,6
"MS_Jackson_LO","shall",1319,80604,0.0163639521611831,7
"CA_Sacremento_LO","the",1291,21073,0.0612632278270773,1
"MS_Jackson_LO","in",1170,80604,0.0145154086645824,8
"MS_Jackson_LO","for",1065,80604,0.0132127437844276,9
"CA_Sacremento_LO","of",897,21073,0.0425663170882171,2
"GE_Atlanta_LO","of",894,17012,0.0525511403715025,2
"IL_Springfield_LO","of",865,23373,0.0370085140974629,2
"NC_Durham_LO","and",847,37017,0.0228813788259448,1
"NC_Durham_LO","sun",818,37017,0.0220979549936516,2
"FL_FortLauderdale_LO","the",811,14972,0.0541677798557307,1
"NC_Durham_LO","of",805,37017,0.0217467649998649,3
"NC_Durham_LO","the",795,37017,0.0214766188507983,4
"CA_Losangeles_LO","the",738,14437,0.0511186534598601,1
"IL_Springfield_LO","and",712,23373,0.0304624994651949,3
"CA_Losangeles_LO","of",699,14437,0.0484172612038512,2
"CA_Fresno_LO","the",685,14368,0.0476753897550111,1
"CA_Torrence_LO","the",685,14368,0.0476753897550111,1
"MS_Jackson_LO","city",669,80604,0.00829983623641507,10
"CA_Sacremento_LO","and",642,21073,0.0304655246049447,3
"FL_FortLauderdale_LO","of",638,14972,0.0426128773710927,2
"NC_Durham_LO","to",621,37017,0.0167760758570387,5
"MS_Jackson_LO","feet",610,80604,0.00756786263708997,11
"MS_Jackson_LO","as",599,80604,0.00743139298297851,12
"PA_Middletown_LO","the",597,9388,0.0635918193438432,1
"MS_Jackson_LO","use",584,80604,0.00724529800009925,13
"IL_Springfield_LO","to",578,23373,0.0247293886107902,4
"MS_Jackson_LO","is",578,80604,0.00717086000694755,14
"MS_Jackson_LO","by",564,80604,0.00699717135626023,15
"MS_Jackson_LO","with",558,80604,0.00692273336310853,16
"NC_Durham_LO","ph",551,37017,0.0148850528135721,6
"CA_Sacremento_LO","water",550,21073,0.0260997484933327,4
"MS_Jackson_LO","zoning",548,80604,0.00679867004118902,17
"OR_Portland_LO","the",529,14007,0.0377668308702791,1
"MS_Jackson_LO","on",527,80604,0.00653813706515806,18
"CA_Fresno_LO","and",520,14368,0.0361915367483296,2
"CA_Torrence_LO","and",520,14368,0.0361915367483296,2
"MS_Jackson_LO","ordinance",519,80604,0.00643888640762245,19
"NC_Durham_LO","shade",513,37017,0.0138584974471189,7
"NC_Durham_LO","or",510,37017,0.0137774536023989,8
"NC_Durham_LO","allowed",483,37017,0.013048058999919,9
"MS_Jackson_LO","not",482,80604,0.00597985211652027,20
"CA_Sacremento_LO","to",479,21073,0.0227305082332843,5
"CO_Aurora_LO","and",475,14460,0.0328492392807746,1
"CA_San Diego_LO","the",473,11206,0.0422095306086025,1
"NC_Durham_LO","in",465,37017,0.012561795931599,10
"MS_Jackson_LO","this",463,80604,0.00574413180487321,21
"MS_Jackson_LO","district",461,80604,0.00571931914048931,22
"CA_Sacremento_LO","or",458,21073,0.0217339723817207,6
"NC_Durham_LO","use",449,37017,0.0121295620930924,11
"MS_Jackson_LO","uses",448,80604,0.00555803682199395,23
"FL_Delraybeach_LO","the",440,9044,0.0486510393631137,1
"NC_Durham_LO","full",437,37017,0.0118053867142124,12
"FL_FortLauderdale_LO","and",434,14972,0.0289874432273577,3
"ID_Boise_LO","the",432,7323,0.0589922163047931,1
"FL_Delraybeach_LO","of",430,9044,0.0475453339230429,2
"CA_Sacremento_LO","landscape",428,21073,0.0203103497366298,7
"MS_Jackson_LO","any",424,80604,0.00526028484938713,24
"IA_Ames_LO","the",422,7711,0.0547270133575412,1
"GE_Atlanta_LO","and",421,17012,0.0247472372442981,3
"GE_Atlanta_LO","to",420,17012,0.0246884552080884,4
"MS_Jackson_LO","parking",407,80604,0.00504937720212396,25
"CO_Aurora_LO","the",406,14460,0.0280774550484094,2
"CA_Fresno_LO","of",405,14368,0.0281876391982183,3
"CA_Torrence_LO","of",405,14368,0.0281876391982183,3
"MS_Jackson_LO","building",405,80604,0.00502456453774006,26
"MS_Jackson_LO","residential",395,80604,0.00490050121582055,27
