"PDF_Name","data.csv...2."
"CA_Fresno_LO",0
"CA_Losangeles_LO",11
"CA_Oakland_LO",0
"CA_Sacremento_LO",3
"CA_San Diego_LO",21
"CA_Torrence_LO",0
"CO_Aurora_LO",54
"CO_Boulder_LO",6
"CO_Denver_LO",0
"FL_Delraybeach_LO",0
"FL_FortLauderdale_LO",0
"FL_Jacksonville_LO",5
"GE_Atlanta_LO",0
"IA_Ames_LO",2
"ID_Boise_LO",109
"IL_Springfield_LO",0
"KY_Frankfort_LO",34
"MD_Annapolis_LO",0
"MS_Jackson_LO",2
"NC_Durham_LO",0
"OR_Portland_LO",0
"PA_Middletown_LO",13
"SC_Columbia_LO",0
"VA_Alexandria_LO",0
"VA_Hampton_LO",1
"WA_Marysville_LO",0
"WI_Whitewater_LO",22
"CA_Fresno_LO",0
"CA_Losangeles_LO",0
"CA_Oakland_LO",0
"CA_Sacremento_LO",0
"CA_San Diego_LO",22
"CA_Torrence_LO",0
"CO_Aurora_LO",6
"CO_Boulder_LO",88
"CO_Denver_LO",0
"FL_Delraybeach_LO",108
"FL_FortLauderdale_LO",6
"FL_Jacksonville_LO",0
"GE_Atlanta_LO",0
"IA_Ames_LO",0
"ID_Boise_LO",15
"IL_Springfield_LO",0
"KY_Frankfort_LO",0
"MD_Annapolis_LO",35
"MS_Jackson_LO",0
"NC_Durham_LO",58
"OR_Portland_LO",3
"PA_Middletown_LO",0
"SC_Columbia_LO",0
"VA_Alexandria_LO",0
"VA_Hampton_LO",11
"WA_Marysville_LO",0
"WI_Whitewater_LO",3
"CA_Fresno_LO",21
"CA_Losangeles_LO",0
"CA_Oakland_LO",54
"CA_Sacremento_LO",6
"CA_San Diego_LO",0
"CA_Torrence_LO",0
"CO_Aurora_LO",0
"CO_Boulder_LO",30
"CO_Denver_LO",0
"FL_Delraybeach_LO",0
"FL_FortLauderdale_LO",61
"FL_Jacksonville_LO",0
"GE_Atlanta_LO",128
"IA_Ames_LO",0
"ID_Boise_LO",0
"IL_Springfield_LO",0
"KY_Frankfort_LO",0
"MD_Annapolis_LO",1
"MS_Jackson_LO",0
"NC_Durham_LO",0
"OR_Portland_LO",10
"PA_Middletown_LO",0
"SC_Columbia_LO",15
"VA_Alexandria_LO",0
"VA_Hampton_LO",0
"WA_Marysville_LO",0
"WI_Whitewater_LO",0
"CA_Fresno_LO",1
"CA_Losangeles_LO",0
"CA_Oakland_LO",0
"CA_Sacremento_LO",8
"CA_San Diego_LO",0
"CA_Torrence_LO",5
"CO_Aurora_LO",0
"CO_Boulder_LO",0
"CO_Denver_LO",0
"FL_Delraybeach_LO",0
"FL_FortLauderdale_LO",29
"FL_Jacksonville_LO",0
"GE_Atlanta_LO",0
"IA_Ames_LO",17
"ID_Boise_LO",1
"IL_Springfield_LO",46
"KY_Frankfort_LO",0
"MD_Annapolis_LO",0
"MS_Jackson_LO",0
"NC_Durham_LO",0
"OR_Portland_LO",57
"PA_Middletown_LO",0
"SC_Columbia_LO",1
"VA_Alexandria_LO",37
"VA_Hampton_LO",0
"WA_Marysville_LO",48
"WI_Whitewater_LO",1
"CA_Fresno_LO",3
"CA_Losangeles_LO",0
"CA_Oakland_LO",0
"CA_Sacremento_LO",9
"CA_San Diego_LO",0
"CA_Torrence_LO",0
"CO_Aurora_LO",2
"CO_Boulder_LO",0
"CO_Denver_LO",15
"FL_Delraybeach_LO",0
"FL_FortLauderdale_LO",0
"FL_Jacksonville_LO",0
"GE_Atlanta_LO",0
"IA_Ames_LO",21
"ID_Boise_LO",0
"IL_Springfield_LO",0
"KY_Frankfort_LO",211
"MD_Annapolis_LO",0
"MS_Jackson_LO",12
"NC_Durham_LO",0
"OR_Portland_LO",0
"PA_Middletown_LO",0
"SC_Columbia_LO",0
"VA_Alexandria_LO",10
"VA_Hampton_LO",0
"WA_Marysville_LO",1
"WI_Whitewater_LO",12
"CA_Fresno_LO",0
"CA_Losangeles_LO",9
"CA_Oakland_LO",0
"CA_Sacremento_LO",3
"CA_San Diego_LO",0
"CA_Torrence_LO",0
"CO_Aurora_LO",11
"CO_Boulder_LO",0
"CO_Denver_LO",0
"FL_Delraybeach_LO",18
"FL_FortLauderdale_LO",0
"FL_Jacksonville_LO",27
"GE_Atlanta_LO",1
"IA_Ames_LO",1
"ID_Boise_LO",0
"IL_Springfield_LO",0
"KY_Frankfort_LO",0
"MD_Annapolis_LO",0
"MS_Jackson_LO",0
"NC_Durham_LO",8
"OR_Portland_LO",2
"PA_Middletown_LO",4
"SC_Columbia_LO",1
"VA_Alexandria_LO",0
"VA_Hampton_LO",0
"WA_Marysville_LO",0
"WI_Whitewater_LO",16
"CA_Fresno_LO",0
"CA_Losangeles_LO",0
"CA_Oakland_LO",12
"CA_Sacremento_LO",1
"CA_San Diego_LO",48
"CA_Torrence_LO",0
"CO_Aurora_LO",0
"CO_Boulder_LO",0
"CO_Denver_LO",0
"FL_Delraybeach_LO",6
"FL_FortLauderdale_LO",0
"FL_Jacksonville_LO",0
"GE_Atlanta_LO",0
"IA_Ames_LO",0
"ID_Boise_LO",0
"IL_Springfield_LO",0
"KY_Frankfort_LO",0
"MD_Annapolis_LO",0
"MS_Jackson_LO",0
"NC_Durham_LO",0
"OR_Portland_LO",0
"PA_Middletown_LO",27
"SC_Columbia_LO",669
"VA_Alexandria_LO",3
"VA_Hampton_LO",3
"WA_Marysville_LO",0
"WI_Whitewater_LO",2
"CA_Fresno_LO",0
"CA_Losangeles_LO",0
"CA_Oakland_LO",130
"CA_Sacremento_LO",4
"CA_San Diego_LO",0
"CA_Torrence_LO",25
"CO_Aurora_LO",0
"CO_Boulder_LO",391
"CO_Denver_LO",7
"FL_Delraybeach_LO",0
"FL_FortLauderdale_LO",0
"FL_Jacksonville_LO",0
"GE_Atlanta_LO",35
"IA_Ames_LO",0
"ID_Boise_LO",0
"IL_Springfield_LO",20
"KY_Frankfort_LO",0
"MD_Annapolis_LO",130
"MS_Jackson_LO",2
"NC_Durham_LO",5
"OR_Portland_LO",0
"PA_Middletown_LO",0
"SC_Columbia_LO",0
"VA_Alexandria_LO",0
"VA_Hampton_LO",22
"WA_Marysville_LO",0
"WI_Whitewater_LO",2
"CA_Fresno_LO",2
"CA_Losangeles_LO",0
"CA_Oakland_LO",0
"CA_Sacremento_LO",0
"CA_San Diego_LO",0
"CA_Torrence_LO",1
"CO_Aurora_LO",0
"CO_Boulder_LO",0
"CO_Denver_LO",4
"FL_Delraybeach_LO",0
"FL_FortLauderdale_LO",0
"FL_Jacksonville_LO",0
"GE_Atlanta_LO",1
"IA_Ames_LO",0
"ID_Boise_LO",0
"IL_Springfield_LO",32
"KY_Frankfort_LO",0
"MD_Annapolis_LO",0
"MS_Jackson_LO",85
"NC_Durham_LO",0
"OR_Portland_LO",29
"PA_Middletown_LO",0
"SC_Columbia_LO",1
"VA_Alexandria_LO",0
"VA_Hampton_LO",0
"WA_Marysville_LO",36
"WI_Whitewater_LO",0
"CA_Fresno_LO",0
"CA_Losangeles_LO",37
"CA_Oakland_LO",0
"CA_Sacremento_LO",22
"CA_San Diego_LO",0
"CA_Torrence_LO",0
"CO_Aurora_LO",0
"CO_Boulder_LO",0
"CO_Denver_LO",21
"FL_Delraybeach_LO",0
"FL_FortLauderdale_LO",0
"FL_Jacksonville_LO",20
"GE_Atlanta_LO",0
"IA_Ames_LO",16
"ID_Boise_LO",0
"IL_Springfield_LO",0
"KY_Frankfort_LO",0
"MD_Annapolis_LO",0
"MS_Jackson_LO",24
"NC_Durham_LO",0
"OR_Portland_LO",0
"PA_Middletown_LO",6
"SC_Columbia_LO",0
"VA_Alexandria_LO",27
"VA_Hampton_LO",0
"WA_Marysville_LO",0
"WI_Whitewater_LO",0
